ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0.0,0.95,0.65,0.595577746077,0.634567901235,0.585143658024,True,86.956081152
0.0,0.0,0.838125,0.700308641975,0.686470778172,0.697530864198,0.692789968652,True,212.927930117
0.0,0.0,0.72625,0.733641975309,0.720982864533,0.732098765432,0.726872246696,True,121.519662857
0.0,0.0,0.614375,0.753703703704,0.744884910486,0.757716049383,0.753995612661,True,118.187945127
0.0,0.0,0.5025,0.501851851852,0.666115018618,0.519135802469,0.679819153309,False,85.3549571037
0.0,0.0,0.390625,0.501851851852,0.666115018618,0.519135802469,0.679819153309,False,58.3366878033
0.0,0.0,0.27875,0.504938271605,0.0314009661836,0.487037037037,0.0246478873239,False,19.2228839397
0.0,0.0,0.166875,0.00802469135802,0.0159216166565,0.00648148148148,0.0128794848206,False,46.8341188431
0.0,0.0,0.055,0.0117283950617,0.0135551447936,0.0151234567901,0.0129910300031,False,17.4142110348
0.0,1.0,0.95,0.654320987654,0.613526570048,0.653395061728,0.611821638438,True,59.0430870056
0.0,1.0,0.838125,0.692283950617,0.681571382945,0.702160493827,0.694909895669,True,92.5590960979
0.0,1.0,0.72625,0.736111111111,0.732728977806,0.744444444444,0.743811881188,True,142.535269022
0.0,1.0,0.614375,0.768209876543,0.768567026194,0.760185185185,0.766175142943,True,540.651600838
0.0,1.0,0.5025,0.510802469136,0.672588308201,0.512345679012,0.675030851501,False,99.543640852
0.0,1.0,0.390625,0.510802469136,0.672588308201,0.512345679012,0.675030851501,False,58.4168689251
0.0,1.0,0.27875,0.49475308642,0.0250148898154,0.493827160494,0.0261282660333,False,26.0619461536
0.0,1.0,0.166875,0.503086419753,0.669404517454,0.506481481481,0.672403196066,False,37.2341401577
0.0,1.0,0.055,0.49475308642,0.0250148898154,0.493827160494,0.0261282660333,False,44.9362268448
0.0,2.0,0.95,0.66450617284,0.651937239833,0.654938271605,0.633682830931,True,243.916511059
0.0,2.0,0.838125,0.712037037037,0.712125887072,0.701543209877,0.694470774092,True,112.67704916
0.0,2.0,0.72625,0.733641975309,0.728188976378,0.733641975309,0.726292419918,True,117.68087697
0.0,2.0,0.614375,0.75,0.744801512287,0.765432098765,0.757343550447,True,54.1920268536
