ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0.0,625.0,-1.0,0.781481481481,0.779301745636,0.778703703704,0.780532598714,162.075093031,False
0.0,0.0,125.0,-1.0,0.779938271605,0.777257107154,0.779320987654,0.782608695652,168.590687037,False
0.0,0.0,25.0,-1.0,0.776234567901,0.771940861906,0.783333333333,0.786236297199,143.692055941,False
0.0,0.0,5.0,-1.0,0.775,0.770682604593,0.778395061728,0.779076923077,109.966922045,False
0.0,0.0,1.0,-1.0,0.775617283951,0.768986336193,0.784259259259,0.783925811437,98.3621621132,False
0.0,0.0,0.2,-1.0,0.778086419753,0.771092008914,0.78024691358,0.779975278121,82.8437302113,False
0.0,0.0,0.04,-1.0,0.771913580247,0.766803408015,0.773456790123,0.776219512195,60.8187520504,False
0.0,0.0,0.008,-1.0,0.753086419753,0.737704918033,0.750925925926,0.744377573646,53.9950129986,False
0.0,0.0,0.0016,-1.0,0.709259259259,0.69295958279,0.712037037037,0.705771050142,44.4872100353,False
0.0,1.0,625.0,-1.0,0.783024691358,0.781880235805,0.78487654321,0.785867895545,176.267788887,False
0.0,1.0,125.0,-1.0,0.77962962963,0.777014366021,0.783024691358,0.783625730994,147.427402973,False
0.0,1.0,25.0,-1.0,0.779938271605,0.775997486648,0.778395061728,0.777571251549,132.829816103,False
0.0,1.0,5.0,-1.0,0.777777777778,0.774294670846,0.78549382716,0.785956267324,103.883527994,False
0.0,1.0,1.0,-1.0,0.778703703704,0.774599182647,0.785185185185,0.782771535581,98.2825911045,False
0.0,1.0,0.2,-1.0,0.777777777778,0.772727272727,0.777469135802,0.77698731828,74.9561178684,False
0.0,1.0,0.04,-1.0,0.770679012346,0.768174726989,0.772839506173,0.777374470659,63.1971650124,False
0.0,1.0,0.008,-1.0,0.751234567901,0.748125,0.760802469136,0.761904761905,56.7586729527,False
0.0,1.0,0.0016,-1.0,0.712345679012,0.707470182046,0.727469135802,0.724492979719,46.7212958336,False
0.0,2.0,625.0,-1.0,0.780864197531,0.772581678411,0.787962962963,0.776875608964,177.580195904,False
0.0,2.0,125.0,-1.0,0.779320987654,0.772655007949,0.791975308642,0.782299741602,151.635828972,False
0.0,2.0,25.0,-1.0,0.77962962963,0.772900763359,0.792283950617,0.782552504039,135.332420826,False
0.0,2.0,5.0,-1.0,0.778086419753,0.77080012751,0.787654320988,0.778064516129,100.608290195,False
0.0,2.0,1.0,-1.0,0.782407407407,0.777812795462,0.792901234568,0.785691472373,97.2576270103,False
0.0,2.0,0.2,-1.0,0.773148148148,0.766740717233,0.790740740741,0.781572164948,88.5579960346,False
0.0,2.0,0.04,-1.0,0.76975308642,0.763324873096,0.773148148148,0.762520193861,63.2562279701,False
0.0,2.0,0.008,-1.0,0.764814814815,0.765249537893,0.753703703704,0.751865671642,55.4730601311,False
0.0,2.0,0.0016,-1.0,0.719444444444,0.711885895404,0.71049382716,0.699166132136,51.3103599548,False
0.03,0.0,625.0,-1.0,0.762962962963,0.761342448726,0.78549382716,0.785824345146,148.423681021,False
0.03,0.0,125.0,-1.0,0.762962962963,0.761194029851,0.788888888889,0.788758492897,125.556106091,False
0.03,0.0,25.0,-1.0,0.763580246914,0.760923845194,0.786728395062,0.785203605844,116.935100079,False
0.03,0.0,5.0,-1.0,0.759567901235,0.752619879327,0.785802469136,0.779262086514,94.0007390976,False
0.03,0.0,1.0,-1.0,0.756790123457,0.749682337992,0.79012345679,0.786163522013,88.4098000526,False
0.03,0.0,0.2,-1.0,0.763580246914,0.755271565495,0.786111111111,0.779229053839,81.5464971066,False
0.03,0.0,0.04,-1.0,0.750308641975,0.736396220267,0.774382716049,0.763200518303,59.0174160004,False
0.03,0.0,0.008,-1.0,0.745679012346,0.744258224705,0.757716049383,0.760158875649,52.3619379997,False
0.03,0.0,0.0016,-1.0,0.710802469136,0.696665587569,0.702777777778,0.692430533376,42.9167709351,False
0.03,1.0,625.0,-1.0,0.778395061728,0.764281024294,0.77962962963,0.770418006431,141.729959965,False
0.03,1.0,125.0,-1.0,0.780555555556,0.765113974232,0.781172839506,0.770475882163,127.598888874,False
0.03,1.0,25.0,-1.0,0.778086419753,0.761525704809,0.782407407407,0.76953252697,109.773578167,False
0.03,1.0,5.0,-1.0,0.77962962963,0.763888888889,0.782098765432,0.770481144343,111.47120595,False
0.03,1.0,1.0,-1.0,0.777469135802,0.766136879663,0.778395061728,0.770899808551,84.5954470634,False
0.03,1.0,0.2,-1.0,0.771296296296,0.759337447223,0.781790123457,0.772741883639,80.2486801147,False
0.03,1.0,0.04,-1.0,0.770987654321,0.760180995475,0.781172839506,0.774419344575,59.6922950745,False
0.03,1.0,0.008,-1.0,0.767592592593,0.764907898845,0.751543209877,0.754498322659,52.1906850338,False
0.03,1.0,0.0016,-1.0,0.719135802469,0.708333333333,0.712037037037,0.709617180205,43.5126450062,False
0.03,2.0,625.0,-1.0,0.766975308642,0.758862983073,0.776234567901,0.769621862091,137.798177958,False
0.03,2.0,125.0,-1.0,0.768518518519,0.759461193072,0.781172839506,0.773987886516,134.508455038,False
0.03,2.0,25.0,-1.0,0.773456790123,0.761997405966,0.78024691358,0.771208226221,140.525215149,False
0.03,2.0,5.0,-1.0,0.771296296296,0.760581583199,0.778395061728,0.768387096774,102.250586987,False
0.03,2.0,1.0,-1.0,0.767283950617,0.759719566603,0.779012345679,0.771829190567,85.0235459805,False
0.03,2.0,0.2,-1.0,0.764197530864,0.75776791376,0.777777777778,0.77229601518,70.9998791218,False
0.03,2.0,0.04,-1.0,0.756481481481,0.749444268022,0.768209876543,0.761208267091,57.1930708885,False
0.03,2.0,0.008,-1.0,0.748765432099,0.745942571785,0.76450617284,0.763410852713,49.6560020447,False
0.03,2.0,0.0016,-1.0,0.713888888889,0.704871060172,0.722839506173,0.718141870684,42.4532568455,False
0.05,0.0,625.0,-1.0,0.762962962963,0.752577319588,0.773148148148,0.772375348405,137.629487991,False
0.05,0.0,125.0,-1.0,0.762037037037,0.750888529887,0.77037037037,0.76937383757,128.360036135,False
0.05,0.0,25.0,-1.0,0.762654320988,0.750890832523,0.775617283951,0.774293697609,128.182492971,False
0.05,0.0,5.0,-1.0,0.762654320988,0.752653586362,0.777160493827,0.776747062461,108.68958807,False
0.05,0.0,1.0,-1.0,0.762345679012,0.747871643746,0.777160493827,0.77493765586,94.5840139389,False
0.05,0.0,0.2,-1.0,0.760802469136,0.745818301082,0.774691358025,0.77215980025,69.6312499046,False
0.05,0.0,0.04,-1.0,0.754320987654,0.73935821873,0.766666666667,0.76404494382,58.4922139645,False
0.05,0.0,0.008,-1.0,0.727160493827,0.710353866317,0.748765432099,0.743702770781,50.7426149845,False
0.05,0.0,0.0016,-1.0,0.699691358025,0.675990675991,0.70987654321,0.704773869347,43.6601500511,False
0.05,1.0,625.0,-1.0,0.774074074074,0.764478764479,0.783950617284,0.777636594663,149.630490065,False
0.05,1.0,125.0,-1.0,0.775,0.764914543696,0.784567901235,0.775994865212,127.370145082,False
0.05,1.0,25.0,-1.0,0.773456790123,0.766390833864,0.781790123457,0.778161280201,121.426740885,False
0.05,1.0,5.0,-1.0,0.77962962963,0.77130044843,0.789814814815,0.785241248817,111.050484896,False
0.05,1.0,1.0,-1.0,0.776543209877,0.766451612903,0.78950617284,0.784450063211,97.2036240101,False
0.05,1.0,0.2,-1.0,0.761111111111,0.756603773585,0.766666666667,0.767813267813,76.9136748314,False
0.05,1.0,0.04,-1.0,0.753086419753,0.749530369443,0.765432098765,0.768856447689,63.8101410866,False
0.05,1.0,0.008,-1.0,0.738888888889,0.732108929702,0.772530864198,0.773021250385,53.1887128353,False
0.05,1.0,0.0016,-1.0,0.705864197531,0.694453350433,0.732098765432,0.730769230769,44.6409621239,False
0.05,2.0,625.0,-1.0,0.761419753086,0.766394681173,0.778086419753,0.776499844576,144.315083981,False
0.05,2.0,125.0,-1.0,0.76450617284,0.770802042655,0.774382716049,0.775007694675,137.970909119,False
0.05,2.0,25.0,-1.0,0.760802469136,0.757281553398,0.770679012346,0.771454936942,121.820327997,False
0.05,2.0,5.0,-1.0,0.764814814815,0.757941550191,0.772839506173,0.771570453135,110.110512018,False
0.05,2.0,1.0,-1.0,0.768827160494,0.760779303737,0.770987654321,0.768125,92.5485861301,False
0.05,2.0,0.2,-1.0,0.767283950617,0.758178319436,0.768518518519,0.764742785445,71.3837740421,False
0.05,2.0,0.04,-1.0,0.751851851852,0.738110749186,0.750617283951,0.742675159236,61.7870740891,False
0.05,2.0,0.008,-1.0,0.741049382716,0.733396885923,0.753395061728,0.752708139895,51.6575651169,False
0.05,2.0,0.0016,-1.0,0.708641975309,0.700127064803,0.723148148148,0.721860465116,46.8162720203,False
