ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0.0,0.5,0.810333333333,0.881778516518,0.814333333333,0.885884040156,True,17.1038241386
0.0,0.0,0.444375,0.826333333333,0.887545866609,0.827666666667,0.890023399277,True,17.685254097
0.0,0.0,0.38875,0.833333333333,0.88986784141,0.829333333333,0.888744024337,True,23.3426721096
0.0,0.0,0.333125,0.0,0.0,0.0,0.0,False,12.7581009865
0.0,0.0,0.2775,0.0,0.0,0.0,0.0,False,13.7190170288
0.0,0.0,0.221875,0.0,0.0,0.0,0.0,False,11.4775121212
0.0,0.0,0.16625,0.0,0.0,0.0,0.0,False,11.4307239056
0.0,0.0,0.110625,0.0,0.0,0.0,0.0,False,13.5597970486
0.0,0.0,0.055,0.0,0.0,0.0,0.0,False,12.9709599018
0.0,1.0,0.5,0.806333333333,0.883356755672,0.781,0.866055045872,True,13.8525388241
0.0,1.0,0.444375,0.837333333333,0.89634664401,0.822666666667,0.884997838305,True,13.277244091
0.0,1.0,0.38875,0.837,0.894041170098,0.832333333333,0.888296691095,True,21.5972929001
0.0,1.0,0.333125,0.0,0.0,0.0,0.0,False,13.0892751217
0.0,1.0,0.2775,0.0,0.0,0.0,0.0,False,11.7169320583
0.0,1.0,0.221875,0.0,0.0,0.0,0.0,False,17.1940491199
0.0,1.0,0.16625,0.0,0.0,0.0,0.0,False,11.5088310242
0.0,1.0,0.110625,0.0,0.0,0.0,0.0,False,12.7730951309
0.0,1.0,0.055,0.0,0.0,0.0,0.0,False,12.5536580086
0.0,2.0,0.5,0.776,0.865384615385,0.775333333333,0.8652,True,135.812566996
0.0,2.0,0.444375,0.826666666667,0.889596602972,0.814,0.88137755102,True,25.276252985
0.0,2.0,0.38875,0.834,0.892020815265,0.824,0.884967320261,True,18.9946291447
0.0,2.0,0.333125,0.0,0.0,0.0,0.0,False,14.0337519646
0.0,2.0,0.2775,0.0,0.0,0.0,0.0,False,12.0043361187
0.0,2.0,0.221875,0.0,0.0,0.0,0.0,False,19.6106131077
0.0,2.0,0.16625,0.0,0.0,0.0,0.0,False,11.9293959141
0.0,2.0,0.110625,0.0,0.0,0.0,0.0,False,13.1594069004
0.0,2.0,0.055,0.0,0.0,0.0,0.0,False,12.1551179886
0.03,0.0,0.5,0.799666666667,0.871443850267,0.833666666667,0.895409767344,True,29.2899479866
0.03,0.0,0.444375,0.813,0.87667619257,0.841333333333,0.897722389343,True,47.8553009033
0.03,0.0,0.38875,0.814,0.875613018279,0.843666666667,0.897843607057,True,55.5411179066
0.03,0.0,0.333125,0.0,0.0,0.0,0.0,False,92.2526831627
0.03,0.0,0.2775,0.0,0.0,0.0,0.0,False,76.8715898991
0.03,0.0,0.221875,0.0,0.0,0.0,0.0,False,22.6773660183
0.03,0.0,0.16625,0.0,0.0,0.0,0.0,False,106.01020813
0.03,0.0,0.110625,0.0,0.0,0.0,0.0,False,22.7101509571
0.03,0.0,0.055,0.0,0.0,0.0,0.0,False,113.078289986
0.03,1.0,0.5,0.811,0.88025343189,0.808333333333,0.880033382015,True,24.542746067
0.03,1.0,0.444375,0.823666666667,0.88532408411,0.823333333333,0.88616838488,True,30.3900449276
0.03,1.0,0.38875,0.825333333333,0.884683098592,0.830666666667,0.888645330995,True,22.5502080917
0.03,1.0,0.333125,0.825666666667,0.885382423844,0.835333333333,0.891856392294,True,93.1271348
0.03,1.0,0.2775,0.789,0.870366577923,0.793333333333,0.872898728987,True,93.867000103
0.03,1.0,0.221875,0.822666666667,0.884548611111,0.832333333333,0.890818319948,True,94.7633330822
0.03,1.0,0.16625,0.543666666667,0.631493943472,0.530333333333,0.628526232534,True,105.84326005
0.03,1.0,0.110625,0.0,0.0,0.0,0.0,False,34.4089620113
0.03,1.0,0.055,0.810333333333,0.877238403452,0.811333333333,0.878122308355,True,117.03915
0.03,2.0,0.5,0.812,0.879435656263,0.815333333333,0.884342379958,True,110.621407986
0.03,2.0,0.444375,0.827,0.88565763384,0.827333333333,0.888313928417,True,24.6078259945
0.03,2.0,0.38875,0.829666666667,0.885656746476,0.829333333333,0.88762071993,True,33.6514317989
0.03,2.0,0.333125,0.278666666667,0.0,0.269,0.0,False,85.7977180481
0.03,2.0,0.2775,0.831333333333,0.886597938144,0.827666666667,0.885492801772,True,74.8707768917
0.03,2.0,0.221875,0.262,0.0177462289264,0.269,0.0,False,75.1012630463
0.03,2.0,0.16625,0.824666666667,0.882589285714,0.829,0.886579703736,True,66.1997730732
0.03,2.0,0.110625,0.737666666667,0.844864971417,0.731666666667,0.844923906762,False,26.5686190128
0.03,2.0,0.055,0.278666666667,0.0,0.269,0.0,False,48.0750789642
0.05,0.0,0.5,0.816333333333,0.878874477907,0.823666666667,0.888325944691,True,51.5332481861
0.05,0.0,0.444375,0.83,0.885393258427,0.830333333333,0.890325360914,True,28.5148699284
0.05,0.0,0.38875,0.83,0.883455210238,0.833333333333,0.890734265734,True,31.8322851658
0.05,0.0,0.333125,0.825666666667,0.878400372007,0.827333333333,0.883438343834,True,89.7154898643
0.05,0.0,0.2775,0.582666666667,0.689021361153,0.570666666667,0.678,True,134.664338827
0.05,0.0,0.221875,0.781333333333,0.846370023419,0.791333333333,0.855893186004,True,123.914150953
0.05,0.0,0.16625,0.0,0.0,0.0,0.0,False,27.4644980431
0.05,0.0,0.110625,0.0,0.0,0.0,0.0,False,177.010545969
0.05,0.0,0.055,0.696,0.781504551989,0.710333333333,0.79663000234,True,43.563877821
0.05,1.0,0.5,0.812,0.876855895197,0.833,0.894236858771,True,32.5244159698
0.05,1.0,0.444375,0.823,0.881499665253,0.836,0.894011202068,True,24.8417830467
0.05,1.0,0.38875,0.0,0.0,0.0,0.0,False,75.2260580063
0.05,1.0,0.333125,0.0,0.0,0.0,0.0,False,71.9127130508
0.05,1.0,0.2775,0.0,0.0,0.0,0.0,False,123.764179945
0.05,1.0,0.221875,0.0,0.0,0.0,0.0,False,35.9791650772
0.05,1.0,0.16625,0.0,0.0,0.0,0.0,False,49.6179251671
0.05,1.0,0.110625,0.0,0.0,0.0,0.0,False,172.648164034
0.05,1.0,0.055,0.0,0.0,0.0,0.0,False,89.120953083
0.05,2.0,0.5,0.812,0.878761822872,0.808666666667,0.881844380403,True,30.5581309795
0.05,2.0,0.444375,0.828666666667,0.885062611807,0.835666666667,0.894725603246,True,24.5667560101
0.05,2.0,0.38875,0.491,0.585842148088,0.485666666667,0.591690923525,False,93.3313889503
0.05,2.0,0.333125,0.516,0.622268470343,0.542666666667,0.657,False,73.8879580498
0.05,2.0,0.2775,0.484666666667,0.547158758055,0.475,0.551409854742,False,40.6702308655
0.05,2.0,0.221875,0.455666666667,0.535419630156,0.446,0.538589672404,False,41.4112298489
0.05,2.0,0.16625,0.828,0.882245549977,0.842,0.896506550218,True,101.92200613
0.05,2.0,0.110625,0.458,0.533026995979,0.470333333333,0.549730801927,False,50.5281579494
0.05,2.0,0.055,0.289666666667,0.111713213839,0.289,0.0849420849421,False,76.4236810207
0.1,0.0,0.5,0.810666666667,0.869365225391,0.821,0.887868030904,True,27.6480588913
