ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0.0,625.0,-1.0,0.821666666667,0.879964101414,0.823666666667,0.883659555751,62.4340338707,False
0.0,0.0,125.0,-1.0,0.827,0.883866636832,0.826666666667,0.885864793679,66.508877039,False
0.0,0.0,25.0,-1.0,0.826,0.882801975752,0.828,0.88654353562,61.6902170181,False
0.0,0.0,5.0,-1.0,0.829666666667,0.886064659978,0.831666666667,0.889132821076,55.5185959339,False
0.0,0.0,1.0,-1.0,0.828,0.884460367219,0.830666666667,0.888449714537,57.2070720196,False
0.0,0.0,0.2,-1.0,0.825,0.882943143813,0.832,0.889570552147,47.5572090149,False
0.0,0.0,0.04,-1.0,0.828666666667,0.886784140969,0.827666666667,0.888216216216,42.8838479519,False
0.0,0.0,0.008,-1.0,0.827,0.8874918708,0.826666666667,0.889125799574,44.2380290031,False
0.0,0.0,0.0016,-1.0,0.806,0.880049464138,0.81,0.884099227328,37.2980899811,False
0.0,1.0,625.0,-1.0,0.832666666667,0.890056942619,0.822333333333,0.880466472303,61.5944600105,False
0.0,1.0,125.0,-1.0,0.833333333333,0.89039894783,0.825,0.881463084218,61.1849980354,False
0.0,1.0,25.0,-1.0,0.830666666667,0.888154997798,0.824,0.880866425993,61.7422480583,False
0.0,1.0,5.0,-1.0,0.830666666667,0.889179755672,0.822,0.880269058296,57.268529892,False
0.0,1.0,1.0,-1.0,0.834,0.890404929577,0.822666666667,0.880395683453,52.0224838257,False
0.0,1.0,0.2,-1.0,0.828666666667,0.887576552931,0.821,0.879190101237,49.5161509514,False
0.0,1.0,0.04,-1.0,0.832666666667,0.891435986159,0.821,0.881063122924,42.8885450363,False
0.0,1.0,0.008,-1.0,0.831,0.89224229543,0.819,0.88223812622,42.5321269035,False
0.0,1.0,0.0016,-1.0,0.805,0.882647943831,0.779333333333,0.864842792977,37.7840127945,False
0.0,2.0,625.0,-1.0,0.833666666667,0.890928961749,0.830666666667,0.887660327289,63.5271909237,False
0.0,2.0,125.0,-1.0,0.835666666667,0.891814790432,0.832666666667,0.888938053097,68.1843318939,False
0.0,2.0,25.0,-1.0,0.835,0.891089108911,0.834333333333,0.889971219836,64.5532679558,False
0.0,2.0,5.0,-1.0,0.831,0.88864484955,0.833333333333,0.889380530973,55.6401119232,False
0.0,2.0,1.0,-1.0,0.831333333333,0.889083735204,0.831666666667,0.888643880926,52.4446909428,False
0.0,2.0,0.2,-1.0,0.833333333333,0.890446976337,0.835666666667,0.891289966924,46.5654079914,False
0.0,2.0,0.04,-1.0,0.835333333333,0.892795138889,0.833,0.890443909906,42.7570347786,False
0.0,2.0,0.008,-1.0,0.832,0.892307692308,0.825333333333,0.887457044674,39.1398310661,False
0.0,2.0,0.0016,-1.0,0.796,0.875356415479,0.784333333333,0.868842489357,38.1136240959,False
0.03,0.0,625.0,-1.0,0.819,0.87706588182,0.841333333333,0.895107977082,69.7918710709,False
0.03,0.0,125.0,-1.0,0.820666666667,0.878280542986,0.842333333333,0.895746087723,66.8352429867,False
0.03,0.0,25.0,-1.0,0.819333333333,0.877320054323,0.839666666667,0.894262475269,64.3027470112,False
0.03,0.0,5.0,-1.0,0.817666666667,0.876607263704,0.841333333333,0.895659798334,62.6114449501,False
0.03,0.0,1.0,-1.0,0.823666666667,0.880613856917,0.842,0.895915678524,54.2392020226,False
0.03,0.0,0.2,-1.0,0.814666666667,0.874718341595,0.839333333333,0.894621775251,46.7660109997,False
