ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0.0,0.5,0.810333333333,0.881778516518,0.814333333333,0.885884040156,True,15.3032720089
0.0,0.0,0.444375,0.777,0.866333666334,0.783,0.871165644172,True,83.3513898849
0.0,0.0,0.38875,0.761666666667,0.859224256743,0.769333333333,0.864685177943,True,88.6241431236
0.0,0.0,0.333125,0.0,0.0,0.0,0.0,False,27.2004477978
0.0,0.0,0.2775,0.0,0.0,0.0,0.0,False,24.3117411137
0.0,0.0,0.221875,0.0,0.0,0.0,0.0,False,22.5361349583
0.0,0.0,0.16625,0.0,0.0,0.0,0.0,False,23.7603759766
0.0,0.0,0.110625,0.0,0.0,0.0,0.0,False,28.6452291012
0.0,0.0,0.055,0.0,0.0,0.0,0.0,False,22.8697679043
0.0,1.0,0.5,0.806333333333,0.883356755672,0.781,0.866055045872,True,14.1739690304
0.0,1.0,0.444375,0.817333333333,0.888798701299,0.791,0.870854788877,True,38.327078104
0.0,1.0,0.38875,0.803666666667,0.881892921596,0.779,0.865051903114,True,79.6764540672
0.0,1.0,0.333125,0.0,0.0,0.0,0.0,False,27.3973329067
0.0,1.0,0.2775,0.0,0.0,0.0,0.0,False,22.9783289433
0.0,1.0,0.221875,0.0,0.0,0.0,0.0,False,22.3220200539
0.0,1.0,0.16625,0.0,0.0,0.0,0.0,False,22.0459029675
0.0,1.0,0.110625,0.0,0.0,0.0,0.0,False,25.689248085
0.0,1.0,0.055,0.0,0.0,0.0,0.0,False,22.3455030918
0.0,2.0,0.5,0.776,0.865384615385,0.775333333333,0.8652,True,130.620971918
0.0,2.0,0.444375,0.775333333333,0.865307753797,0.772,0.86374501992,True,41.0274779797
0.0,2.0,0.38875,0.798,0.876427406199,0.788666666667,0.87139959432,True,66.7381491661
0.0,2.0,0.333125,0.0,0.0,0.0,0.0,False,27.8804001808
0.0,2.0,0.2775,0.0,0.0,0.0,0.0,False,25.0440599918
0.0,2.0,0.221875,0.0,0.0,0.0,0.0,False,32.9519751072
0.0,2.0,0.16625,0.0,0.0,0.0,0.0,False,23.4155669212
0.0,2.0,0.110625,0.0,0.0,0.0,0.0,False,24.7027299404
0.0,2.0,0.055,0.0,0.0,0.0,0.0,False,23.1054859161
0.03,0.0,0.5,0.763333333333,0.85586682907,0.784666666667,0.872231012658,True,107.42084384
0.03,0.0,0.444375,0.766,0.857142857143,0.789666666667,0.874527739113,True,130.62341404
0.03,0.0,0.38875,0.758,0.852798053528,0.783333333333,0.871439873418,True,210.215778828
0.03,0.0,0.333125,0.0,0.0,0.0,0.0,False,190.773386002
0.03,0.0,0.2775,0.0,0.0,0.0,0.0,False,234.347598791
0.03,0.0,0.221875,0.282333333333,0.0,0.256,0.0,False,457.771620035
0.03,0.0,0.16625,0.0,0.0,0.0,0.0,False,161.028144836
0.03,0.0,0.110625,0.0,0.0,0.0,0.0,False,46.037405014
0.03,0.0,0.055,0.0,0.0,0.0,0.0,False,109.685577869
0.03,1.0,0.5,0.795333333333,0.873714520773,0.780333333333,0.866734074823,True,64.8797490597
0.03,1.0,0.444375,0.75,0.851426307448,0.736333333333,0.845959104187,True,207.974890947
0.03,1.0,0.38875,0.770666666667,0.861402095085,0.760666666667,0.857426528991,True,267.557532072
0.03,1.0,0.333125,0.742666666667,0.847851793457,0.728,0.841921735761,True,361.810443878
0.03,1.0,0.2775,0.0,0.0,0.0,0.0,False,160.680775166
0.03,1.0,0.221875,0.0,0.0,0.0,0.0,False,239.924424171
0.03,1.0,0.16625,0.0,0.0,0.0,0.0,False,225.348962069
0.03,1.0,0.110625,0.0,0.0,0.0,0.0,False,232.51332283
0.03,1.0,0.055,0.0,0.0,0.0,0.0,False,191.59197998
0.03,2.0,0.5,0.768333333333,0.859737638749,0.760333333333,0.858548101515,True,184.212496042
0.03,2.0,0.444375,0.774,0.862307067425,0.766333333333,0.861380264979,True,125.858074903
0.03,2.0,0.38875,0.753,0.852125324287,0.747,0.852363353433,True,277.363076925
0.03,2.0,0.333125,0.738666666667,0.845059288538,0.733,0.84545629944,False,355.788758993
0.03,2.0,0.2775,0.0,0.0,0.0,0.0,False,154.061523914
0.03,2.0,0.221875,0.296666666667,0.0563506261181,0.283666666667,0.0444642063139,False,124.269195795
