ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.25,0.05,0.8567073170731707,0.0,0.8587112171837709,0.0,-42290315448.171,-760812720021.6696,8.40487289428711
0.0,0.0,0.225,0.05,0.8567073170731707,0.0,0.8587112171837709,0.0,-79679105605.91023,-977102738361.1315,4.472431898117065
0.0,0.0,0.2,0.05,0.8567073170731707,0.0,0.8587112171837709,0.0,-136386700620.91673,-893613706141.8068,4.511945009231567
0.0,0.0,0.175,0.05,0.8567073170731707,0.0,0.8587112171837709,0.0,-66357095691.52442,-68226925891.55531,6.1172778606414795
0.0,0.0,0.15,0.05,0.9054878048780488,0.5079365079365079,0.9178997613365155,0.5904761904761905,-6.730118128240978,-130.8886528188765,7.774768114089966
0.0,0.0,0.125,0.05,0.9065040650406504,0.5157894736842106,0.9183770883054893,0.5938242280285035,-6.596963600092811,-97.59666428449698,7.177698850631714
0.0,0.0,0.09999999999999998,0.05,0.931910569105691,0.7099567099567099,0.9436754176610979,0.7658730158730158,-3.542617385567892,-35.42617384652733,4.450927019119263
0.0,0.0,0.07499999999999998,0.05,0.931910569105691,0.7099567099567099,0.9436754176610979,0.7658730158730158,-3.542617348783225,-17.713086774535107,4.9160308837890625
0.0,0.0,0.05,0.05,0.8302845528455285,0.5546666666666666,0.8310262529832936,0.5541561712846347,0.4717345455878972,0.0,5.2215800285339355
0.03,0.0,0.25,0.05,0.8526422764227642,0.0,0.8620525059665871,0.0,-70339801944.7268,-769603920491.1813,5.127896070480347
0.03,0.0,0.225,0.05,0.8526422764227642,0.0,0.8620525059665871,0.0,-30400923420.45254,-161142383914.02118,7.0067970752716064
0.03,0.0,0.2,0.05,0.858739837398374,0.07947019867549668,0.8763723150357995,0.18808777429467083,-22.81809810926575,-339.66809491605653,4.555830001831055
0.03,0.0,0.175,0.05,0.8709349593495935,0.23030303030303031,0.886873508353222,0.30903790087463556,-15.286479284399856,-252.70844946672756,4.575676918029785
0.03,0.0,0.15,0.05,0.8770325203252033,0.3240223463687151,0.8964200477326969,0.40220385674931125,-11.982368463563612,-184.08380435000365,4.986242055892944
0.03,0.0,0.125,0.05,0.8770325203252033,0.3240223463687151,0.8978520286396181,0.41530054644808745,-10.35187294874607,-128.44934990570138,9.00431513786316
0.03,0.0,0.09999999999999998,0.05,0.8922764227642277,0.4752475247524752,0.9140811455847255,0.5522388059701493,-4.793816673657612,-47.938166713112885,5.168520927429199
0.03,0.0,0.07499999999999998,0.05,0.8943089430894309,0.4799999999999999,0.9131264916467781,0.545,-4.678565252458448,-23.392826327034914,6.778447151184082
0.03,0.0,0.05,0.05,0.7682926829268293,0.40314136125654443,0.7976133651551313,0.44647519582245426,0.47423150272779263,0.0,5.212484836578369
