ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.25,0.05,0.87093495935,0.0,0.844512195122,0.0,-7214517786.91,-2.71754706708e+11,25.7184259892
0.0,0.0,0.23125,0.05,0.87093495935,0.0,0.844512195122,0.0,-239031210.842,-2634650380.35,26.4726970196
0.0,0.0,0.2125,0.05,0.930894308943,0.634408602151,0.912601626016,0.609090909091,-11.8557173225,-1408.00161359,38.2293000221
0.0,0.0,0.19375,0.05,0.935975609756,0.673575129534,0.916666666667,0.633928571429,-9.8922039419,-1143.19968118,41.0471720695
0.0,0.0,0.175,0.05,0.946138211382,0.738916256158,0.92581300813,0.68669527897,-8.32949246866,-910.742708672,29.0650520325
0.0,0.0,0.15625,0.05,0.956300813008,0.798122065728,0.930894308943,0.714285714286,-7.28585226323,-719.013488147,34.125838995
0.0,0.0,0.1375,0.05,0.962398373984,0.831050228311,0.936991869919,0.745901639344,-6.12448955575,-554.245506389,36.3243010044
0.0,0.0,0.11875,0.05,0.964430894309,0.843049327354,0.944105691057,0.780876494024,-5.16831018174,-412.78041806,36.4679348469
0.0,0.0,0.1,0.05,0.965447154472,0.846846846847,0.94512195122,0.785714285714,-4.74063896432,-292.787328974,55.5667021275
0.0,1.0,0.25,0.05,0.855691056911,0.0,0.863821138211,0.0,-1678833332.9,-48309414328.1,41.5609490871
0.0,1.0,0.23125,0.05,0.855691056911,0.0,0.863821138211,0.0,-456907488.587,-1251991652.37,31.7693030834
0.0,1.0,0.2125,0.05,0.914634146341,0.58,0.912601626016,0.537634408602,-11.881245923,-1488.6114562,39.0202169418
0.0,1.0,0.19375,0.05,0.923780487805,0.641148325359,0.923780487805,0.619289340102,-10.0327823429,-1222.85045912,46.1430830956
0.0,1.0,0.175,0.05,0.930894308943,0.685185185185,0.926829268293,0.64,-8.83029817859,-989.800258692,28.6876659393
0.0,1.0,0.15625,0.05,0.938008130081,0.726457399103,0.927845528455,0.646766169154,-7.82775142499,-786.420926416,43.1454279423
0.0,1.0,0.1375,0.05,0.950203252033,0.791489361702,0.938008130081,0.710900473934,-6.82110982815,-605.857334008,48.2515871525
0.0,1.0,0.11875,0.05,0.95325203252,0.806722689076,0.940040650407,0.723004694836,-5.91276120242,-450.368792762,52.8715090752
