ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0.0,0.25,0.932926829268,0.652631578947,0.915650406504,0.627802690583,True,20.9403688908
0.0,0.0,0.225,0.932926829268,0.648936170213,0.915650406504,0.627802690583,True,50.7459812164
0.0,0.0,0.2,0.931910569106,0.641711229947,0.914634146341,0.621621621622,True,56.6465809345
0.0,0.0,0.175,0.92581300813,0.596685082873,0.908536585366,0.583333333333,True,90.3589658737
0.0,0.0,0.15,0.893292682927,0.295302013423,0.860772357724,0.189349112426,True,171.16701293
0.0,0.0,0.125,0.913617886179,0.497041420118,0.881097560976,0.380952380952,True,409.063725948
0.0,0.0,0.1,0.941056910569,0.704081632653,0.922764227642,0.669565217391,True,314.923888922
0.0,0.0,0.075,0.961382113821,0.825688073394,0.936991869919,0.745901639344,True,245.260828018
0.0,0.0,0.05,0.971544715447,0.878260869565,0.956300813008,0.838951310861,True,180.326971054
0.0,1.0,0.25,0.922764227642,0.634615384615,0.92174796748,0.605128205128,True,19.6763391495
0.0,1.0,0.225,0.92174796748,0.628019323671,0.920731707317,0.59793814433,True,39.2650427818
0.0,1.0,0.2,0.896341463415,0.43956043956,0.896341463415,0.385542168675,True,100.37605691
0.0,1.0,0.175,0.868902439024,0.167741935484,0.873983739837,0.138888888889,True,145.011801004
0.0,1.0,0.15,0.87093495935,0.191082802548,0.876016260163,0.164383561644,True,222.161828995
0.0,1.0,0.125,0.884146341463,0.329411764706,0.893292682927,0.355828220859,True,369.053536892
0.0,1.0,0.1,0.920731707317,0.621359223301,0.918699186992,0.578947368421,True,283.682615995
0.0,1.0,0.075,0.951219512195,0.796610169492,0.935975609756,0.698564593301,True,255.902935982
0.0,1.0,0.05,0.968495934959,0.879377431907,0.960365853659,0.834042553191,True,171.869251966
0.0,2.0,0.25,0.915650406504,0.574358974359,0.908536585366,0.536082474227,True,19.486259222
0.0,2.0,0.225,0.910569105691,0.536842105263,0.906504065041,0.520833333333,True,51.3511462212
0.0,2.0,0.2,0.910569105691,0.536842105263,0.905487804878,0.513089005236,True,83.7613930702
0.0,2.0,0.175,0.890243902439,0.364705882353,0.886178861789,0.341176470588,True,128.262731075
0.0,2.0,0.15,0.869918699187,0.146666666667,0.867886178862,0.144736842105,True,182.097951889
0.0,2.0,0.125,0.87093495935,0.158940397351,0.87093495935,0.18064516129,True,342.26663208
0.0,2.0,0.1,0.92581300813,0.643902439024,0.917682926829,0.600985221675,True,260.032989025
0.0,2.0,0.075,0.94512195122,0.758928571429,0.942073170732,0.751091703057,True,256.281203985
0.0,2.0,0.05,0.963414634146,0.852459016393,0.956300813008,0.824489795918,True,198.600250959
0.0,3.0,0.25,0.910569105691,0.521739130435,0.897357723577,0.502463054187,True,33.7703979015
0.0,3.0,0.225,0.903455284553,0.463276836158,0.882113821138,0.382978723404,True,63.9994559288
0.0,3.0,0.2,0.904471544715,0.47191011236,0.885162601626,0.408376963351,True,59.7946720123
0.0,3.0,0.175,0.915650406504,0.560846560847,0.897357723577,0.502463054187,True,102.559036016
0.0,3.0,0.15,0.877032520325,0.198675496689,0.859756097561,0.168674698795,True,151.494622946
0.0,3.0,0.125,0.882113821138,0.25641025641,0.857723577236,0.146341463415,True,347.122392893
0.0,3.0,0.1,0.917682926829,0.575916230366,0.897357723577,0.502463054187,True,300.949207067
0.0,3.0,0.075,0.924796747967,0.626262626263,0.915650406504,0.62443438914,True,249.119799852
0.0,3.0,0.05,0.956300813008,0.812227074236,0.939024390244,0.754098360656,True,196.044991016
0.0,4.0,0.25,0.888211382114,0.329268292683,0.890243902439,0.341463414634,True,38.5572118759
0.0,4.0,0.225,0.887195121951,0.319018404908,0.886178861789,0.3,True,83.8143289089
0.0,4.0,0.2,0.905487804878,0.486187845304,0.905487804878,0.486187845304,True,74.1014871597
0.0,4.0,0.175,0.886178861789,0.308641975309,0.884146341463,0.278481012658,True,143.711858034
0.0,4.0,0.15,0.867886178862,0.0972222222222,0.865853658537,0.0571428571429,True,263.319816113
0.0,4.0,0.125,0.895325203252,0.397660818713,0.889227642276,0.331288343558,True,383.931671858
0.0,4.0,0.1,0.916666666667,0.572916666667,0.918699186992,0.587628865979,True,367.174203873
0.0,4.0,0.075,0.942073170732,0.739726027397,0.935975609756,0.701421800948,True,255.593776941
0.0,4.0,0.05,0.955284552846,0.810344827586,0.94918699187,0.774774774775,True,194.268042803
0.0,5.0,0.25,0.919715447154,0.598984771574,0.910569105691,0.555555555556,True,20.792345047
0.0,5.0,0.225,0.916666666667,0.577319587629,0.911585365854,0.562814070352,True,51.4063720703
0.0,5.0,0.2,0.916666666667,0.577319587629,0.910569105691,0.555555555556,True,80.2744989395
0.0,5.0,0.175,0.905487804878,0.491803278689,0.895325203252,0.437158469945,True,118.34078908
0.0,5.0,0.15,0.876016260163,0.197368421053,0.864837398374,0.130718954248,True,219.904395819
0.0,5.0,0.125,0.880081300813,0.24358974359,0.871951219512,0.2125,True,435.089565039
0.0,5.0,0.1,0.917682926829,0.584615384615,0.910569105691,0.555555555556,True,361.817847013
0.0,5.0,0.075,0.94512195122,0.756756756757,0.933943089431,0.705882352941,True,225.030897141
0.0,5.0,0.05,0.956300813008,0.817021276596,0.954268292683,0.816326530612,True,172.036683798
0.0,6.0,0.25,0.928861788618,0.65,0.914634146341,0.584158415842,True,32.1769399643
0.0,6.0,0.225,0.927845528455,0.643216080402,0.913617886179,0.577114427861,True,38.4864780903
0.0,6.0,0.2,0.891260162602,0.335403726708,0.884146341463,0.329411764706,True,99.1246688366
0.0,6.0,0.175,0.912601626016,0.532608695652,0.899390243902,0.470588235294,True,117.144673824
0.0,6.0,0.15,0.875,0.151724137931,0.867886178862,0.155844155844,True,225.849457026
0.0,6.0,0.125,0.904471544715,0.459770114943,0.884146341463,0.329411764706,True,368.330803871
0.0,6.0,0.1,0.931910569106,0.669950738916,0.916666666667,0.598039215686,True,350.025925159
0.0,6.0,0.075,0.939024390244,0.714285714286,0.943089430894,0.75652173913,True,276.462366819
0.0,6.0,0.05,0.956300813008,0.810572687225,0.957317073171,0.827868852459,True,182.550648928
0.0,7.0,0.25,0.909552845528,0.467065868263,0.92174796748,0.609137055838,True,63.7882461548
0.0,7.0,0.225,0.908536585366,0.457831325301,0.919715447154,0.594871794872,True,68.8169469833
0.0,7.0,0.2,0.90243902439,0.4,0.907520325203,0.502732240437,True,145.779858112
