ratio,trial,C,val-acc,val-f,test-acc,test-f,comp_time
0.0,0.0,625.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,
0.0,0.0,125.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,
0.0,0.0,25.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,
0.0,0.0,5.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,
0.0,0.0,1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,
0.0,0.0,0.2,0.993627774116,0.99389602189,0.993188310261,0.993518712105,
0.0,0.0,0.04,0.994286969897,0.994528619529,0.993627774116,0.993936859711,
0.0,0.0,0.008,0.994946165678,0.995156875132,0.993408042189,0.993726474279,
0.0,0.0,0.0016,0.995385629532,0.995578016425,0.993408042189,0.99372909699,
0.0,1.0,625.0,0.992089650626,0.992356687898,0.992748846407,0.993018828009,
0.0,1.0,125.0,0.992089650626,0.992356687898,0.992748846407,0.993018828009,
0.0,1.0,25.0,0.992089650626,0.992356687898,0.992748846407,0.993018828009,
0.0,1.0,5.0,0.992089650626,0.992356687898,0.992748846407,0.993018828009,
0.0,1.0,1.0,0.992089650626,0.992356687898,0.992748846407,0.993018828009,
0.0,1.0,0.2,0.992089650626,0.992356687898,0.992748846407,0.993015873016,
0.0,1.0,0.04,0.995385629532,0.995542347697,0.993847506043,0.99406779661,
0.0,1.0,0.008,0.996484289167,0.996604414261,0.99406723797,0.994285714286,
0.0,1.0,0.0016,0.99626455724,0.996388357765,0.99252911448,0.99281487743,
0.0,2.0,625.0,0.993627774116,0.993841579953,0.993408042189,0.993721222269,
0.0,2.0,125.0,0.993627774116,0.993841579953,0.993408042189,0.993721222269,
0.0,2.0,25.0,0.993627774116,0.993841579953,0.993408042189,0.993721222269,
0.0,2.0,5.0,0.993627774116,0.993841579953,0.993408042189,0.993721222269,
0.0,2.0,1.0,0.993627774116,0.993841579953,0.993408042189,0.993721222269,
0.0,2.0,0.2,0.993627774116,0.993841579953,0.993408042189,0.993721222269,
0.0,2.0,0.04,0.994286969897,0.994484514213,0.993627774116,0.993929244296,
0.0,2.0,0.008,0.993627774116,0.993844194439,0.995385629532,0.995609450136,
0.0,2.0,0.0016,0.99406723797,0.994276022896,0.994286969897,0.994569757728,
0.03,0.0,625.0,0.968138870578,0.969898276936,0.985937156669,0.986440677966,
0.03,0.0,125.0,0.968138870578,0.969898276936,0.985937156669,0.986440677966,
0.03,0.0,25.0,0.968138870578,0.969898276936,0.985937156669,0.986440677966,
0.03,0.0,5.0,0.968138870578,0.969898276936,0.985937156669,0.986440677966,
0.03,0.0,1.0,0.968138870578,0.969898276936,0.985937156669,0.986440677966,
0.03,0.0,0.2,0.972094045265,0.973558192796,0.987255548231,0.987696224014,
0.03,0.0,0.04,0.976049219952,0.977286934778,0.989672599429,0.990023349607,
0.03,0.0,0.008,0.976708415733,0.977907461442,0.99033179521,0.990646258503,
0.03,0.0,0.0016,0.976708415733,0.977907461442,0.990112063283,0.990435706695,
0.03,1.0,625.0,0.970336189848,0.97107349475,0.98286090969,0.983160621762,
0.03,1.0,125.0,0.970336189848,0.97107349475,0.98286090969,0.983160621762,
0.03,1.0,25.0,0.970336189848,0.97107349475,0.98286090969,0.983160621762,
0.03,1.0,5.0,0.970336189848,0.97107349475,0.98286090969,0.983160621762,
0.03,1.0,1.0,0.970336189848,0.97107349475,0.98286090969,0.983160621762,
0.03,1.0,0.2,0.972972972973,0.973689839572,0.985277960888,0.985532282444,
