ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0.0,0.9,0.938475060426,0.944245320589,0.939573720062,0.945490584737,True,153.469865084
0.0,0.0,0.8,0.95605361459,0.959464937171,0.959129861569,0.962454582156,True,124.088073015
0.0,0.0,0.7,0.966600747089,0.968890708146,0.965502087453,0.968121827411,True,188.039726973
0.0,0.0,0.6,0.972972972973,0.974675725757,0.970775653702,0.972862681085,True,141.235940933
0.0,0.0,0.5,0.977367611514,0.978697001034,0.976049219952,0.977641025641,True,85.9424290657
0.0,0.0,0.4,0.981762250055,0.982740694531,0.980224126566,0.981443298969,True,129.631289959
0.0,0.0,0.3,0.985277960888,0.986027111575,0.985058228961,0.98590965603,True,90.1382000446
0.0,0.0,0.2,0.988793671721,0.98933277557,0.988134475939,0.988778054863,True,140.172448874
0.0,0.0,0.1,0.99252911448,0.992863140218,0.991210722918,0.99165971643,True,89.9404909611
0.0,1.0,0.9,0.924192485168,0.931669637552,0.926389804439,0.933518555269,True,113.066148043
0.0,1.0,0.8,0.949461656779,0.953308972797,0.952537903757,0.956079707198,True,118.166159868
0.0,1.0,0.7,0.963963963964,0.966255144033,0.962865304329,0.965304865531,True,104.317008972
0.0,1.0,0.6,0.971654581411,0.973253161932,0.970116457921,0.971889210418,True,97.5785729885
0.0,1.0,0.5,0.977587343441,0.978723404255,0.975609756098,0.976908674849,True,91.8197939396
0.0,1.0,0.4,0.98286090969,0.983647798742,0.97912546693,0.980171154248,True,127.014012814
0.0,1.0,0.3,0.985497692815,0.986122792262,0.983520105471,0.984293193717,True,103.715939045
0.0,1.0,0.2,0.987475280158,0.987992416263,0.988354207866,0.988849147907,True,97.9123241901
0.0,1.0,0.1,0.992309382553,0.992595726677,0.991650186772,0.991972961555,True,68.917181015
0.0,2.0,0.9,0.930125247198,0.936221419976,0.934080421885,0.940921622686,True,135.408833981
0.0,2.0,0.8,0.948802460998,0.95240040858,0.95385629532,0.957848253713,True,124.096411943
0.0,2.0,0.7,0.961546912766,0.963820549928,0.964403427818,0.967153284672,True,137.763006926
0.0,2.0,0.6,0.969237530213,0.970833333333,0.972972972973,0.974862047823,True,155.155841112
0.0,2.0,0.5,0.973851900681,0.975099393178,0.975829488025,0.977449774498,True,145.665781021
0.0,2.0,0.4,0.978686003076,0.979608997267,0.981542518128,0.982673267327,True,85.2015750408
0.0,2.0,0.3,0.981981981982,0.982700421941,0.985497692815,0.986335403727,True,107.0664258
0.0,2.0,0.2,0.985277960888,0.985814101207,0.988573939793,0.989202657807,True,67.7833039761
0.0,2.0,0.1,0.991650186772,0.991901108269,0.993188310261,0.993537627684,True,74.4467208385
0.03,0.0,0.9,0.915403208086,0.924936634822,0.928587123709,0.935038976614,True,122.742030144
0.03,0.0,0.8,0.941111843551,0.946485623003,0.950999780268,0.954461915458,True,119.821023941
0.03,0.0,0.7,0.950999780268,0.955049385205,0.961986376621,0.964278339872,True,136.586716175
0.03,0.0,0.6,0.958031201934,0.961249746399,0.969896725994,0.971488033299,True,91.7334148884
0.03,0.0,0.5,0.963304768183,0.965953109072,0.973851900681,0.97513061651,True,294.095210791
0.03,0.0,0.4,0.96725994287,0.969460955114,0.979345198857,0.98025210084,True,96.6551890373
0.03,0.0,0.3,0.972753241046,0.974454058508,0.982201713909,0.982936591531,True,284.091385126
0.03,0.0,0.2,0.977147879587,0.978450062163,0.985937156669,0.986463620981,True,81.5469300747
0.03,0.0,0.1,0.980224126566,0.981288981289,0.989892331356,0.990233545648,True,89.5141620636
0.03,1.0,0.9,0.914744012305,0.922275641026,0.928587123709,0.936237002158,True,271.283354044
0.03,1.0,0.8,0.939134256207,0.943062692703,0.951658976049,0.95589414595,True,127.844402075
0.03,1.0,0.7,0.951658976049,0.954204829309,0.962206108548,0.965168084245,True,503.601752996
0.03,1.0,0.6,0.956932542298,0.959012965286,0.970775653702,0.972851602368,True,127.617290974
0.03,1.0,0.5,0.960887716985,0.962605042017,0.976049219952,0.977631848964,True,191.67323184
0.03,1.0,0.4,0.96572181938,0.96707471507,0.979345198857,0.980634528224,True,472.287290096
0.03,1.0,0.3,0.970336189848,0.971416472581,0.983959569325,0.984901758014,True,186.156842947
0.03,1.0,0.2,0.972972972973,0.9738575983,0.987914744012,0.988586843744,True,83.2769169807
0.03,1.0,0.1,0.976049219952,0.976783812567,0.991650186772,0.992086630571,True,83.2061460018
0.03,2.0,0.9,0.908152054494,0.917554240631,0.918699186992,0.927107959023,True,161.493242025
0.03,2.0,0.8,0.938035596572,0.942729488221,0.95012085256,0.953908629442,True,264.623996973
0.03,2.0,0.7,0.950999780268,0.954124665707,0.961986376621,0.96443987667,True,114.793406963
0.03,2.0,0.6,0.959569325423,0.961841559519,0.969237530213,0.971014492754,True,219.41344595
0.03,2.0,0.5,0.966600747089,0.968253968254,0.973632168754,0.975051975052,True,76.6995899677
0.03,2.0,0.4,0.969237530213,0.970612930311,0.979784662711,0.980769230769,True,80.1743578911
