ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0,0.9,0.8475060426279939,0.8704740574841359,0.8507462686567164,0.8748605133110154,True,0.5549969673156738
0.0,0,0.8,0.9118874972533509,0.9207666469077257,0.9141553379598821,0.9238681392799933,True,0.8330860137939453
0.0,0,0.7,0.94067237969677,0.9451887941534715,0.939442912824413,0.9449961143251877,True,0.8308680057525635
0.0,0,0.6,0.954954954954955,0.9578102490224326,0.9532274931077098,0.956985486973247,True,0.5398540496826172
0.0,0,0.5,0.961327180839376,0.9635308744301698,0.9592166555756251,0.9622658105374264,True,0.8437180519104004
0.0,0,0.4,0.9630850362557679,0.9651162790697674,0.9624489019868809,0.9651398817403584,True,0.5845129489898682
0.0,0,0.29999999999999993,0.967699406723797,0.9693813788794001,0.9659663466108945,0.968301753143262,True,0.8410470485687256
0.0,0,0.19999999999999996,0.9705559217754339,0.9720133667502088,0.9669170073200875,0.9691598723856788,True,0.5345509052276611
0.0,0,0.1,0.971215117556581,0.9726113318001255,0.9672022055328453,0.9694013303769401,True,0.5538370609283447
0.0,1,0.9,0.953416831465612,0.9575320512820513,0.9571252020154007,0.9600212747096888,True,0.8402531147003174
0.0,1,0.8,0.955833882663151,0.9596628537025889,0.9614031752067687,0.9638597115898166,True,0.8479998111724854
0.0,1,0.7,0.9650626235992089,0.9678072484308564,0.9683429983838768,0.9701693093254502,True,0.5590579509735107
0.0,1,0.6,0.967479674796748,0.9699553390174582,0.9710048483696169,0.9725891974476498,True,0.5515820980072021
0.0,1,0.5,0.9720940452647769,0.9741080530071355,0.9750926894191463,0.9763537906137185,True,0.8083400726318359
0.0,1,0.4,0.97582948802461,0.9774959083469721,0.9782298697594829,0.9792741424563308,True,0.8154861927032471
0.0,1,0.29999999999999993,0.976928147659855,0.9784615384615385,0.9814621161707386,0.9822840010902153,True,0.5539841651916504
0.0,1,0.19999999999999996,0.979784662711492,0.9810777457836282,0.9831733054472859,0.983890051879494,True,0.5519928932189941
0.0,1,0.1,0.9824214458360799,0.9835051546391752,0.9845992965110753,0.9852297592997812,True,0.551954984664917
0.0,2,0.9,0.963304768182817,0.9665129336274313,0.9591215895047057,0.9617369638725752,True,0.5630691051483154
0.0,2,0.8,0.967699406723797,0.970392749244713,0.9633995626960737,0.9655912056484047,True,0.5607199668884277
0.0,2,0.7,0.973851900681169,0.9758865248226949,0.969388725163989,0.9710587812331476,True,0.5489771366119385
0.0,2,0.6,0.97582948802461,0.9776604386677499,0.9716703108660519,0.9731531531531531,True,0.5693910121917725
0.0,2,0.5,0.976928147659855,0.9786541980077251,0.9735716322844377,0.9749188018765789,True,0.822563886642456
0.0,2,0.4,0.981103054273786,0.9824489795918366,0.9789903983268371,0.9799473731966245,True,0.5578248500823975
0.0,2,0.29999999999999993,0.985497692814766,0.9864643150123051,0.9834585036600437,0.9841298796059832,True,0.8400838375091553
0.0,2,0.19999999999999996,0.985497692814766,0.9864643150123051,0.9837437018728016,0.9844020797227037,True,0.8218750953674316
0.0,2,0.1,0.985277960887717,0.9862620463399632,0.9840289000855594,0.9846659364731654,True,0.8355488777160645
0.03,0,0.9,0.6978686003076247,0.7725392886683209,0.7090027569160566,0.7812790282243658,True,0.5612280368804932
0.03,0,0.8,0.8657437925730609,0.8827930174563592,0.89171974522293,0.9055477236918483,True,0.8298468589782715
0.03,0,0.7,0.9191386508459679,0.925264012997563,0.9455271413632474,0.9500392362019356,True,0.5602850914001465
0.03,0,0.6,0.932762030323006,0.9370111156854674,0.9592166555756251,0.9620723189815225,True,0.8223040103912354
0.03,0,0.5,0.943528894748407,0.94649177597335,0.9708147162277783,0.9725230466302694,True,0.5414400100708008
0.03,0,0.4,0.9452867501647989,0.9480925578486554,0.9728111037170833,0.9743819419562881,True,0.5834460258483887
0.03,0,0.29999999999999993,0.944627554383652,0.9475,0.973381500142599,0.9749103942652331,True,0.5583920478820801
0.03,0,0.19999999999999996,0.9419907712590639,0.945137157107232,0.9710048483696169,0.9726922732563346,True,0.5685908794403076
0.03,0,0.1,0.9310041749066139,0.9353643474680939,0.9488544538454226,0.9525573192239859,True,0.8083629608154297
0.03,1,0.9,0.9158426719402329,0.923076923076923,0.9390626485407358,0.9444203589699124,True,0.5717949867248535
0.03,1,0.8,0.934300153812349,0.9388422990386581,0.9594067877174637,0.962282483879516,True,0.8387188911437988
0.03,1,0.7,0.9413315754779169,0.9449824850607871,0.9655860823272174,0.9678393745557926,True,0.5629308223724365
0.03,1,0.6,0.9452867501647989,0.9485005170630817,0.9701492537313433,0.9719892952720784,True,0.8369598388671875
0.03,1,0.5,0.9531970995385629,0.9555230737105866,0.9811769179579808,0.9821460775473398,True,0.8204169273376465
0.03,1,0.4,0.956932542298396,0.9589614740368508,0.9830782393763666,0.9839234104046243,True,0.5574438571929932
0.03,1,0.29999999999999993,0.9591298615688859,0.9609407811843763,0.9855499572202681,0.9862293893821346,True,0.6197700500488281
0.03,1,0.19999999999999996,0.952098439903318,0.9545454545454546,0.9751877554900656,0.9765772233689312,True,0.5468668937683105
0.03,1,0.1,0.9468248736541419,0.9497508305647842,0.9684380644547961,0.97036772581221,True,0.5435597896575928
0.03,2,0.9,0.5266974291364536,0.6877355755291389,0.520581804354026,0.6830892980581914,True,0.8445310592651367
0.03,2,0.8,0.8661832564271589,0.8838894184938035,0.8914345470101721,0.904865044985005,True,0.5721719264984131
0.03,2,0.7,0.9096901779828609,0.9184361976582655,0.9325981557182241,0.9386518992818206,True,0.8270080089569092
0.03,2,0.6,0.9259503405844869,0.93196042802342,0.9541781538169027,0.9574355351465913,True,0.8035259246826172
0.03,2,0.5,0.9417710393320149,0.9456633176132868,0.9672022055328453,0.9691440837134424,True,0.8219280242919922
0.03,2,0.4,0.948582729070534,0.9516728624535316,0.97594828405742,0.9771763644564727,True,0.8081259727478027
0.03,2,0.29999999999999993,0.95165897604922,0.9542999584545077,0.9820325125962543,0.982791586998088,True,0.5457699298858643
0.03,2,0.19999999999999996,0.95385629531971,0.9560485558811217,0.9820325125962543,0.9827065605270381,True,0.5551760196685791
0.03,2,0.1,0.943528894748407,0.9459061250263102,0.9724308394334062,0.9733112460887171,True,0.5369870662689209
0.05,0,0.9,0.6558998022412657,0.7460265974699968,0.6726875178248883,0.7604536283308982,True,0.5667390823364258
0.05,0,0.8,0.8923313557459899,0.9012096774193549,0.9375415914060272,0.943180835423333,True,0.8273839950561523
0.05,0,0.7,0.9070533948582729,0.913301906128305,0.9528472288240327,0.9564683166578902,True,0.8257520198822021
0.05,0,0.6,0.9151834761590859,0.920214964861513,0.9616883734195266,0.9643394389877002,True,0.8204329013824463
0.05,0,0.5,0.9235332893869479,0.9272879231090682,0.9721456412206484,0.9738042020563255,True,0.8218798637390137
0.05,0,0.4,0.9270490002197319,0.9303691275167786,0.9732864340716798,0.9747959458247376,True,0.5704641342163086
0.05,0,0.29999999999999993,0.929246319490222,0.9322675641564998,0.9750926894191463,0.9763878875270368,True,0.8338568210601807
0.05,0,0.19999999999999996,0.9182597231377719,0.9224030037546933,0.964160091263428,0.966438173239562,True,0.5401749610900879
0.05,0,0.1,0.8795869039771479,0.8900481540930979,0.9178629147257343,0.9261159569009749,True,0.5531888008117676
0.05,1,0.9,0.9046363436607339,0.9128163921253516,0.9473333967107139,0.9515818912777486,True,0.8388409614562988
0.05,1,0.8,0.9140848165238409,0.9207057392009734,0.9569350698735621,0.9600493870711704,True,0.5615849494934082
0.05,1,0.7,0.9191386508459679,0.9249898083978803,0.9620686377032037,0.9646433318564467,True,0.833076000213623
0.05,1,0.6,0.9244122170951439,0.9294503691550451,0.9679627341001996,0.96994023726697,True,0.8093481063842773
0.05,1,0.5,0.9270490002197319,0.9317434210526315,0.9714801787242133,0.973142345568487,True,0.8368799686431885
0.05,1,0.4,0.928806855636124,0.9332509270704573,0.974332160851792,0.9757499550925094,True,0.8191051483154297
0.05,1,0.29999999999999993,0.9290265875631729,0.9334157905586477,0.9749025572773077,0.9762717957936365,True,0.8501319885253906
0.05,1,0.19999999999999996,0.9259503405844869,0.9305870236869207,0.9723357733624869,0.9738943213420652,True,0.8179287910461426
0.05,1,0.1,0.9136453526697429,0.9200081416649706,0.960832778781253,0.9634038017409841,True,0.5556149482727051
0.05,2,0.9,0.8690397714787959,0.8823529411764707,0.9194790379313623,0.9280557207168947,True,0.8332018852233887
0.05,2,0.8,0.8839815425181279,0.8943154523618896,0.9313622967962734,0.9379831644047413,True,0.8516991138458252
0.05,2,0.7,0.8945286750164799,0.9028733306353702,0.9415343663846373,0.9466470026893381,True,0.8307070732116699
0.05,2,0.6,0.8973851900681169,0.9052546155406777,0.9452419431504896,0.949869451697128,True,0.8168900012969971
0.05,2,0.5,0.9022192924631949,0.9093501731513547,0.9496149824127769,0.9537037037037038,True,0.8190579414367676
0.05,2,0.4,0.9110085695451549,0.9167865214711322,0.9579807966536743,0.9610983981693364,True,0.5384430885314941
0.05,2,0.29999999999999993,0.919797846627115,0.924320962056811,0.9681528662420382,0.9702089817696754,True,0.550504207611084
0.05,2,0.19999999999999996,0.9250714128762909,0.928795155564836,0.9749025572773077,0.9763483246729977,True,0.8117098808288574
0.05,2,0.1,0.8910129641836959,0.8993506493506495,0.9454320752923282,0.9497284988614468,True,0.5381090641021729
0.1,0,0.9,0.5047242364315535,0.6708528037383178,0.5246696454035554,0.6882404289811698,True,0.8315951824188232
0.1,0,0.8,0.5047242364315535,0.6708528037383178,0.5246696454035554,0.6882404289811698,True,0.5653049945831299
0.1,0,0.7,0.7248956273346517,0.775948460987831,0.7942770225306588,0.8359611885991511,True,0.5556919574737549
0.1,0,0.6,0.8149857174247418,0.8339250493096647,0.8941914630668314,0.9082667106239182,True,0.8248329162597656
0.1,0,0.5,0.8444297956493079,0.8553330608908869,0.9339290807110943,0.9406338088323225,True,0.5548660755157471
0.1,0,0.4,0.8582729070533949,0.8659322386198296,0.9495199163418576,0.9539582068845921,True,0.5505728721618652
0.1,0,0.29999999999999993,0.8494836299714349,0.8587337595380491,0.9428652913775074,0.9481673134971971,True,0.5494201183319092
0.1,0,0.19999999999999996,0.8360799824214459,0.8479412963717897,0.927939918243179,0.935412406271302,True,0.5555529594421387
0.1,0,0.1,0.8147659854976929,0.8320382546323969,0.9015115505276167,0.9135802469135802,True,0.5475411415100098
0.1,1,0.9,0.5201054713249835,0.6843018213356461,0.5185854168647209,0.6829848503818705,True,0.5801010131835938
0.1,1,0.8,0.8066359041968798,0.8323809523809524,0.8826884684855975,0.8983692966562346,True,0.5534088611602783
0.1,1,0.7,0.8398154251812788,0.8552709946396665,0.93316855214374,0.9394226626454115,True,0.5609331130981445
0.1,1,0.6,0.8527796088771699,0.8648648648648648,0.9485692556326647,0.9527139236080763,True,0.5677049160003662
0.1,1,0.5,0.8571742474181498,0.8683144246353323,0.9555090788097728,0.9588318085855031,True,0.8256089687347412
0.1,1,0.4,0.8650845967919139,0.8745402533714753,0.9640650251925088,0.966447718799929,True,0.8219480514526367
0.1,1,0.29999999999999993,0.8694792353328938,0.8780788177339902,0.9679627341001996,0.9699402372669699,True,0.5456759929656982
0.1,1,0.19999999999999996,0.8626675455943749,0.8725790010193679,0.9561745413062078,0.9592432145698878,True,0.5613851547241211
0.1,1,0.1,0.8050977807075368,0.8158604940834545,0.8921950755775264,0.8980215827338129,True,0.5589761734008789
0.1,2,0.9,0.8505822896066798,0.8648111332007953,0.9312672307253541,0.9379771810929056,True,0.8384819030761719
0.1,2,0.8,0.8593715666886399,0.8712273641851107,0.9451468770795703,0.9498478922207736,True,0.5569181442260742
0.1,2,0.7,0.8721160184574819,0.8809328968903437,0.961498241277688,0.964263654813377,True,0.5575399398803711
0.1,2,0.6,0.8756317292902659,0.88358700123406,0.9670120733910067,0.9692075605643802,True,0.8220529556274414
0.1,2,0.5,0.8769501208525599,0.8847262247838616,0.9684380644547961,0.9704678882761074,True,0.568209171295166
0.1,2,0.4,0.8771698527796089,0.8848135174119102,0.9683429983838768,0.9703710294510187,True,0.565911054611206
0.1,2,0.29999999999999993,0.8587123709074929,0.8702844462376437,0.9465728681433596,0.950985522414094,True,0.8241071701049805
0.1,2,0.19999999999999996,0.8510217534607778,0.8639100762745886,0.9333586842855784,0.9391968080492671,True,0.5506689548492432
0.1,2,0.1,0.8035596572181938,0.8207698476343224,0.8765091738758437,0.8872885032537962,True,0.810866117477417
0.2,0,0.9,0.7668644254010107,0.7878424315136972,0.9491396520581804,0.9525835327483825,True,0.8280830383300781
0.2,0,0.8,0.7692814765985497,0.7890719164323021,0.9550337484551763,0.9578243423985733,True,0.8308990001678467
0.2,0,0.7,0.7765326301911668,0.7930824008138352,0.9661564787527331,0.9678990081154193,True,0.5831160545349121
0.2,0,0.6,0.7776312898264118,0.7938900203665988,0.9661564787527331,0.967870036101083,True,0.536175012588501
0.2,0,0.5,0.7618105910788837,0.783805345033905,0.9445764806540545,0.9482926829268292,True,0.814831018447876
0.2,0,0.4,0.7464293561854537,0.7741682974559687,0.9190987736476851,0.9262756649051372,True,0.8165061473846436
0.2,0,0.29999999999999993,0.7103933201494177,0.7469278033794162,0.87032987926609,0.8839543985026374,True,0.5644690990447998
0.2,0,0.19999999999999996,0.6486486486486487,0.6765122395306495,0.7621446905599392,0.7744726879394268,True,0.551055908203125
0.2,0,0.1,0.6198637662052296,0.6353288364249579,0.7136609943911019,0.7182413470533209,True,0.8337149620056152
0.2,1,0.9,0.6543616787519226,0.7314324739627794,0.7533035459644453,0.8071062216605962,True,0.8208098411560059
0.2,1,0.8,0.7310481212920237,0.7679180887372014,0.8821180720600817,0.8973679854328754,True,0.5533320903778076
0.2,1,0.7,0.7523621182157767,0.7797537619699042,0.9209050289951516,0.9284485724114208,True,0.8331420421600342
0.2,1,0.6,0.7415952537903757,0.7717391304347826,0.9088316379884019,0.9180831980866149,True,0.5802137851715088
0.2,1,0.5,0.7336849044166117,0.7679938744257274,0.888107234527997,0.9012335319291768,True,0.5788350105285645
0.2,1,0.4,0.7018237749945067,0.7497695002765996,0.8326837151820515,0.8578581812308189,True,0.5349681377410889
0.2,1,0.29999999999999993,0.6791913865084597,0.736842105263158,0.794372088601578,0.8289442467378411,True,0.5345020294189453
0.2,1,0.19999999999999996,0.6556800703142166,0.7137899543378995,0.7511170263333017,0.7918918918918918,True,0.8510491847991943
0.2,1,0.1,0.6119534168314656,0.6520882584712372,0.6886586177393288,0.7206346498336603,True,0.5813000202178955
0.2,2,0.9,0.6998461876510657,0.7455290611028317,0.8337294419621637,0.8625324215986796,True,0.5516681671142578
0.2,2,0.8,0.7499450670182377,0.7702866370609609,0.9273695218176633,0.9348122866894198,True,0.5923480987548828
0.2,2,0.7,0.7670841573280598,0.7786131996658312,0.9521817663275977,0.9559119992987992,True,0.832878828048706
0.2,2,0.6,0.7710393320149418,0.7800759814267624,0.9589314573628672,0.9617021276595745,True,0.5877640247344971
