ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0.0,625.0,-1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,76.5620150566,False
0.0,0.0,125.0,-1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,76.038435936,False
0.0,0.0,25.0,-1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,77.1729311943,False
0.0,0.0,5.0,-1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,76.5789439678,False
0.0,0.0,1.0,-1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,75.3431940079,False
0.0,0.0,0.2,-1.0,0.993627774116,0.99389602189,0.993188310261,0.993518712105,75.0054309368,False
0.0,0.0,0.04,-1.0,0.994286969897,0.994528619529,0.993627774116,0.993936859711,76.5677268505,False
0.0,0.0,0.008,-1.0,0.995165897605,0.995366470093,0.993847506043,0.994144709327,76.0254950523,False
0.0,0.0,0.0016,-1.0,0.995165897605,0.995366470093,0.993408042189,0.993726474279,76.5809619427,False
0.0,1.0,625.0,-1.0,0.995165897605,0.995329087049,0.991430454845,0.991732033072,76.1476149559,False
0.0,1.0,125.0,-1.0,0.995165897605,0.995329087049,0.991430454845,0.991732033072,76.7845540047,False
0.0,1.0,25.0,-1.0,0.995165897605,0.995329087049,0.991430454845,0.991732033072,77.1731948853,False
0.0,1.0,5.0,-1.0,0.995165897605,0.995329087049,0.991430454845,0.991732033072,76.3386089802,False
0.0,1.0,1.0,-1.0,0.995165897605,0.995329087049,0.991430454845,0.991732033072,75.9821650982,False
0.0,1.0,0.2,-1.0,0.995165897605,0.995329087049,0.991430454845,0.991732033072,75.5204598904,False
0.0,1.0,0.04,-1.0,0.996923753021,0.997028862479,0.99252911448,0.992784380306,75.3366801739,False
0.0,1.0,0.008,-1.0,0.99626455724,0.996389891697,0.993188310261,0.993430811613,77.1167571545,False
0.0,1.0,0.0016,-1.0,0.995825093386,0.995970307529,0.99252911448,0.992799661161,75.637570858,False
0.0,2.0,625.0,-1.0,0.992089650626,0.992294520548,0.991210722918,0.991617770327,76.9190020561,False
0.0,2.0,125.0,-1.0,0.992089650626,0.992294520548,0.991210722918,0.991617770327,75.7899398804,False
0.0,2.0,25.0,-1.0,0.992089650626,0.992294520548,0.991210722918,0.991617770327,75.8996510506,False
0.0,2.0,5.0,-1.0,0.992089650626,0.992294520548,0.991210722918,0.991617770327,76.2948188782,False
0.0,2.0,1.0,-1.0,0.992089650626,0.992294520548,0.991210722918,0.991617770327,75.906072855,False
0.0,2.0,0.2,-1.0,0.992089650626,0.992294520548,0.991430454845,0.991825613079,74.6405069828,False
0.0,2.0,0.04,-1.0,0.994506701824,0.994652406417,0.99406723797,0.994350282486,75.9817941189,False
0.0,2.0,0.008,-1.0,0.994286969897,0.994439692044,0.994726433751,0.994979079498,75.4278059006,False
0.0,2.0,0.0016,-1.0,0.993408042189,0.993597951344,0.995605361459,0.995819397993,77.8966770172,False
0.03,0.0,625.0,-1.0,0.974291364535,0.975630077067,0.98286090969,0.983460559796,80.2643010616,False
0.03,0.0,125.0,-1.0,0.974291364535,0.975630077067,0.98286090969,0.983460559796,82.3415272236,False
