ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0,625.0,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.061007022857666016,False
0.0,0,125.0,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.06001400947570801,False
0.0,0,25.0,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.05849194526672363,False
0.0,0,5.0,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.058171987533569336,False
0.0,0,1.0,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.06348800659179688,False
0.0,0,0.2,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.056329965591430664,False
0.0,0,0.04,-1.0,0.970995385629532,0.9723964868255961,0.9699591215895047,0.9718861209964413,0.05888700485229492,False
0.0,0,0.008,-1.0,0.97143484948363,0.9728033472803347,0.9676775358874418,0.9698421145999644,0.05971789360046387,False
0.0,0,0.0016,-1.0,0.968798066359042,0.9703919933277732,0.966441676965491,0.9687250819526888,0.06118607521057129,False
0.0,1,625.0,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.0602869987487793,False
0.0,1,125.0,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.05775284767150879,False
0.0,1,25.0,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.05703592300415039,False
0.0,1,5.0,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.06081104278564453,False
0.0,1,1.0,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.05512404441833496,False
0.0,1,0.2,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.056304931640625,False
0.0,1,0.04,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.05941605567932129,False
0.0,1,0.008,-1.0,0.982641177763129,0.9837146980004122,0.9847894286529137,0.9854094473828197,0.05753612518310547,False
0.0,1,0.0016,-1.0,0.9784662711491979,0.9798685291700904,0.982222644738093,0.9829984544049459,0.05802488327026367,False
0.0,2,625.0,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.05939507484436035,False
0.0,2,125.0,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.05945396423339844,False
0.0,2,25.0,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.056967973709106445,False
0.0,2,5.0,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.057374000549316406,False
0.0,2,1.0,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.07080197334289551,False
0.0,2,0.2,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.06077408790588379,False
0.0,2,0.04,-1.0,0.98681608437706,0.9876897825194911,0.9848844947238331,0.9854807780111405,0.061541080474853516,False
0.0,2,0.008,-1.0,0.986156888595913,0.9870769230769231,0.9846943625819945,0.9852954607726734,0.05971097946166992,False
0.0,2,0.0016,-1.0,0.985937156668864,0.986869101354124,0.9834585036600437,0.9841327740288163,0.056385040283203125,False
0.03,0,625.0,-1.0,0.9279279279279279,0.9319502074688797,0.944386348512216,0.9480784592171829,0.05963706970214844,False
0.03,0,125.0,-1.0,0.9279279279279279,0.9319502074688797,0.944386348512216,0.9480784592171829,0.06169700622558594,False
0.03,0,25.0,-1.0,0.9279279279279279,0.9319502074688797,0.944386348512216,0.9480784592171829,0.05772709846496582,False
0.03,0,5.0,-1.0,0.9279279279279279,0.9319502074688797,0.944386348512216,0.9480784592171829,0.09118318557739258,False
0.03,0,1.0,-1.0,0.9279279279279279,0.9319502074688797,0.944386348512216,0.9480784592171829,0.05607795715332031,False
0.03,0,0.2,-1.0,0.9279279279279279,0.9319502074688797,0.944386348512216,0.9480784592171829,0.05567312240600586,False
0.03,0,0.04,-1.0,0.929246319490222,0.933360927152318,0.9472383306397947,0.9507760532150777,0.05944705009460449,False
0.03,0,0.008,-1.0,0.935179081520545,0.9390621772361082,0.9553189466679343,0.9584878996643703,0.05911087989807129,False
0.03,0,0.0016,-1.0,0.944188090529554,0.9470833333333333,0.9734765662135184,0.9749977596558832,0.06268501281738281,False
0.03,1,625.0,-1.0,0.921335970116458,0.9236673773987207,0.9440060842285388,0.9461362597165065,0.05652499198913574,False
0.03,1,125.0,-1.0,0.921335970116458,0.9236673773987207,0.9440060842285388,0.9461362597165065,0.05752992630004883,False
0.03,1,25.0,-1.0,0.921335970116458,0.9236673773987207,0.9440060842285388,0.9461362597165065,0.05836200714111328,False
0.03,1,5.0,-1.0,0.921335970116458,0.9236673773987207,0.9440060842285388,0.9461362597165065,0.056426048278808594,False
0.03,1,1.0,-1.0,0.921335970116458,0.9236673773987207,0.9440060842285388,0.9461362597165065,0.05640101432800293,False
0.03,1,0.2,-1.0,0.921335970116458,0.9236673773987207,0.9440060842285388,0.9461362597165065,0.05879497528076172,False
0.03,1,0.04,-1.0,0.9459459459459459,0.9486430062630481,0.9687232626675539,0.970511786322488,0.05601000785827637,False
0.03,1,0.008,-1.0,0.948143265216436,0.9509559434746466,0.9705295180150204,0.9723065928175808,0.057698965072631836,False
0.03,1,0.0016,-1.0,0.957372006152494,0.9593632174277337,0.9843140982983173,0.9850746268656717,0.06235909461975098,False
0.03,2,625.0,-1.0,0.9250714128762909,0.9285863874345549,0.9554140127388535,0.957078795643818,0.0586850643157959,False
0.03,2,125.0,-1.0,0.9250714128762909,0.9285863874345549,0.9554140127388535,0.957078795643818,0.0606839656829834,False
0.03,2,25.0,-1.0,0.9250714128762909,0.9285863874345549,0.9554140127388535,0.957078795643818,0.06822395324707031,False
0.03,2,5.0,-1.0,0.9250714128762909,0.9285863874345549,0.9554140127388535,0.957078795643818,0.058424949645996094,False
0.03,2,1.0,-1.0,0.9250714128762909,0.9285863874345549,0.9554140127388535,0.957078795643818,0.05975508689880371,False
0.03,2,0.2,-1.0,0.9250714128762909,0.9285863874345549,0.9554140127388535,0.957078795643818,0.05752110481262207,False
0.03,2,0.04,-1.0,0.935179081520545,0.9380642452235985,0.9643502234052667,0.9655931736856592,0.05707693099975586,False
0.03,2,0.008,-1.0,0.951439244122171,0.9535811804242806,0.9808917197452229,0.9815579410955133,0.05880284309387207,False
0.03,2,0.0016,-1.0,0.95165897604922,0.9542999584545077,0.9824127768799316,0.9831711088874738,0.05863595008850098,False
0.05,0,625.0,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.057756900787353516,False
0.05,0,125.0,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.06460809707641602,False
0.05,0,25.0,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.05618000030517578,False
0.05,0,5.0,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.05970621109008789,False
0.05,0,1.0,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.06926393508911133,False
0.05,0,0.2,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.06118917465209961,False
0.05,0,0.04,-1.0,0.8747528015820699,0.8860911270983213,0.9126342808251735,0.9216338364458089,0.06466317176818848,False
0.05,0,0.008,-1.0,0.921775433970556,0.9254918375889494,0.966441676965491,0.9685074493710412,0.057572126388549805,False
0.05,0,0.0016,-1.0,0.9270490002197319,0.9303691275167786,0.9738568304971955,0.9752853419609957,0.06069302558898926,False
0.05,1,625.0,-1.0,0.8973851900681169,0.9057897922130321,0.9388725163988972,0.9436607377551914,0.05554485321044922,False
0.05,1,125.0,-1.0,0.8973851900681169,0.9057897922130321,0.9388725163988972,0.9436607377551914,0.05844402313232422,False
0.05,1,25.0,-1.0,0.8973851900681169,0.9057897922130321,0.9388725163988972,0.9436607377551914,0.055563926696777344,False
0.05,1,5.0,-1.0,0.8973851900681169,0.9057897922130321,0.9388725163988972,0.9436607377551914,0.0555720329284668,False
0.05,1,1.0,-1.0,0.8973851900681169,0.9057897922130321,0.9388725163988972,0.9436607377551914,0.057778120040893555,False
0.05,1,0.2,-1.0,0.8973851900681169,0.9057897922130321,0.9388725163988972,0.9436607377551914,0.06788110733032227,False
0.05,1,0.04,-1.0,0.9024390243902439,0.9104838709677419,0.9472383306397947,0.9512944273804301,0.06059408187866211,False
0.05,1,0.008,-1.0,0.918918918918919,0.9245244426263038,0.9662515448236524,0.9683290213221518,0.061209917068481445,False
0.05,1,0.0016,-1.0,0.9290265875631729,0.9334157905586477,0.9745222929936306,0.9759209344115005,0.06661295890808105,False
0.05,2,625.0,-1.0,0.8690397714787959,0.8776180698151951,0.9168171879456222,0.9232792634809296,0.06131911277770996,False
0.05,2,125.0,-1.0,0.8690397714787959,0.8776180698151951,0.9168171879456222,0.9232792634809296,0.05404210090637207,False
0.05,2,25.0,-1.0,0.8690397714787959,0.8776180698151951,0.9168171879456222,0.9232792634809296,0.06304383277893066,False
0.05,2,5.0,-1.0,0.8690397714787959,0.8776180698151951,0.9168171879456222,0.9232792634809296,0.05779385566711426,False
0.05,2,1.0,-1.0,0.8690397714787959,0.8776180698151951,0.9168171879456222,0.9232792634809296,0.05821394920349121,False
0.05,2,0.2,-1.0,0.8690397714787959,0.8776180698151951,0.9168171879456222,0.9232792634809296,0.05767703056335449,False
0.05,2,0.04,-1.0,0.8787079762689519,0.8871627146361406,0.9268941914630668,0.9327267955559443,0.06094193458557129,False
0.05,2,0.008,-1.0,0.9211162381894089,0.9250991028583351,0.972050575149729,0.9737030411449017,0.05997800827026367,False
0.05,2,0.0016,-1.0,0.9202373104812129,0.9247044181705041,0.9687232626675539,0.9707269330011566,0.06882500648498535,False
0.1,0,625.0,-1.0,0.8070753680509778,0.8245403677058353,0.8901986880882213,0.9032744326270833,0.05615687370300293,False
