ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,-1.0,0.7962577962577962,0.5585585585585585,0.7738589211618258,0.5791505791505792
0.0,0.0,625.0,0.0,0.7920997920997921,0.5575221238938053,0.7800829875518672,0.5891472868217055
0.0,0.0,625.0,0.5,0.8087318087318087,0.5619047619047619,0.7863070539419087,0.5761316872427984
0.0,0.0,125.0,-1.0,0.7879417879417879,0.5405405405405406,0.7759336099585062,0.5846153846153846
0.0,0.0,125.0,0.0,0.7920997920997921,0.5575221238938053,0.7800829875518672,0.5891472868217055
0.0,0.0,125.0,0.5,0.8087318087318087,0.5619047619047619,0.7863070539419087,0.5761316872427984
0.0,0.0,25.0,-1.0,0.7837837837837838,0.5185185185185184,0.7780082987551867,0.570281124497992
0.0,0.0,25.0,0.0,0.7920997920997921,0.5575221238938053,0.7800829875518672,0.5891472868217055
0.0,0.0,25.0,0.5,0.8087318087318087,0.5619047619047619,0.7863070539419087,0.5761316872427984
0.0,0.0,5.0,-1.0,0.7941787941787942,0.5560538116591929,0.7842323651452282,0.5968992248062015
0.0,0.0,5.0,0.0,0.7920997920997921,0.5575221238938053,0.7800829875518672,0.5891472868217055
0.0,0.0,5.0,0.5,0.8066528066528067,0.5592417061611374,0.7821576763485477,0.5714285714285714
0.0,0.0,1.0,-1.0,0.7775467775467776,0.5244444444444445,0.7904564315352697,0.6159695817490495
0.0,0.0,1.0,0.0,0.7962577962577962,0.5625,0.7904564315352697,0.6100386100386102
0.0,0.0,1.0,0.5,0.8128898128898129,0.5794392523364487,0.7883817427385892,0.5887096774193549
0.0,0.0,0.2,-1.0,0.8108108108108109,0.5767441860465116,0.7883817427385892,0.5984251968503937
0.0,0.0,0.2,0.0,0.7941787941787942,0.5352112676056339,0.7946058091286307,0.5991902834008097
0.0,0.0,0.2,0.5,0.8212058212058212,0.5742574257425742,0.7883817427385892,0.5785123966942148
0.0,0.0,0.04,-1.0,0.8232848232848233,0.5893719806763286,0.7904564315352697,0.5976095617529881
0.0,0.0,0.04,0.0,0.8045738045738046,0.5480769230769231,0.7966804979253111,0.5775862068965517
0.0,0.0,0.04,0.5,0.8212058212058212,0.5473684210526315,0.8153526970954357,0.5898617511520737
0.0,0.0,0.008,-1.0,0.8316008316008316,0.5668449197860963,0.8153526970954357,0.586046511627907
0.0,0.0,0.008,0.0,0.7941787941787942,0.2556390977443609,0.8029045643153527,0.4171779141104295
0.0,0.0,0.008,0.5,0.7733887733887734,0.09917355371900827,0.7468879668049793,0.11594202898550723
0.0,0.0,0.0016,-1.0,0.8066528066528067,0.3111111111111111,0.7863070539419087,0.31788079470198677
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,1.0,625.0,-1.0,0.7879417879417879,0.6165413533834587,0.8298755186721992,0.6693548387096774
0.0,1.0,625.0,0.0,0.8191268191268192,0.6588235294117646,0.8257261410788381,0.631578947368421
0.0,1.0,625.0,0.5,0.7941787941787942,0.6024096385542169,0.8257261410788381,0.6111111111111113
0.0,1.0,125.0,-1.0,0.7879417879417879,0.6165413533834587,0.8298755186721992,0.6693548387096774
0.0,1.0,125.0,0.0,0.8066528066528067,0.6463878326996197,0.8236514522821576,0.6443514644351465
0.0,1.0,125.0,0.5,0.7941787941787942,0.6024096385542169,0.8257261410788381,0.6111111111111113
0.0,1.0,25.0,-1.0,0.7962577962577962,0.6315789473684211,0.8340248962655602,0.6774193548387096
0.0,1.0,25.0,0.0,0.8066528066528067,0.6463878326996197,0.8236514522821576,0.6443514644351465
0.0,1.0,25.0,0.5,0.7941787941787942,0.6024096385542169,0.8257261410788381,0.6111111111111113
0.0,1.0,5.0,-1.0,0.8004158004158004,0.6363636363636364,0.8340248962655602,0.6774193548387096
0.0,1.0,5.0,0.0,0.8066528066528067,0.6463878326996197,0.8236514522821576,0.6443514644351465
0.0,1.0,5.0,0.5,0.7962577962577962,0.6048387096774194,0.8340248962655602,0.6261682242990655
0.0,1.0,1.0,-1.0,0.8024948024948025,0.6303501945525293,0.8236514522821576,0.6473029045643153
0.0,1.0,1.0,0.0,0.7900207900207901,0.6130268199233716,0.8257261410788381,0.631578947368421
0.0,1.0,1.0,0.5,0.8004158004158004,0.6000000000000001,0.8091286307053942,0.5964912280701754
0.0,1.0,0.2,-1.0,0.8004158004158004,0.6190476190476191,0.8360995850622407,0.6609442060085836
0.0,1.0,0.2,0.0,0.8024948024948025,0.6215139442231075,0.8319502074688797,0.6553191489361703
0.0,1.0,0.2,0.5,0.8087318087318087,0.6290322580645162,0.8132780082987552,0.5982142857142857
0.0,1.0,0.04,-1.0,0.7983367983367984,0.6072874493927125,0.8340248962655602,0.6460176991150443
0.0,1.0,0.04,0.0,0.8024948024948025,0.6215139442231075,0.8236514522821576,0.6153846153846154
0.0,1.0,0.04,0.5,0.7962577962577962,0.5663716814159292,0.7759336099585062,0.45999999999999996
0.0,1.0,0.008,-1.0,0.7941787941787942,0.5479452054794521,0.8236514522821576,0.5405405405405405
0.0,1.0,0.008,0.0,0.7920997920997921,0.5145631067961165,0.8049792531120332,0.4534883720930233
0.0,1.0,0.008,0.5,0.7754677754677755,0.35714285714285715,0.7883817427385892,0.2714285714285714
0.0,1.0,0.0016,-1.0,0.7775467775467776,0.3270440251572327,0.7883817427385892,0.2153846153846154
0.0,1.0,0.0016,0.0,0.7338877338877339,0.0,0.7634854771784232,0.017241379310344827
0.0,1.0,0.0016,0.5,0.7338877338877339,0.0,0.7614107883817427,0.0
0.0,2.0,625.0,-1.0,0.8274428274428275,0.6311111111111112,0.8298755186721992,0.6403508771929824
0.0,2.0,625.0,0.0,0.8336798336798337,0.6581196581196581,0.8485477178423236,0.6812227074235808
0.0,2.0,625.0,0.5,0.8295218295218295,0.6339285714285715,0.8547717842323651,0.6929824561403509
0.0,2.0,125.0,-1.0,0.8274428274428275,0.6311111111111112,0.8298755186721992,0.6403508771929824
0.0,2.0,125.0,0.0,0.8440748440748441,0.6666666666666667,0.8402489626556017,0.6666666666666667
0.0,2.0,125.0,0.5,0.8295218295218295,0.6339285714285715,0.8547717842323651,0.6929824561403509
0.0,2.0,25.0,-1.0,0.8212058212058212,0.6194690265486725,0.8402489626556017,0.6607929515418502
0.0,2.0,25.0,0.0,0.8440748440748441,0.6666666666666667,0.8402489626556017,0.6666666666666667
0.0,2.0,25.0,0.5,0.8295218295218295,0.6339285714285715,0.8547717842323651,0.6929824561403509
0.0,2.0,5.0,-1.0,0.817047817047817,0.6140350877192983,0.8340248962655602,0.6521739130434783
0.0,2.0,5.0,0.0,0.8440748440748441,0.6666666666666667,0.8402489626556017,0.6666666666666667
0.0,2.0,5.0,0.5,0.8295218295218295,0.6339285714285715,0.8547717842323651,0.6929824561403509
0.0,2.0,1.0,-1.0,0.817047817047817,0.6106194690265486,0.8319502074688797,0.64
0.0,2.0,1.0,0.0,0.8232848232848233,0.6188340807174889,0.8464730290456431,0.6754385964912281
0.0,2.0,1.0,0.5,0.817047817047817,0.6,0.8464730290456431,0.6636363636363636
0.0,2.0,0.2,-1.0,0.8212058212058212,0.6126126126126126,0.8568464730290456,0.6905829596412557
0.0,2.0,0.2,0.0,0.8191268191268192,0.6027397260273972,0.8464730290456431,0.6696428571428571
0.0,2.0,0.2,0.5,0.8232848232848233,0.6046511627906977,0.8423236514522822,0.6545454545454547
0.0,2.0,0.04,-1.0,0.8274428274428275,0.6311111111111112,0.8485477178423236,0.6755555555555555
0.0,2.0,0.04,0.0,0.8316008316008316,0.6161137440758293,0.8485477178423236,0.6572769953051644
0.0,2.0,0.04,0.5,0.8295218295218295,0.6057692307692308,0.8485477178423236,0.6507177033492824
0.0,2.0,0.008,-1.0,0.8274428274428275,0.5911330049261083,0.8464730290456431,0.6442307692307692
0.0,2.0,0.008,0.0,0.8045738045738046,0.47191011235955055,0.8236514522821576,0.5303867403314918
0.0,2.0,0.008,0.5,0.8045738045738046,0.47191011235955055,0.8236514522821576,0.5303867403314918
0.0,2.0,0.0016,-1.0,0.7900207900207901,0.2047244094488189,0.7800829875518672,0.22058823529411764
0.0,2.0,0.0016,0.0,0.7650727650727651,0.017391304347826087,0.7489626556016598,0.0
0.0,2.0,0.0016,0.5,0.762993762993763,0.0,0.7510373443983402,0.0
0.0,3.0,625.0,-1.0,0.7754677754677755,0.5423728813559322,0.7883817427385892,0.5405405405405406
0.0,3.0,625.0,0.0,0.7900207900207901,0.5702127659574469,0.7946058091286307,0.5560538116591929
0.0,3.0,625.0,0.5,0.7920997920997921,0.5833333333333334,0.8091286307053942,0.5740740740740741
0.0,3.0,125.0,-1.0,0.7754677754677755,0.5423728813559322,0.7883817427385892,0.5405405405405406
0.0,3.0,125.0,0.0,0.7879417879417879,0.5641025641025641,0.8029045643153527,0.5739910313901345
0.0,3.0,125.0,0.5,0.7920997920997921,0.5833333333333334,0.8091286307053942,0.5740740740740741
0.0,3.0,25.0,-1.0,0.7920997920997921,0.5614035087719298,0.7842323651452282,0.5315315315315315
0.0,3.0,25.0,0.0,0.7879417879417879,0.5641025641025641,0.8029045643153527,0.5739910313901345
0.0,3.0,25.0,0.5,0.7920997920997921,0.5833333333333334,0.8091286307053942,0.5740740740740741
0.0,3.0,5.0,-1.0,0.7837837837837838,0.5478260869565218,0.7904564315352697,0.5429864253393665
0.0,3.0,5.0,0.0,0.7879417879417879,0.5641025641025641,0.8029045643153527,0.5739910313901345
0.0,3.0,5.0,0.5,0.7920997920997921,0.5833333333333334,0.8091286307053942,0.5740740740740741
0.0,3.0,1.0,-1.0,0.7796257796257796,0.5309734513274337,0.8049792531120332,0.548076923076923
0.0,3.0,1.0,0.0,0.8066528066528067,0.5903083700440529,0.8049792531120332,0.5727272727272728
0.0,3.0,1.0,0.5,0.7879417879417879,0.5526315789473684,0.8195020746887967,0.583732057416268
0.0,3.0,0.2,-1.0,0.7900207900207901,0.5627705627705628,0.8195020746887967,0.5990783410138248
0.0,3.0,0.2,0.0,0.7962577962577962,0.6080000000000001,0.8070539419087137,0.5903083700440529
0.0,3.0,0.2,0.5,0.7941787941787942,0.5560538116591928,0.8195020746887967,0.5756097560975609
0.0,3.0,0.04,-1.0,0.7941787941787942,0.5395348837209303,0.8132780082987552,0.5754716981132075
0.0,3.0,0.04,0.0,0.7920997920997921,0.5412844036697249,0.8112033195020747,0.5517241379310345
0.0,3.0,0.04,0.5,0.8004158004158004,0.5471698113207547,0.8008298755186722,0.4782608695652174
0.0,3.0,0.008,-1.0,0.8108108108108109,0.5560975609756098,0.8278008298755186,0.5464480874316939
0.0,3.0,0.008,0.0,0.7879417879417879,0.42696629213483156,0.8008298755186722,0.4074074074074074
0.0,3.0,0.008,0.5,0.8004158004158004,0.48936170212765956,0.8132780082987552,0.4705882352941177
0.0,3.0,0.0016,-1.0,0.7692307692307693,0.23448275862068968,0.8215767634854771,0.35820895522388063
0.0,3.0,0.0016,0.0,0.7338877338877339,0.0,0.7738589211618258,0.01801801801801802
0.0,3.0,0.0016,0.5,0.735966735966736,0.0,0.7738589211618258,0.0
0.0,4.0,625.0,-1.0,0.7941787941787942,0.5560538116591929,0.7759336099585062,0.5304347826086957
0.0,4.0,625.0,0.0,0.8045738045738046,0.5840707964601771,0.8215767634854771,0.6194690265486725
0.0,4.0,625.0,0.5,0.8128898128898129,0.5871559633027523,0.8132780082987552,0.5794392523364487
0.0,4.0,125.0,-1.0,0.7941787941787942,0.5560538116591929,0.7759336099585062,0.5304347826086957
