ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR
0.0,0.0,0.65,0.05,0.8043478260869565,0.8615384615384616,0.7445887445887446,0.8249258160237388,-1.500888388693157,-66.67802523652679
0.0,0.0,0.65,0.1,0.6565217391304348,0.7926509186351706,0.670995670995671,0.8031088082901555,-6424396189.614718,-27425922662.521477
0.0,0.0,0.65,0.15,0.6565217391304348,0.7926509186351706,0.670995670995671,0.8031088082901555,-63089643368.0893,-1266319101291.7378
0.0,0.0,0.58125,0.05,0.782608695652174,0.8355263157894738,0.7662337662337663,0.8322981366459626,-1.0300961122180952,-41.08652763538184
0.0,0.0,0.58125,0.1,0.808695652173913,0.8598726114649681,0.7619047619047619,0.8318042813455657,-1.113200940621837,-54.047044973371285
0.0,0.0,0.58125,0.15,0.7956521739130434,0.8580060422960726,0.7489177489177489,0.8333333333333331,-1.3845106964073859,-65.6636730069007
0.0,0.0,0.5125,0.05,0.7782608695652173,0.8282828282828283,0.7575757575757576,0.8227848101265821,-0.7956132017600738,-21.84867499981069
0.0,0.0,0.5125,0.1,0.8,0.8496732026143791,0.7575757575757576,0.825,-0.8490644180697676,-34.00317721706977
0.0,0.0,0.5125,0.15,0.8043478260869565,0.8553054662379421,0.7705627705627706,0.8379204892966361,-0.9151817135704935,-42.095324450466
0.0,0.0,0.44375,0.05,0.7869565217391304,0.8350168350168349,0.7402597402597403,0.8064516129032258,-0.6419058740545334,-6.797306001092794
0.0,0.0,0.44375,0.1,0.7869565217391304,0.8372093023255813,0.7619047619047619,0.8275862068965517,-0.6538111425072282,-18.451998574209775
0.0,0.0,0.44375,0.15,0.7869565217391304,0.8403908794788274,0.7575757575757576,0.8271604938271605,-0.6730813420763511,-25.50330034720154
0.0,0.0,0.375,0.05,0.0,0.8137931034482758,0.0,0.7947882736156352,-2.1043155296381865e-11,2.2120900525317483e-10
0.0,0.0,0.375,0.1,0.7695652173913043,0.8178694158075602,0.7229437229437229,0.7922077922077922,-0.44210895325072286,-6.4712708564422305
0.0,0.0,0.375,0.15,0.7565217391304347,0.8095238095238095,0.7359307359307359,0.8013029315960912,-0.4664493962133048,-11.276871104777047
0.0,0.0,0.30625,0.05,0.0,0.7972508591065293,0.0,0.8116883116883116,-1.7916655209602426e-11,1.1138451687263369e-09
0.0,0.0,0.30625,0.1,0.5739130434782609,0.7746478873239435,0.5974025974025974,0.7986577181208053,-5.372455271495476e-10,4.8487798634968085e-09
0.0,0.0,0.30625,0.15,0.3,0.7473309608540925,0.22943722943722944,0.7631578947368423,-5.2770685649585966e-11,5.204618075085364e-09
0.0,0.0,0.2375,0.05,0.0,0.7820069204152249,0.0,0.8051948051948052,2.8292535514741747e-12,8.110531825016406e-10
0.0,0.0,0.2375,0.1,0.0,0.7719298245614034,0.0,0.8126984126984126,5.2056889680096025e-12,5.935948496982341e-10
0.0,0.0,0.2375,0.15,0.0,0.7163120567375886,0.0,0.7054794520547945,4.11438084193834e-11,1.323260089889592e-09
0.0,0.0,0.16874999999999996,0.05,0.0,0.7986348122866894,0.0,0.8227848101265821,8.018768995561834e-12,3.299404471263233e-10
0.0,0.0,0.16874999999999996,0.1,0.0,0.7569444444444444,0.0,0.7426710097719871,3.94014806088944e-11,8.198623992467481e-10
0.0,0.0,0.16874999999999996,0.15,0.1956521739130435,0.6643109540636043,0.15151515151515152,0.6574394463667821,8.72746594657497e-10,4.94096478492397e-09
