ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR
0.0,0.0,0.8,0.05,0.8395061728395061,0.7796610169491526,0.7777777777777778,0.7352941176470588,-2.3910835059611175,-94.79744126178826
0.0,0.0,0.8,0.1,0.5802469135802469,0.0,0.5185185185185185,0.0,-106846634167.52263,-336312643456.35846
0.0,0.0,0.8,0.15,0.5802469135802469,0.0,0.5185185185185185,0.0,-265559033499.37555,-2236877849939.0796
0.0,0.0,0.7125,0.05,0.8395061728395061,0.7796610169491526,0.7654320987654321,0.7164179104477612,-2.169276859989085,-73.5269758051365
0.0,0.0,0.7125,0.1,0.8271604938271605,0.7586206896551724,0.7654320987654321,0.7164179104477612,-2.130981521887088,-77.99537862161984
0.0,0.0,0.7125,0.15,0.8148148148148148,0.7272727272727274,0.7530864197530864,0.6875,-2.1381696657523452,-80.27759482939463
0.0,0.0,0.625,0.05,0.8518518518518519,0.8000000000000002,0.7654320987654321,0.7246376811594204,-1.9054782006001478,-54.003292851966975
0.0,0.0,0.625,0.1,0.8271604938271605,0.75,0.7530864197530864,0.6969696969696971,-1.955157392790338,-58.91128111790271
0.0,0.0,0.625,0.15,0.8271604938271605,0.75,0.7530864197530864,0.6875,-1.9448140062693193,-61.074473722262326
0.0,0.0,0.5375000000000001,0.05,0.8518518518518519,0.8125,0.7777777777777778,0.7428571428571428,-1.4897629594802755,-37.3633536661934
0.0,0.0,0.5375000000000001,0.1,0.8148148148148148,0.7368421052631579,0.7530864197530864,0.6969696969696971,-1.72075415758553,-41.286931924939104
0.0,0.0,0.5375000000000001,0.15,0.8271604938271605,0.75,0.7654320987654321,0.7076923076923076,-1.7758773607311884,-43.03989377418442
0.0,0.0,0.45,0.05,0.8518518518518519,0.8181818181818182,0.8024691358024691,0.7777777777777778,-1.1756522588884608,-24.39844770489482
0.0,0.0,0.45,0.1,0.8641975308641975,0.8253968253968255,0.7901234567901234,0.7605633802816902,-1.2045237641382143,-26.85663904182608
0.0,0.0,0.45,0.15,0.8148148148148148,0.7761194029850745,0.7777777777777778,0.7500000000000001,-1.2064181052037377,-25.049767596689943
0.0,0.0,0.3625,0.05,0.8395061728395061,0.8059701492537314,0.8148148148148148,0.8,-0.8878872736229487,-14.550967175826388
0.0,0.0,0.3625,0.1,0.8518518518518519,0.8181818181818182,0.7777777777777778,0.7567567567567569,-0.8228150896797808,-15.899222664864116
0.0,0.0,0.3625,0.15,0.8024691358024691,0.7500000000000001,0.7901234567901234,0.7605633802816902,-0.8844858973433252,-14.551987589407352
0.0,0.0,0.275,0.05,0.8518518518518519,0.8181818181818182,0.7654320987654321,0.7532467532467534,-0.5691630406748749,-7.134134944188759
0.0,0.0,0.275,0.1,0.8271604938271605,0.7741935483870968,0.7654320987654321,0.7532467532467534,-0.5464477426652511,-8.148725488768612
0.0,0.0,0.275,0.15,0.8395061728395061,0.7999999999999999,0.7530864197530864,0.7297297297297296,-0.5831095138460597,-6.750094094990358
0.0,0.0,0.1875,0.05,0.8271604938271605,0.787878787878788,0.7530864197530864,0.7435897435897437,-0.33848311103830453,-2.902873983484882
0.0,0.0,0.1875,0.1,0.8395061728395061,0.7999999999999999,0.7654320987654321,0.7532467532467534,-0.4165242532762878,-3.3564022237953015
0.0,0.0,0.1875,0.15,0.7901234567901234,0.7301587301587301,0.7407407407407407,0.7272727272727273,-0.1500782071286048,-0.6078167383806515
0.0,0.0,0.1,0.05,0.654320987654321,0.7945205479452054,0.6172839506172839,0.7848101265822786,1.539707278393648e-10,9.953419025129844e-10
0.0,0.0,0.1,0.1,0.7283950617283951,0.65625,0.6790123456790124,0.675,0.6717611262024484,0.0
0.0,0.0,0.1,0.15,0.37037037037037035,0.3013698630136986,0.32098765432098764,0.3209876543209877,2.0429930376536745,-10.755077096157551
0.0,1.0,0.8,0.05,0.5432098765432098,0.0,0.5185185185185185,0.0,-407426615113.61633,-1514889602381.8833
0.0,1.0,0.8,0.1,0.5432098765432098,0.0,0.5185185185185185,0.0,-263853868556.7364,-2366583065013.9053
0.0,1.0,0.8,0.15,0.5432098765432098,0.0,0.5185185185185185,0.0,-202990810863.41574,-2901822911575.6895
0.0,1.0,0.7125,0.05,0.7901234567901234,0.7301587301587302,0.8395061728395061,0.8059701492537313,-2.2860513209441025,-64.76117639286976
0.0,1.0,0.7125,0.1,0.7654320987654321,0.6779661016949153,0.7901234567901234,0.7213114754098361,-2.651321939937293,-74.4050742039598
0.0,1.0,0.7125,0.15,0.5432098765432098,0.0,0.5185185185185185,0.0,-125600565595.29837,-651206073455.5996
0.0,1.0,0.625,0.05,0.8395061728395061,0.8115942028985507,0.8765432098765432,0.8571428571428572,-1.8402319425266416,-45.30609490882274
0.0,1.0,0.625,0.1,0.8024691358024691,0.75,0.8395061728395061,0.8059701492537313,-1.9734505279074677,-52.796656017248345
0.0,1.0,0.625,0.15,0.8271604938271605,0.787878787878788,0.8395061728395061,0.8059701492537313,-1.9481182663497387,-55.634453992680065
0.0,1.0,0.5375000000000001,0.05,0.8518518518518519,0.8333333333333334,0.9012345679012346,0.8888888888888888,-1.4034063622555466,-30.208311091808866
0.0,1.0,0.5375000000000001,0.1,0.8395061728395061,0.8169014084507041,0.8765432098765432,0.8611111111111112,-1.5198384248833847,-35.94930977284536
0.0,1.0,0.5375000000000001,0.15,0.8271604938271605,0.8000000000000002,0.8888888888888888,0.8732394366197183,-1.5362049497914712,-38.90851180110945
0.0,1.0,0.45,0.05,0.8641975308641975,0.8493150684931507,0.8888888888888888,0.8767123287671232,-1.1255478611604606,-18.503526786268143
0.0,1.0,0.45,0.1,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.8648648648648648,-1.2122101449921474,-23.280880176058727
0.0,1.0,0.45,0.15,0.8518518518518519,0.8333333333333334,0.8641975308641975,0.8493150684931507,-1.2334844208679594,-26.081318608840004
0.0,1.0,0.3625,0.05,0.8641975308641975,0.8450704225352113,0.8888888888888888,0.8799999999999999,-0.9083961544942809,-9.115044075700997
0.0,1.0,0.3625,0.1,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579,-0.963117791277834,-13.241672423501674
0.0,1.0,0.3625,0.15,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.8648648648648648,-0.9443394597380206,-15.173765407335896
0.0,1.0,0.275,0.05,0.8395061728395061,0.8169014084507041,0.8888888888888888,0.8767123287671232,-0.5204074127953611,-1.881605232526111
0.0,1.0,0.275,0.1,0.8148148148148148,0.7826086956521738,0.8641975308641975,0.8533333333333333,-0.6205811977995486,-5.51947680972387
0.0,1.0,0.275,0.15,0.8271604938271605,0.8055555555555555,0.8765432098765432,0.868421052631579,-0.6490588055093461,-6.901684334992257
0.0,1.0,0.1875,0.05,0.024691358024691357,0.7749999999999999,0.012345679012345678,0.8395061728395062,8.126378908591468e-12,8.926354313602582e-10
