ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,0.8641975308641975,0.8405797101449276,0.7777777777777778,0.7749999999999999
0.0,0.0,125.0,0.8641975308641975,0.8405797101449276,0.7777777777777778,0.7749999999999999
0.0,0.0,25.0,0.8641975308641975,0.8405797101449276,0.7777777777777778,0.7749999999999999
0.0,0.0,5.0,0.8641975308641975,0.8405797101449276,0.7777777777777778,0.7749999999999999
0.0,0.0,1.0,0.8518518518518519,0.8235294117647058,0.7777777777777778,0.7692307692307693
0.0,0.0,0.2,0.8518518518518519,0.8181818181818182,0.7777777777777778,0.7631578947368421
0.0,0.0,0.04,0.8518518518518519,0.8181818181818182,0.8148148148148148,0.7945205479452054
0.0,0.0,0.008,0.8641975308641975,0.8253968253968255,0.7654320987654321,0.7246376811594204
0.0,0.0,0.0016,0.5802469135802469,0.0,0.5185185185185185,0.0
0.0,1.0,625.0,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579
0.0,1.0,125.0,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579
0.0,1.0,25.0,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579
0.0,1.0,5.0,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579
0.0,1.0,1.0,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579
0.0,1.0,0.2,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.8648648648648648
0.0,1.0,0.04,0.8518518518518519,0.8378378378378378,0.8765432098765432,0.8648648648648648
0.0,1.0,0.008,0.8148148148148148,0.7692307692307693,0.8395061728395061,0.8115942028985509
0.0,1.0,0.0016,0.5432098765432098,0.0,0.5185185185185185,0.0
0.0,2.0,625.0,0.8271604938271605,0.7941176470588235,0.7777777777777778,0.7428571428571429
0.0,2.0,125.0,0.8271604938271605,0.7941176470588235,0.7777777777777778,0.7428571428571429
0.0,2.0,25.0,0.8271604938271605,0.7941176470588235,0.7777777777777778,0.7428571428571429
0.0,2.0,5.0,0.8395061728395061,0.8059701492537312,0.7777777777777778,0.7428571428571429
0.0,2.0,1.0,0.8641975308641975,0.8307692307692308,0.7654320987654321,0.732394366197183
0.0,2.0,0.2,0.8518518518518519,0.8181818181818182,0.8024691358024691,0.7714285714285715
0.0,2.0,0.04,0.8641975308641975,0.8307692307692308,0.8271604938271605,0.7941176470588236
0.0,2.0,0.008,0.8888888888888888,0.8524590163934426,0.7777777777777778,0.7272727272727272
0.0,2.0,0.0016,0.8888888888888888,0.8524590163934426,0.7654320987654321,0.7164179104477612
