ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex
0.0,0,0.4,0.8533678756476684,0.6650887573964498,0.8565510098394614,0.6952695269526954,True
0.0,0,0.36250000000000004,0.8564766839378238,0.6782810685249709,0.8622475401346452,0.7102396514161221,True
0.0,0,0.325,0.8585492227979274,0.6872852233676976,0.8632832729155878,0.7173447537473233,True
0.0,0,0.2875,0.8580310880829015,0.6690821256038647,0.8601760745727602,0.6973094170403588,True
0.0,0,0.25,0.8797927461139896,0.745054945054945,0.8767477990678405,0.7536231884057971,True
0.0,0,0.2125,0.8911917098445595,0.759725400457666,0.8819264629725531,0.7605042016806721,False
0.0,0,0.175,0.8911917098445595,0.7580645161290323,0.8891765924391507,0.7752100840336135,False
0.0,0,0.13749999999999996,0.910880829015544,0.7952380952380953,0.9104091144484723,0.8096809680968098,False
0.0,0,0.1,0.9,0.7715976331360948,0.8907301916105644,0.771397616468039,False
0.03,0,0.4,0.8569948186528498,0.6805555555555556,0.8581046090108752,0.6955555555555555,True
0.03,0,0.36250000000000004,0.8626943005181347,0.701240135287486,0.8632832729155878,0.7173447537473234,True
0.03,0,0.325,0.8601036269430051,0.7115384615384616,0.8612118073537027,0.7242798353909465,False
0.03,0,0.2875,0.8632124352331606,0.7027027027027027,0.8643190056965303,0.7230443974630022,False
0.03,0,0.25,0.866839378238342,0.7185104052573932,0.8669083376488866,0.7331256490134994,False
0.03,0,0.2125,0.8694300518134715,0.7301927194860813,0.871569135163128,0.7438016528925621,False
0.03,0,0.175,0.877720207253886,0.7312072892938496,0.8783013982392542,0.7414741474147414,False
0.03,0,0.13749999999999996,0.8808290155440415,0.7281323877068558,0.8850336613153806,0.7494356659142213,False
0.03,0,0.1,0.8616580310880829,0.6989853438556933,0.8700155359917141,0.7262813522355507,False
0.05,0,0.4,0.8300518134715026,0.6281179138321996,0.8446400828586225,0.6296296296296295,False
0.05,0,0.36250000000000004,0.8398963730569948,0.6652221018418201,0.8529259451061626,0.667447306791569,False
0.05,0,0.325,0.8383419689119171,0.6438356164383562,0.8586224754013465,0.6548672566371682,False
0.05,0,0.2875,0.8373056994818653,0.6348837209302326,0.8544795442775763,0.6392811296534018,False
0.05,0,0.25,0.8549222797927462,0.6818181818181819,0.865872604867944,0.6845310596833131,False
0.05,0,0.2125,0.8621761658031089,0.7127429805615549,0.8767477990678405,0.7232558139534884,False
0.05,0,0.175,0.8632124352331606,0.6993166287015944,0.875712066286898,0.70873786407767,False
0.05,0,0.13749999999999996,0.8585492227979274,0.7067669172932332,0.8700155359917141,0.7124856815578465,False
0.05,0,0.1,0.8378238341968912,0.6645230439442658,0.8570688762299327,0.6768149882903982,False
0.1,0,0.4,0.8202072538860103,0.6455566905005107,0.8700155359917141,0.7262813522355507,False
0.1,0,0.36250000000000004,0.8227979274611399,0.6466942148760332,0.8726048679440704,0.7296703296703296,False
0.1,0,0.325,0.8269430051813471,0.6563786008230453,0.877783531848783,0.7406593406593406,False
0.1,0,0.2875,0.8170984455958549,0.6542605288932419,0.8689798032107716,0.7361835245046925,False
0.1,0,0.25,0.8367875647668394,0.6694648478488981,0.8767477990678405,0.7373068432671082,False
0.1,0,0.2125,0.827979274611399,0.6584362139917695,0.8679440704298291,0.7182320441988951,False
0.1,0,0.175,0.8310880829015544,0.6632231404958677,0.8674262040393579,0.7199124726477024,False
0.1,0,0.13749999999999996,0.8067357512953368,0.6061246040126717,0.8379078197824961,0.6526082130965594,False
0.1,0,0.1,0.8098445595854922,0.6108165429480381,0.8404971517348524,0.6531531531531533,False
0.15,0,0.4,0.7963730569948186,0.5876180482686254,0.8570688762299327,0.6682692307692307,False
0.15,0,0.36250000000000004,0.805699481865285,0.629812438302073,0.865872604867944,0.704,False
0.15,0,0.325,0.8005181347150259,0.6229187071498531,0.8643190056965303,0.7069351230425055,False
0.15,0,0.2875,0.7994818652849741,0.6063072227873856,0.8746763335059554,0.7146226415094339,False
0.15,0,0.25,0.8077720207253886,0.6107030430220356,0.8731227343345417,0.7058823529411765,False
0.15,0,0.2125,0.805699481865285,0.616171954964176,0.8731227343345417,0.7079856972586412,False
0.15,0,0.175,0.7979274611398963,0.6012269938650306,0.8669083376488866,0.6951364175563465,False
0.15,0,0.13749999999999996,0.7968911917098446,0.5983606557377049,0.8591403417918178,0.6769596199524941,False
0.15,0,0.1,0.7792746113989637,0.572289156626506,0.8358363542206111,0.6352128883774454,False
