ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.6,0.05,0.8457389428263214,0.8892331525948877,0.8414239482200647,0.8875286916602907,-1.3639872478209092,-412.2572413968346,0.6932229995727539
0.0,0.0,0.6,0.1,0.6321467098166127,0.774619960343688,0.6418554476806904,0.7818659658344284,-7571484469.677708,-250053573080.5802,0.6553230285644531
0.0,0.0,0.6,0.15,0.6321467098166127,0.774619960343688,0.6418554476806904,0.7818659658344284,-24043839410.03293,-2369745481848.8936,0.6209440231323242
0.0,0.0,0.5375,0.05,0.8565264293419633,0.8953579858379229,0.8446601941747572,0.8894009216589861,-1.1499417666325273,-315.1357494616176,1.3505899906158447
0.0,0.0,0.5375,0.1,0.8295577130528586,0.8795731707317073,0.8392664509169363,0.8868640850417616,-1.2548344255160222,-344.5701877981385,1.4967291355133057
0.0,0.0,0.5375,0.15,0.6321467098166127,0.774619960343688,0.6418554476806904,0.7818659658344284,-1555066478.089654,-26986589741.227844,1.1705598831176758
0.0,0.0,0.475,0.05,0.9083063646170443,0.9301561216105176,0.8921251348435815,0.9189627228525121,-0.9157223806356024,-234.2576869560618,1.3368170261383057
0.0,0.0,0.475,0.1,0.8457389428263214,0.889745566692367,0.8414239482200647,0.8880426504188881,-1.0757803778920207,-255.15157026481384,2.19736385345459
0.0,0.0,0.475,0.15,0.8166127292340885,0.8723723723723723,0.8230852211434736,0.8770614692653674,-1.132343265530816,-270.46357456180374,1.8635969161987305
0.0,0.0,0.4125,0.05,0.9277238403451996,0.9433643279797126,0.918015102481122,0.936241610738255,-0.7353013607789326,-170.23505934611083,1.636564016342163
0.0,0.0,0.4125,0.1,0.8543689320388349,0.8944487881157153,0.8446601941747572,0.8894009216589861,-0.8963767468203665,-179.35425300827418,3.230370044708252
0.0,0.0,0.4125,0.15,0.8241639697950378,0.8769811320754716,0.8274002157497303,0.8795180722891567,-0.9651515553222286,-190.18166351010723,3.1318140029907227
0.0,0.0,0.35,0.05,0.9385113268608414,0.9514066496163683,0.9223300970873787,0.9391891891891893,-0.5942737237427773,-119.08098396023624,0.9888131618499756
0.0,0.0,0.35,0.1,0.9266450916936354,0.9419795221843004,0.9158576051779935,0.9338983050847458,-0.6122877692715553,-117.99348536987682,1.0912070274353027
0.0,0.0,0.35,0.15,0.9223300970873787,0.9382504288164666,0.9093851132686084,0.9285714285714286,-0.6118823848081273,-107.84373199127513,1.9900579452514648
0.0,0.0,0.2875,0.05,0.9460625674217907,0.9573378839590444,0.9331175836030206,0.9475465313028764,-0.4757962594694991,-77.83803576627167,0.9571819305419922
0.0,0.0,0.2875,0.1,0.9352750809061489,0.9483648881239243,0.919093851132686,0.9362786745964315,-0.49861212393737586,-75.11523033528404,2.6174569129943848
0.0,0.0,0.2875,0.15,0.924487594390507,0.9396551724137931,0.9115426105717368,0.9301533219761499,-0.5001340541506282,-64.57587647805217,1.5483150482177734
0.0,0.0,0.22499999999999998,0.05,0.9514563106796117,0.9615713065755763,0.941747572815534,0.9542372881355933,-0.34450060098645713,-46.31490297182746,0.8039360046386719
0.0,0.0,0.22499999999999998,0.1,0.941747572815534,0.9538461538461538,0.9298813376483279,0.9448685326547922,-0.38334995910401787,-41.33355912833827,1.1383922100067139
0.0,0.0,0.22499999999999998,0.15,0.003236245954692557,0.7769028871391076,0.003236245954692557,0.7777777777777777,4.127957296347603e-11,2.7500175724968816e-09,0.22684693336486816
0.0,0.0,0.16249999999999998,0.05,0.95361380798274,0.963404255319149,0.9449838187702265,0.9571068124474349,-0.2659198589183658,-22.54973650342191,1.4273319244384766
0.0,0.0,0.16249999999999998,0.1,0.05501618122977346,0.88801261829653,0.04746494066882417,0.8862559241706162,1.6196813639879872e-11,1.359495734201971e-09,0.22502803802490234
0.0,0.0,0.16249999999999998,0.15,0.003236245954692557,0.5367180417044424,0.0,0.5377697841726617,3.9487446226277776e-10,5.947359966403082e-09,0.21487903594970703
0.0,0.0,0.1,0.05,0.9611650485436893,0.9694397283531409,0.9557713052858684,0.9656328583403185,-0.14820205903504285,-6.601481576021232,1.6405189037322998
0.03,0.0,0.6,0.05,0.8888888888888888,0.9172690763052209,0.8975188781014024,0.9253731343283581,-1.2230749879527767,-376.4300545343104,1.695693016052246
0.03,0.0,0.6,0.1,0.8317152103559871,0.8810975609756098,0.8651564185544768,0.9056603773584905,-1.3459374521838103,-405.5351836527893,1.2475500106811523
0.03,0.0,0.6,0.15,0.6483279395900755,0.7866492146596858,0.6591154261057174,0.7945383615084526,-1629730141.4101694,-53524919279.59004,1.7365221977233887
0.03,0.0,0.5375,0.05,0.9007551240560949,0.9239669421487603,0.918015102481122,0.9384116693679092,-1.013091639340649,-290.7097673930646,1.6759979724884033
0.03,0.0,0.5375,0.1,0.8435814455231931,0.8882035466461065,0.8694714131607335,0.9078446306169078,-1.1580922798064464,-309.23150263579885,1.364778995513916
0.03,0.0,0.5375,0.15,0.8187702265372169,0.8738738738738739,0.8543689320388349,0.8991784914115011,-1.2600206425182754,-329.6690279167329,1.4637281894683838
0.03,0.0,0.475,0.05,0.8996763754045307,0.9223057644110276,0.9277238403451996,0.9451269451269452,-0.8688152543918564,-218.6826323251647,1.3337230682373047
0.03,0.0,0.475,0.1,0.8532901833872708,0.8940809968847352,0.8759439050701187,0.9117421335379892,-1.0038300427794875,-225.53759270151264,1.4527180194854736
0.03,0.0,0.475,0.15,0.8306364617044228,0.8807896735003796,0.8586839266450917,0.9015777610818934,-1.0554809138994294,-239.45946601718734,1.482800006866455
0.03,0.0,0.4125,0.05,0.9061488673139159,0.926458157227388,0.9288025889967637,0.9454545454545454,-0.7200193831935052,-157.44451944041245,0.981083869934082
0.03,0.0,0.4125,0.1,0.8770226537216829,0.9088,0.8888888888888888,0.9190887666928516,-0.8171039104410727,-154.60844003880436,1.7702000141143799
0.03,0.0,0.4125,0.15,0.8381877022653722,0.8849693251533742,0.866235167206041,0.9059180576631259,-0.9127063688696726,-164.72069179214472,1.787552833557129
0.03,0.0,0.35,0.05,0.912621359223301,0.9314140558848434,0.9277238403451996,0.9442131557035803,-0.5861770472759852,-107.00103086736326,1.18306303024292
0.03,0.0,0.35,0.1,0.9007551240560949,0.9224283305227656,0.9169363538295577,0.9358867610324729,-0.5961640829954944,-111.31115120801768,2.9962761402130127
0.03,0.0,0.35,0.15,0.8457389428263214,0.8895752895752896,0.8694714131607335,0.9077040427154844,-0.7364427925573832,-100.73225406096437,2.1060240268707275
0.03,0.0,0.2875,0.05,0.912621359223301,0.9314140558848434,0.9320388349514563,0.9475437135720233,-0.4685984663102801,-66.89255523482417,1.0789318084716797
0.03,0.0,0.2875,0.1,0.9029126213592233,0.9241146711635752,0.9212513484358145,0.9392173189009159,-0.49114959669883523,-69.39257774271505,2.405470132827759
0.03,0.0,0.2875,0.15,0.47680690399137,0.8390541571319602,0.46601941747572817,0.8495034377387319,-2.1310383634622408e-10,9.818141947171225e-09,0.24364209175109863
0.03,0.0,0.22499999999999998,0.05,0.9169363538295577,0.934801016088061,0.9385113268608414,0.9526184538653367,-0.3410242783469618,-35.97917562179686,1.2339630126953125
0.03,0.0,0.22499999999999998,0.1,0.8964401294498382,0.9173838209982788,0.9212513484358145,0.9386038687973086,-0.312980022358698,-30.652021124504838,2.2568490505218506
0.03,0.0,0.22499999999999998,0.15,0.008629989212513484,0.8084772370486656,0.0,0.8267288267288266,4.273877476787342e-11,5.267488983470046e-09,0.3325378894805908
0.03,0.0,0.16249999999999998,0.05,0.19093851132686085,0.8618421052631579,0.16181229773462782,0.867741935483871,1.3029879193461096e-10,2.413616569276447e-08,0.22886395454406738
0.03,0.0,0.16249999999999998,0.1,0.41423948220064727,0.865203761755486,0.3775620280474649,0.8680718188914911,1.366067612507539e-10,1.8016406730387628e-08,0.5507750511169434
0.03,0.0,0.16249999999999998,0.15,0.1855447680690399,0.6538812785388127,0.18770226537216828,0.6202414113277623,7.532491317076955e-10,1.1623622318567489e-08,0.28783297538757324
