C,comp_time,outlier_ratio,test_accuracy,trial
625.0,0.0029251575469970703,0.0,0.984,0.0
125.0,0.0026590824127197266,0.0,0.984,0.0
25.0,0.0007200241088867188,0.0,0.986,0.0
5.0,0.0006859302520751953,0.0,0.983,0.0
1.0,0.0006060600280761719,0.0,0.983,0.0
0.2,0.0004870891571044922,0.0,0.9835,0.0
0.04,0.0005271434783935547,0.0,0.9825,0.0
0.008,0.0004899501800537109,0.0,0.983,0.0
0.0016,0.0005259513854980469,0.0,0.983,0.0
625.0,0.0005371570587158203,0.0,0.962,1.0
125.0,0.000492095947265625,0.0,0.962,1.0
25.0,0.00048804283142089844,0.0,0.962,1.0
5.0,0.0005199909210205078,0.0,0.962,1.0
1.0,0.0004730224609375,0.0,0.975,1.0
0.2,0.00045800209045410156,0.0,0.981,1.0
0.04,0.00047397613525390625,0.0,0.9825,1.0
0.008,0.0004889965057373047,0.0,0.983,1.0
0.0016,0.0005128383636474609,0.0,0.9825,1.0
625.0,0.00045490264892578125,0.0,0.9655,2.0
125.0,0.0005049705505371094,0.0,0.9655,2.0
25.0,0.0004878044128417969,0.0,0.9655,2.0
5.0,0.0004820823669433594,0.0,0.9655,2.0
1.0,0.0004870891571044922,0.0,0.9655,2.0
0.2,0.0005419254302978516,0.0,0.9735,2.0
0.04,0.0004987716674804688,0.0,0.9765,2.0
0.008,0.0004429817199707031,0.0,0.9825,2.0
0.0016,0.00047779083251953125,0.0,0.986,2.0
625.0,0.0004999637603759766,0.0,0.962,3.0
125.0,0.0004971027374267578,0.0,0.962,3.0
25.0,0.0005028247833251953,0.0,0.962,3.0
5.0,0.0005080699920654297,0.0,0.962,3.0
1.0,0.0005021095275878906,0.0,0.9585,3.0
0.2,0.0004799365997314453,0.0,0.983,3.0
0.04,0.0005090236663818359,0.0,0.982,3.0
0.008,0.00047898292541503906,0.0,0.984,3.0
0.0016,0.0005049705505371094,0.0,0.9785,3.0
625.0,0.003638029098510742,0.0,0.9765,4.0
125.0,0.0011391639709472656,0.0,0.9765,4.0
25.0,0.0006361007690429688,0.0,0.9765,4.0
