C,comp_time,outlier_ratio,test_accuracy,trial
625.0,0.0027120113372802734,0.0,0.984,0.0
125.0,0.002391815185546875,0.0,0.984,0.0
25.0,0.0007131099700927734,0.0,0.986,0.0
5.0,0.0006949901580810547,0.0,0.983,0.0
1.0,0.0006017684936523438,0.0,0.983,0.0
0.2,0.000453948974609375,0.0,0.9835,0.0
0.04,0.0004868507385253906,0.0,0.9825,0.0
0.008,0.00051116943359375,0.0,0.983,0.0
0.0016,0.0005559921264648438,0.0,0.983,0.0
625.0,0.00048613548278808594,0.0,0.962,1.0
125.0,0.0005199909210205078,0.0,0.962,1.0
25.0,0.0006129741668701172,0.0,0.962,1.0
5.0,0.0005199909210205078,0.0,0.962,1.0
1.0,0.0005118846893310547,0.0,0.975,1.0
0.2,0.00046706199645996094,0.0,0.981,1.0
0.04,0.00044989585876464844,0.0,0.9825,1.0
0.008,0.0004930496215820312,0.0,0.983,1.0
0.0016,0.0005691051483154297,0.0,0.9825,1.0
625.0,0.00048804283142089844,0.0,0.9655,2.0
125.0,0.0004630088806152344,0.0,0.9655,2.0
25.0,0.0004730224609375,0.0,0.9655,2.0
5.0,0.0004940032958984375,0.0,0.9655,2.0
1.0,0.00045680999755859375,0.0,0.9655,2.0
0.2,0.0004830360412597656,0.0,0.9735,2.0
0.04,0.0004949569702148438,0.0,0.9765,2.0
0.008,0.00048089027404785156,0.0,0.9825,2.0
0.0016,0.0005211830139160156,0.0,0.986,2.0
625.0,0.0005080699920654297,0.0,0.962,3.0
125.0,0.00047898292541503906,0.0,0.962,3.0
25.0,0.00047087669372558594,0.0,0.962,3.0
5.0,0.00046706199645996094,0.0,0.962,3.0
1.0,0.0005121231079101562,0.0,0.9585,3.0
0.2,0.0005300045013427734,0.0,0.983,3.0
0.04,0.0005059242248535156,0.0,0.982,3.0
0.008,0.0006661415100097656,0.0,0.984,3.0
0.0016,0.00048804283142089844,0.0,0.9785,3.0
625.0,0.003473043441772461,0.0,0.9765,4.0
125.0,0.001230001449584961,0.0,0.9765,4.0
25.0,0.0006840229034423828,0.0,0.9765,4.0
5.0,0.0005669593811035156,0.0,0.9765,4.0
1.0,0.0005450248718261719,0.0,0.9735,4.0
0.2,0.0004940032958984375,0.0,0.9735,4.0
0.04,0.0004711151123046875,0.0,0.9785,4.0
0.008,0.0004930496215820312,0.0,0.981,4.0
0.0016,0.0005140304565429688,0.0,0.9825,4.0
625.0,0.00041413307189941406,0.0,0.982,5.0
125.0,0.0007169246673583984,0.0,0.982,5.0
25.0,0.0004191398620605469,0.0,0.982,5.0
5.0,0.0004210472106933594,0.0,0.982,5.0
1.0,0.0004291534423828125,0.0,0.982,5.0
0.2,0.0005278587341308594,0.0,0.98,5.0
0.04,0.0004508495330810547,0.0,0.981,5.0
0.008,0.0004699230194091797,0.0,0.9825,5.0
0.0016,0.0004930496215820312,0.0,0.983,5.0
625.0,0.0005230903625488281,0.0,0.9675,6.0
125.0,0.0005328655242919922,0.0,0.9675,6.0
25.0,0.0005338191986083984,0.0,0.9675,6.0
5.0,0.0005209445953369141,0.0,0.9675,6.0
1.0,0.0005900859832763672,0.0,0.9695,6.0
0.2,0.0004661083221435547,0.0,0.975,6.0
0.04,0.0006148815155029297,0.0,0.9825,6.0
0.008,0.0005140304565429688,0.0,0.984,6.0
0.0016,0.0004990100860595703,0.0,0.983,6.0
625.0,0.00039696693420410156,0.0,0.9675,7.0
125.0,0.00040078163146972656,0.0,0.9675,7.0
25.0,0.0005481243133544922,0.0,0.9675,7.0
5.0,0.0004608631134033203,0.0,0.9675,7.0
1.0,0.00046706199645996094,0.0,0.974,7.0
0.2,0.0005731582641601562,0.0,0.977,7.0
0.04,0.0004520416259765625,0.0,0.981,7.0
0.008,0.0005028247833251953,0.0,0.9785,7.0
0.0016,0.0005469322204589844,0.0,0.9765,7.0
625.0,0.012809038162231445,0.0,0.985,8.0
125.0,0.0031130313873291016,0.0,0.985,8.0
25.0,0.0018970966339111328,0.0,0.985,8.0
5.0,0.0006771087646484375,0.0,0.985,8.0
1.0,0.0005459785461425781,0.0,0.983,8.0
0.2,0.0004980564117431641,0.0,0.984,8.0
0.04,0.00045800209045410156,0.0,0.9825,8.0
0.008,0.0005471706390380859,0.0,0.9855,8.0
0.0016,0.0004999637603759766,0.0,0.9835,8.0
625.0,0.0004658699035644531,0.0,0.9815,9.0
125.0,0.00047278404235839844,0.0,0.9815,9.0
25.0,0.0005319118499755859,0.0,0.9815,9.0
5.0,0.0005040168762207031,0.0,0.9815,9.0
1.0,0.0004909038543701172,0.0,0.982,9.0
0.2,0.00042891502380371094,0.0,0.979,9.0
0.04,0.0004429817199707031,0.0,0.9775,9.0
0.008,0.0004680156707763672,0.0,0.98,9.0
0.0016,0.0004961490631103516,0.0,0.9805,9.0
625.0,0.0005040168762207031,0.0,0.9875,10.0
125.0,0.0004298686981201172,0.0,0.988,10.0
25.0,0.00045490264892578125,0.0,0.9875,10.0
5.0,0.00047779083251953125,0.0,0.988,10.0
1.0,0.00044608116149902344,0.0,0.9885,10.0
0.2,0.0004820823669433594,0.0,0.985,10.0
0.04,0.0004749298095703125,0.0,0.9825,10.0
0.008,0.00046896934509277344,0.0,0.986,10.0
0.0016,0.0004911422729492188,0.0,0.983,10.0
625.0,0.0004999637603759766,0.0,0.977,11.0
125.0,0.0005080699920654297,0.0,0.977,11.0
25.0,0.0005090236663818359,0.0,0.977,11.0
5.0,0.00047898292541503906,0.0,0.977,11.0
1.0,0.0007741451263427734,0.0,0.979,11.0
0.2,0.00047087669372558594,0.0,0.976,11.0
0.04,0.0005421638488769531,0.0,0.9785,11.0
0.008,0.0004818439483642578,0.0,0.9795,11.0
0.0016,0.0005271434783935547,0.0,0.981,11.0
625.0,0.0005128383636474609,0.0,0.982,12.0
125.0,0.0005090236663818359,0.0,0.982,12.0
25.0,0.0004949569702148438,0.0,0.982,12.0
5.0,0.0004940032958984375,0.0,0.982,12.0
1.0,0.0005350112915039062,0.0,0.982,12.0
0.2,0.0005381107330322266,0.0,0.982,12.0
0.04,0.0004889965057373047,0.0,0.982,12.0
0.008,0.00044608116149902344,0.0,0.987,12.0
0.0016,0.0005199909210205078,0.0,0.989,12.0
625.0,0.0005028247833251953,0.0,0.963,13.0
125.0,0.0005259513854980469,0.0,0.963,13.0
25.0,0.0005049705505371094,0.0,0.963,13.0
5.0,0.0005650520324707031,0.0,0.963,13.0
1.0,0.0005309581756591797,0.0,0.975,13.0
0.2,0.0004940032958984375,0.0,0.9785,13.0
0.04,0.0006198883056640625,0.0,0.9785,13.0
0.008,0.0004639625549316406,0.0,0.9765,13.0
0.0016,0.0004730224609375,0.0,0.9775,13.0
625.0,0.007591962814331055,0.0,0.9735,14.0
125.0,0.003000974655151367,0.0,0.9735,14.0
25.0,0.0010199546813964844,0.0,0.9735,14.0
5.0,0.0005970001220703125,0.0,0.9745,14.0
1.0,0.0005750656127929688,0.0,0.978,14.0
0.2,0.0005309581756591797,0.0,0.9785,14.0
0.04,0.0004360675811767578,0.0,0.9805,14.0
0.008,0.0004889965057373047,0.0,0.98,14.0
0.0016,0.0005261898040771484,0.0,0.977,14.0
625.0,0.0005052089691162109,0.0,0.9525,15.0
125.0,0.0005288124084472656,0.0,0.9525,15.0
25.0,0.00047206878662109375,0.0,0.9525,15.0
5.0,0.0005009174346923828,0.0,0.9525,15.0
1.0,0.0004730224609375,0.0,0.9595,15.0
0.2,0.0005049705505371094,0.0,0.9685,15.0
0.04,0.0005228519439697266,0.0,0.9705,15.0
0.008,0.00047278404235839844,0.0,0.9745,15.0
0.0016,0.0004839897155761719,0.0,0.9745,15.0
625.0,0.006696939468383789,0.0,0.982,16.0
125.0,0.0020270347595214844,0.0,0.982,16.0
25.0,0.0007989406585693359,0.0,0.982,16.0
5.0,0.0006120204925537109,0.0,0.982,16.0
1.0,0.0005388259887695312,0.0,0.985,16.0
0.2,0.0005409717559814453,0.0,0.9875,16.0
0.04,0.0004858970642089844,0.0,0.9875,16.0
0.008,0.0004820823669433594,0.0,0.985,16.0
0.0016,0.0005068778991699219,0.0,0.988,16.0
625.0,0.08463311195373535,0.0,0.966,17.0
125.0,0.02403712272644043,0.0,0.966,17.0
25.0,0.0008950233459472656,0.0,0.966,17.0
5.0,0.0006132125854492188,0.0,0.963,17.0
1.0,0.0005140304565429688,0.0,0.965,17.0
0.2,0.0004649162292480469,0.0,0.9775,17.0
0.04,0.0005021095275878906,0.0,0.9775,17.0
0.008,0.0005030632019042969,0.0,0.9755,17.0
0.0016,0.0005049705505371094,0.0,0.9745,17.0
625.0,0.032776832580566406,0.0,0.9765,18.0
125.0,0.007246971130371094,0.0,0.9765,18.0
25.0,0.0019268989562988281,0.0,0.9765,18.0
5.0,0.0008749961853027344,0.0,0.9765,18.0
1.0,0.0005738735198974609,0.0,0.9765,18.0
0.2,0.0005419254302978516,0.0,0.9765,18.0
0.04,0.0004990100860595703,0.0,0.9725,18.0
0.008,0.00047397613525390625,0.0,0.9775,18.0
0.0016,0.0004999637603759766,0.0,0.979,18.0
625.0,0.0004298686981201172,0.0,0.98,19.0
125.0,0.000431060791015625,0.0,0.98,19.0
25.0,0.00043702125549316406,0.0,0.98,19.0
5.0,0.0004150867462158203,0.0,0.98,19.0
1.0,0.00042891502380371094,0.0,0.98,19.0
0.2,0.0006420612335205078,0.0,0.979,19.0
0.04,0.000476837158203125,0.0,0.98,19.0
0.008,0.00047898292541503906,0.0,0.979,19.0
0.0016,0.0005118846893310547,0.0,0.975,19.0
625.0,0.0005300045013427734,0.0,0.9795,20.0
125.0,0.0005190372467041016,0.0,0.9795,20.0
25.0,0.0004878044128417969,0.0,0.9795,20.0
5.0,0.0007839202880859375,0.0,0.9795,20.0
1.0,0.00055694580078125,0.0,0.9815,20.0
0.2,0.0005037784576416016,0.0,0.982,20.0
0.04,0.0005161762237548828,0.0,0.9815,20.0
0.008,0.0004639625549316406,0.0,0.98,20.0
0.0016,0.0005190372467041016,0.0,0.9795,20.0
625.0,0.0010399818420410156,0.0,0.976,21.0
125.0,0.0006330013275146484,0.0,0.976,21.0
25.0,0.0004870891571044922,0.0,0.976,21.0
5.0,0.0004589557647705078,0.0,0.976,21.0
1.0,0.0004761219024658203,0.0,0.9795,21.0
0.2,0.0005099773406982422,0.0,0.986,21.0
0.04,0.0005280971527099609,0.0,0.986,21.0
0.008,0.00043511390686035156,0.0,0.984,21.0
0.0016,0.0004851818084716797,0.0,0.986,21.0
625.0,0.008579015731811523,0.0,0.982,22.0
125.0,0.002315044403076172,0.0,0.982,22.0
25.0,0.0008699893951416016,0.0,0.982,22.0
5.0,0.0005619525909423828,0.0,0.982,22.0
1.0,0.0005261898040771484,0.0,0.982,22.0
0.2,0.0004878044128417969,0.0,0.984,22.0
0.04,0.0004858970642089844,0.0,0.9895,22.0
0.008,0.0004589557647705078,0.0,0.99,22.0
0.0016,0.00047707557678222656,0.0,0.989,22.0
625.0,0.0005278587341308594,0.0,0.966,23.0
125.0,0.0005671977996826172,0.0,0.966,23.0
25.0,0.0005211830139160156,0.0,0.966,23.0
5.0,0.0005629062652587891,0.0,0.966,23.0
1.0,0.0006339550018310547,0.0,0.975,23.0
0.2,0.00047588348388671875,0.0,0.9805,23.0
0.04,0.0005090236663818359,0.0,0.977,23.0
0.008,0.000514984130859375,0.0,0.9795,23.0
0.0016,0.0005271434783935547,0.0,0.9735,23.0
625.0,0.00047206878662109375,0.0,0.9805,24.0
125.0,0.00043702125549316406,0.0,0.9805,24.0
25.0,0.0004658699035644531,0.0,0.9805,24.0
5.0,0.00043892860412597656,0.0,0.9805,24.0
1.0,0.00048804283142089844,0.0,0.983,24.0
0.2,0.00047206878662109375,0.0,0.9855,24.0
0.04,0.0005059242248535156,0.0,0.9875,24.0
0.008,0.0005600452423095703,0.0,0.985,24.0
0.0016,0.00047707557678222656,0.0,0.986,24.0
625.0,0.014991998672485352,0.0,0.971,25.0
125.0,0.0034949779510498047,0.0,0.971,25.0
25.0,0.0012540817260742188,0.0,0.971,25.0
5.0,0.0006251335144042969,0.0,0.971,25.0
1.0,0.0004940032958984375,0.0,0.982,25.0
0.2,0.0005280971527099609,0.0,0.983,25.0
0.04,0.00046706199645996094,0.0,0.98,25.0
0.008,0.0004889965057373047,0.0,0.983,25.0
0.0016,0.0005290508270263672,0.0,0.9825,25.0
625.0,0.0010440349578857422,0.0,0.981,26.0
125.0,0.0016582012176513672,0.0,0.981,26.0
25.0,0.0010409355163574219,0.0,0.981,26.0
5.0,0.00102996826171875,0.0,0.981,26.0
1.0,0.0005300045013427734,0.0,0.9805,26.0
0.2,0.0005559921264648438,0.0,0.986,26.0
0.04,0.0008537769317626953,0.0,0.981,26.0
0.008,0.0004940032958984375,0.0,0.9855,26.0
0.0016,0.0005300045013427734,0.0,0.982,26.0
625.0,0.0005249977111816406,0.0,0.977,27.0
