C,comp_time,outlier_ratio,test_accuracy,timeout,trial
625.0,0.027187108993530273,0.0,0.984,False,0.0
125.0,0.026170015335083008,0.0,0.984,False,0.0
25.0,0.027964115142822266,0.0,0.986,False,0.0
5.0,0.02894282341003418,0.0,0.983,False,0.0
1.0,0.028416156768798828,0.0,0.983,False,0.0
0.2,0.027584075927734375,0.0,0.9835,False,0.0
0.04,0.027603864669799805,0.0,0.9825,False,0.0
0.008,0.02648615837097168,0.0,0.983,False,0.0
0.0016,0.028512001037597656,0.0,0.0,False,0.0
625.0,0.02927708625793457,0.0,0.962,False,1.0
125.0,0.026530027389526367,0.0,0.962,False,1.0
25.0,0.03654193878173828,0.0,0.962,False,1.0
5.0,0.026228904724121094,0.0,0.962,False,1.0
1.0,0.0264739990234375,0.0,0.975,False,1.0
0.2,0.02965402603149414,0.0,0.981,False,1.0
0.04,0.02822709083557129,0.0,0.9825,False,1.0
0.008,0.029684066772460938,0.0,0.983,False,1.0
0.0016,0.030006885528564453,0.0,0.9825,False,1.0
625.0,0.02724003791809082,0.0,0.9655,False,2.0
125.0,0.02636408805847168,0.0,0.9655,False,2.0
25.0,0.030013084411621094,0.0,0.9655,False,2.0
5.0,0.02688908576965332,0.0,0.9655,False,2.0
1.0,0.025784015655517578,0.0,0.9655,False,2.0
0.2,0.02857494354248047,0.0,0.9735,False,2.0
0.04,0.026193857192993164,0.0,0.9765,False,2.0
0.008,0.0265200138092041,0.0,0.9825,False,2.0
0.0016,0.026813983917236328,0.0,0.986,False,2.0
625.0,0.030366897583007812,0.0,0.962,False,3.0
125.0,0.025595903396606445,0.0,0.962,False,3.0
25.0,0.027001142501831055,0.0,0.962,False,3.0
5.0,0.02733612060546875,0.0,0.962,False,3.0
1.0,0.027651071548461914,0.0,0.9585,False,3.0
0.2,0.027354001998901367,0.0,0.983,False,3.0
0.04,0.02849102020263672,0.0,0.982,False,3.0
0.008,0.028458833694458008,0.0,0.984,False,3.0
0.0016,0.02660989761352539,0.0,0.9785,False,3.0
625.0,0.028259992599487305,0.0,0.953,False,4.0
125.0,0.02866816520690918,0.0,0.953,False,4.0
25.0,0.03358817100524902,0.0,0.953,False,4.0
5.0,0.027371883392333984,0.0,0.953,False,4.0
1.0,0.027807950973510742,0.0,0.957,False,4.0
0.2,0.028657913208007812,0.0,0.9735,False,4.0
0.04,0.028277158737182617,0.0,0.9785,False,4.0
0.008,0.031174182891845703,0.0,0.981,False,4.0
0.0016,0.031134843826293945,0.0,0.9825,False,4.0
625.0,0.030859947204589844,0.0,0.982,False,5.0
125.0,0.04145312309265137,0.0,0.982,False,5.0
25.0,0.025580883026123047,0.0,0.982,False,5.0
5.0,0.03141212463378906,0.0,0.982,False,5.0
1.0,0.02498793601989746,0.0,0.982,False,5.0
0.2,0.028208017349243164,0.0,0.98,False,5.0
0.04,0.026312828063964844,0.0,0.981,False,5.0
0.008,0.026474952697753906,0.0,0.9825,False,5.0
0.0016,0.028393983840942383,0.0,0.983,False,5.0
625.0,0.026458024978637695,0.0,0.9675,False,6.0
125.0,0.025801897048950195,0.0,0.9675,False,6.0
25.0,0.02625298500061035,0.0,0.9675,False,6.0
5.0,0.028393983840942383,0.0,0.9675,False,6.0
1.0,0.028603792190551758,0.0,0.9695,False,6.0
0.2,0.026984214782714844,0.0,0.975,False,6.0
0.04,0.03150296211242676,0.0,0.9825,False,6.0
0.008,0.030458927154541016,0.0,0.984,False,6.0
0.0016,0.026560068130493164,0.0,0.983,False,6.0
625.0,0.026901960372924805,0.0,0.9675,False,7.0
125.0,0.026732921600341797,0.0,0.9675,False,7.0
25.0,0.027029037475585938,0.0,0.9675,False,7.0
5.0,0.025036096572875977,0.0,0.9675,False,7.0
1.0,0.026780128479003906,0.0,0.974,False,7.0
0.2,0.030147790908813477,0.0,0.977,False,7.0
0.04,0.0274660587310791,0.0,0.981,False,7.0
0.008,0.0262298583984375,0.0,0.9785,False,7.0
0.0016,0.02555990219116211,0.0,0.9765,False,7.0
625.0,0.032502174377441406,0.0,0.973,False,8.0
125.0,0.02997112274169922,0.0,0.973,False,8.0
25.0,0.03248095512390137,0.0,0.977,False,8.0
5.0,0.04151105880737305,0.0,0.977,False,8.0
1.0,0.034358978271484375,0.0,0.9815,False,8.0
0.2,0.027959823608398438,0.0,0.9815,False,8.0
0.04,0.026448965072631836,0.0,0.9825,False,8.0
0.008,0.02708292007446289,0.0,0.9855,False,8.0
0.0016,0.027851104736328125,0.0,0.9835,False,8.0
625.0,0.0291898250579834,0.0,0.9815,False,9.0
125.0,0.027231931686401367,0.0,0.9815,False,9.0
25.0,0.027452945709228516,0.0,0.9815,False,9.0
5.0,0.02570199966430664,0.0,0.9815,False,9.0
1.0,0.0257110595703125,0.0,0.982,False,9.0
0.2,0.02946186065673828,0.0,0.979,False,9.0
0.04,0.025461196899414062,0.0,0.9775,False,9.0
0.008,0.026630878448486328,0.0,0.98,False,9.0
0.0016,0.027906179428100586,0.0,0.9805,False,9.0
625.0,0.026079893112182617,0.0,0.9875,False,10.0
125.0,0.02637314796447754,0.0,0.988,False,10.0
25.0,0.027906179428100586,0.0,0.9875,False,10.0
5.0,0.027787208557128906,0.0,0.988,False,10.0
1.0,0.027111053466796875,0.0,0.9885,False,10.0
0.2,0.02575397491455078,0.0,0.985,False,10.0
0.04,0.026083946228027344,0.0,0.9825,False,10.0
0.008,0.02764105796813965,0.0,0.986,False,10.0
0.0016,0.02532482147216797,0.0,0.983,False,10.0
625.0,0.02996993064880371,0.0,0.977,False,11.0
