C,comp_time,outlier_ratio,test_accuracy,trial
625.0,0.003328084945678711,0.0,0.987,0.0
125.0,0.0033979415893554688,0.0,0.987,0.0
25.0,0.0007309913635253906,0.0,0.99,0.0
5.0,0.0008540153503417969,0.0,0.991,0.0
1.0,0.0009791851043701172,0.0,0.991,0.0
0.2,0.0004749298095703125,0.0,0.984,0.0
0.04,0.0006160736083984375,0.0,0.988,0.0
0.008,0.0006000995635986328,0.0,0.991,0.0
0.0016,0.0005130767822265625,0.0,0.989,0.0
625.0,0.0004899501800537109,0.0,0.988,1.0
125.0,0.0005998611450195312,0.0,0.988,1.0
25.0,0.0006210803985595703,0.0,0.988,1.0
5.0,0.0005979537963867188,0.0,0.988,1.0
1.0,0.0004069805145263672,0.0,0.988,1.0
0.2,0.00041413307189941406,0.0,0.985,1.0
0.04,0.0004639625549316406,0.0,0.982,1.0
0.008,0.0007071495056152344,0.0,0.982,1.0
0.0016,0.0005109310150146484,0.0,0.98,1.0
625.0,0.0006058216094970703,0.0,0.979,2.0
125.0,0.0005998611450195312,0.0,0.979,2.0
25.0,0.0005121231079101562,0.0,0.979,2.0
5.0,0.0004818439483642578,0.0,0.977,2.0
1.0,0.0006368160247802734,0.0,0.976,2.0
0.2,0.0004761219024658203,0.0,0.975,2.0
0.04,0.0004730224609375,0.0,0.977,2.0
0.008,0.0004749298095703125,0.0,0.978,2.0
0.0016,0.00046896934509277344,0.0,0.977,2.0
625.0,0.012935161590576172,0.0,0.975,3.0
125.0,0.0027670860290527344,0.0,0.975,3.0
25.0,0.0014019012451171875,0.0,0.975,3.0
5.0,0.0007460117340087891,0.0,0.975,3.0
1.0,0.0006468296051025391,0.0,0.972,3.0
0.2,0.0006368160247802734,0.0,0.974,3.0
0.04,0.0005137920379638672,0.0,0.975,3.0
0.008,0.0006949901580810547,0.0,0.979,3.0
0.0016,0.0008881092071533203,0.0,0.98,3.0
625.0,0.8881089687347412,0.0,0.985,4.0
125.0,0.07875800132751465,0.0,0.985,4.0
25.0,0.017210006713867188,0.0,0.985,4.0
5.0,0.0031499862670898438,0.0,0.984,4.0
1.0,0.002377033233642578,0.0,0.984,4.0
0.2,0.0007770061492919922,0.0,0.986,4.0
0.04,0.0006630420684814453,0.0,0.985,4.0
0.008,0.0005528926849365234,0.0,0.981,4.0
0.0016,0.0005331039428710938,0.0,0.981,4.0
625.0,0.0004448890686035156,0.0,0.984,5.0
125.0,0.0005331039428710938,0.0,0.984,5.0
25.0,0.0006170272827148438,0.0,0.984,5.0
5.0,0.0008528232574462891,0.0,0.984,5.0
1.0,0.0004410743713378906,0.0,0.982,5.0
0.2,0.0016090869903564453,0.0,0.983,5.0
0.04,0.0009028911590576172,0.0,0.983,5.0
0.008,0.0005321502685546875,0.0,0.986,5.0
0.0016,0.0005819797515869141,0.0,0.983,5.0
625.0,0.008840084075927734,0.0,0.983,6.0
125.0,0.009068012237548828,0.0,0.982,6.0
25.0,0.007169008255004883,0.0,0.982,6.0
5.0,0.0014920234680175781,0.0,0.982,6.0
1.0,0.0006110668182373047,0.0,0.979,6.0
0.2,0.0007500648498535156,0.0,0.978,6.0
0.04,0.0006120204925537109,0.0,0.983,6.0
0.008,0.0004749298095703125,0.0,0.985,6.0
0.0016,0.0007719993591308594,0.0,0.983,6.0
625.0,0.0019469261169433594,0.0,0.982,7.0
125.0,0.0016450881958007812,0.0,0.982,7.0
25.0,0.0015749931335449219,0.0,0.982,7.0
5.0,0.000823974609375,0.0,0.98,7.0
1.0,0.0007348060607910156,0.0,0.974,7.0
0.2,0.0006148815155029297,0.0,0.969,7.0
0.04,0.0005280971527099609,0.0,0.976,7.0
0.008,0.0006649494171142578,0.0,0.98,7.0
0.0016,0.0006880760192871094,0.0,0.984,7.0
625.0,0.024771928787231445,0.0,0.986,8.0
125.0,0.005656003952026367,0.0,0.986,8.0
25.0,0.0028350353240966797,0.0,0.986,8.0
5.0,0.0012581348419189453,0.0,0.986,8.0
1.0,0.0005469322204589844,0.0,0.985,8.0
0.2,0.0005679130554199219,0.0,0.985,8.0
0.04,0.0007650852203369141,0.0,0.988,8.0
0.008,0.0005688667297363281,0.0,0.988,8.0
0.0016,0.0004999637603759766,0.0,0.99,8.0
625.0,0.012673139572143555,0.0,0.994,9.0
125.0,0.004286050796508789,0.0,0.994,9.0
25.0,0.0009348392486572266,0.0,0.994,9.0
5.0,0.0008041858673095703,0.0,0.993,9.0
1.0,0.0006449222564697266,0.0,0.992,9.0
0.2,0.0006451606750488281,0.0,0.989,9.0
0.04,0.0004467964172363281,0.0,0.992,9.0
0.008,0.0004799365997314453,0.0,0.993,9.0
0.0016,0.0006799697875976562,0.0,0.989,9.0
625.0,0.03576016426086426,0.0,0.981,10.0
125.0,0.007390022277832031,0.0,0.981,10.0
25.0,0.003077983856201172,0.0,0.981,10.0
5.0,0.0008068084716796875,0.0,0.981,10.0
1.0,0.0007140636444091797,0.0,0.981,10.0
0.2,0.0005488395690917969,0.0,0.977,10.0
0.04,0.0008189678192138672,0.0,0.976,10.0
0.008,0.0004749298095703125,0.0,0.98,10.0
0.0016,0.0006649494171142578,0.0,0.977,10.0
625.0,0.021279096603393555,0.0,0.978,11.0
125.0,0.0067250728607177734,0.0,0.978,11.0
25.0,0.0022361278533935547,0.0,0.978,11.0
5.0,0.0006849765777587891,0.0,0.977,11.0
1.0,0.000514984130859375,0.0,0.977,11.0
