VaR,comp_time,nu,outlier_ratio,test_accuracy,tr-CVaR,trial
-7.069525925303803,0.07522797584533691,0.9,0.0,0.9785,-361.6591158181364,0.0
-6.203728651168421,0.053750038146972656,0.8,0.0,0.9785,-295.1352072194881,0.0
-5.514250952580902,0.037657976150512695,0.7,0.0,0.981,-235.62158287787386,0.0
-4.893584900962115,0.04915189743041992,0.6,0.0,0.9835,-183.97553768112257,0.0
-4.355836405884307,0.04442596435546875,0.5,0.0,0.983,-136.7112969300733,0.0
-3.905669302245658,0.049745798110961914,0.4,0.0,0.9805,-96.0771009326338,0.0
-3.414356992521692,0.028445959091186523,0.29999999999999993,0.0,0.9815,-59.6987586950131,0.0
-2.773706252987456,0.04709792137145996,0.19999999999999996,0.0,0.98,-30.020133362417802,0.0
-1.5648338671203839,0.030443191528320312,0.1,0.0,0.98,-6.655751571561037,0.0
-6.539148783405478,0.0455169677734375,0.9,0.0,0.97,-337.47977391457533,1.0
-6.055743397795176,0.03982710838317871,0.8,0.0,0.974,-275.26516139573823,1.0
-4.904981313594564,0.035349130630493164,0.7,0.0,0.981,-221.38954633789933,1.0
-4.461692061916061,0.033807992935180664,0.6,0.0,0.9805,-174.59040191054595,1.0
-4.01844778377025,0.03105306625366211,0.5,0.0,0.9825,-132.05243620765052,1.0
-3.779835673267564,0.02976083755493164,0.4,0.0,0.983,-93.08108992586011,1.0
-3.223469831115776,0.03028106689453125,0.29999999999999993,0.0,0.982,-58.72860384594739,1.0
-2.64845254034222,0.024838924407958984,0.19999999999999996,0.0,0.983,-29.325822594475355,1.0
-1.7020995325343011,0.02546405792236328,0.1,0.0,0.9825,-7.290180905623915,1.0
-6.847142277258118,0.04498600959777832,0.9,0.0,0.978,-377.74456373404115,2.0
-6.345504833775148,0.028383970260620117,0.8,0.0,0.9815,-311.50504589182526,2.0
-5.604389364512827,0.03070688247680664,0.7,0.0,0.9815,-252.06846733543767,2.0
-4.90750899864327,0.06319499015808105,0.6,0.0,0.9835,-199.7712373270479,2.0
-4.4551680123145525,0.03893089294433594,0.5,0.0,0.9835,-153.1898558046145,2.0
-4.130032585189399,0.026395082473754883,0.4,0.0,0.985,-110.0440156391409,2.0
-3.7299072401807094,0.03252887725830078,0.29999999999999993,0.0,0.986,-70.29273786515964,2.0
-3.239695211633156,0.0301821231842041,0.19999999999999996,0.0,0.9845,-36.134639143836935,2.0
-2.160084586442234,0.041416168212890625,0.1,0.0,0.9855,-8.46838265816434,2.0
-6.7315761528729485,0.03214287757873535,0.9,0.0,0.968,-332.68592427396567,3.0
-5.625082672841957,0.05973505973815918,0.8,0.0,0.973,-271.00759624060044,3.0
-5.0214174833854575,0.04071378707885742,0.7,0.0,0.972,-217.24714856725643,3.0
-4.600592560628513,0.04674100875854492,0.6,0.0,0.9785,-169.35859819754722,3.0
