C,comp_time,outlier_ratio,test_accuracy,timeout,trial
625.0,0.030485153198242188,0.0,0.984,False,0.0
125.0,0.03154706954956055,0.0,0.984,False,0.0
25.0,0.06245708465576172,0.0,0.986,False,0.0
5.0,0.028800010681152344,0.0,0.983,False,0.0
1.0,0.028875112533569336,0.0,0.983,False,0.0
0.2,0.0309751033782959,0.0,0.9835,False,0.0
0.04,0.028703927993774414,0.0,0.9825,False,0.0
0.008,0.03186297416687012,0.0,0.983,False,0.0
0.0016,0.030671119689941406,0.0,0.0,False,0.0
625.0,0.03319907188415527,0.0,0.962,False,1.0
125.0,0.030634164810180664,0.0,0.962,False,1.0
25.0,0.028450965881347656,0.0,0.962,False,1.0
5.0,0.031090974807739258,0.0,0.962,False,1.0
1.0,0.029002904891967773,0.0,0.975,False,1.0
0.2,0.03163290023803711,0.0,0.981,False,1.0
0.04,0.030770063400268555,0.0,0.9825,False,1.0
0.008,0.031193971633911133,0.0,0.983,False,1.0
0.0016,0.03283405303955078,0.0,0.9825,False,1.0
625.0,0.02902698516845703,0.0,0.9655,False,2.0
125.0,0.029749155044555664,0.0,0.9655,False,2.0
25.0,0.031580209732055664,0.0,0.9655,False,2.0
5.0,0.02913808822631836,0.0,0.9655,False,2.0
1.0,0.028759002685546875,0.0,0.9655,False,2.0
0.2,0.03239297866821289,0.0,0.9735,False,2.0
0.04,0.028707027435302734,0.0,0.9765,False,2.0
0.008,0.030173778533935547,0.0,0.9825,False,2.0
0.0016,0.029621124267578125,0.0,0.986,False,2.0
625.0,0.03453183174133301,0.0,0.962,False,3.0
125.0,0.030494213104248047,0.0,0.962,False,3.0
25.0,0.029675006866455078,0.0,0.962,False,3.0
5.0,0.030377864837646484,0.0,0.962,False,3.0
1.0,0.029865026473999023,0.0,0.9585,False,3.0
0.2,0.02915501594543457,0.0,0.983,False,3.0
0.04,0.030984163284301758,0.0,0.982,False,3.0
0.008,0.031242847442626953,0.0,0.984,False,3.0
0.0016,0.031587839126586914,0.0,0.9785,False,3.0
625.0,0.031340837478637695,0.0,0.953,False,4.0
125.0,0.030726194381713867,0.0,0.953,False,4.0
25.0,0.03172898292541504,0.0,0.953,False,4.0
5.0,0.032547950744628906,0.0,0.953,False,4.0
1.0,0.030335187911987305,0.0,0.957,False,4.0
0.2,0.03082585334777832,0.0,0.9735,False,4.0
0.04,0.031546831130981445,0.0,0.9785,False,4.0
0.008,0.02886795997619629,0.0,0.981,False,4.0
0.0016,0.030946969985961914,0.0,0.9825,False,4.0
625.0,0.03105902671813965,0.0,0.982,False,5.0
125.0,0.030410051345825195,0.0,0.982,False,5.0
25.0,0.028727054595947266,0.0,0.982,False,5.0
5.0,0.02971196174621582,0.0,0.982,False,5.0
1.0,0.030053138732910156,0.0,0.982,False,5.0
0.2,0.029219865798950195,0.0,0.98,False,5.0
0.04,0.029954195022583008,0.0,0.981,False,5.0
0.008,0.029922962188720703,0.0,0.9825,False,5.0
0.0016,0.03333902359008789,0.0,0.983,False,5.0
625.0,0.030764102935791016,0.0,0.9675,False,6.0
125.0,0.029541969299316406,0.0,0.9675,False,6.0
25.0,0.029103994369506836,0.0,0.9675,False,6.0
5.0,0.03092479705810547,0.0,0.9675,False,6.0
1.0,0.030518054962158203,0.0,0.9695,False,6.0
0.2,0.030853986740112305,0.0,0.975,False,6.0
0.04,0.029369831085205078,0.0,0.9825,False,6.0
0.008,0.032263994216918945,0.0,0.984,False,6.0
0.0016,0.031009912490844727,0.0,0.983,False,6.0
625.0,0.029773950576782227,0.0,0.9675,False,7.0
125.0,0.030874013900756836,0.0,0.9675,False,7.0
25.0,0.03021407127380371,0.0,0.9675,False,7.0
