VaR,comp_time,nu,outlier_ratio,test_accuracy,tr-CVaR,trial
-7.069525925303803,0.09823894500732422,0.9,0.0,0.9785,-361.6591158181364,0.0
-6.203728651168421,0.0563199520111084,0.8,0.0,0.9785,-295.1352072194881,0.0
-5.514250952580902,0.029809951782226562,0.7,0.0,0.981,-235.62158287787386,0.0
-4.893584900962115,0.05536293983459473,0.6,0.0,0.9835,-183.97553768112257,0.0
-4.355836405884307,0.03891396522521973,0.5,0.0,0.983,-136.7112969300733,0.0
-3.905669302245658,0.04351496696472168,0.4,0.0,0.9805,-96.0771009326338,0.0
-3.414356992521692,0.03184700012207031,0.29999999999999993,0.0,0.9815,-59.6987586950131,0.0
-2.773706252987456,0.03850603103637695,0.19999999999999996,0.0,0.98,-30.020133362417802,0.0
-1.5648338671203839,0.036438941955566406,0.1,0.0,0.98,-6.655751571561037,0.0
-6.539148783405478,0.049955129623413086,0.9,0.0,0.97,-337.47977391457533,1.0
-6.055743397795176,0.026646852493286133,0.8,0.0,0.974,-275.26516139573823,1.0
-4.904981313594564,0.03610587120056152,0.7,0.0,0.981,-221.38954633789933,1.0
-4.461692061916061,0.026957988739013672,0.6,0.0,0.9805,-174.59040191054595,1.0
-4.01844778377025,0.026221036911010742,0.5,0.0,0.9825,-132.05243620765052,1.0
-3.779835673267564,0.024147987365722656,0.4,0.0,0.983,-93.08108992586011,1.0
-3.223469831115776,0.0287628173828125,0.29999999999999993,0.0,0.982,-58.72860384594739,1.0
-2.64845254034222,0.025552034378051758,0.19999999999999996,0.0,0.983,-29.325822594475355,1.0
-1.7020995325343011,0.02490091323852539,0.1,0.0,0.9825,-7.290180905623915,1.0
-6.847142277258118,0.03878593444824219,0.9,0.0,0.978,-377.74456373404115,2.0
-6.345504833775148,0.02780294418334961,0.8,0.0,0.9815,-311.50504589182526,2.0
-5.604389364512827,0.02959585189819336,0.7,0.0,0.9815,-252.06846733543767,2.0
-4.90750899864327,0.025387048721313477,0.6,0.0,0.9835,-199.7712373270479,2.0
-4.4551680123145525,0.02636098861694336,0.5,0.0,0.9835,-153.1898558046145,2.0
-4.130032585189399,0.02533102035522461,0.4,0.0,0.985,-110.0440156391409,2.0
-3.7299072401807094,0.03198981285095215,0.29999999999999993,0.0,0.986,-70.29273786515964,2.0
-3.239695211633156,0.026196002960205078,0.19999999999999996,0.0,0.9845,-36.134639143836935,2.0
-2.160084586442234,0.03329801559448242,0.1,0.0,0.9855,-8.46838265816434,2.0
-6.7315761528729485,0.029395103454589844,0.9,0.0,0.968,-332.68592427396567,3.0
-5.625082672841957,0.03949689865112305,0.8,0.0,0.973,-271.00759624060044,3.0
-5.0214174833854575,0.03695106506347656,0.7,0.0,0.972,-217.24714856725643,3.0
-4.600592560628513,0.037240028381347656,0.6,0.0,0.9785,-169.35859819754722,3.0
-4.090840961237196,0.027328014373779297,0.5,0.0,0.9775,-125.57271783012864,3.0
-3.5745332213332843,0.024110078811645508,0.4,0.0,0.9785,-87.40453093407343,3.0
-2.877258178321833,0.028229951858520508,0.29999999999999993,0.0,0.983,-55.10186774957609,3.0
-2.4413118154189184,0.033241987228393555,0.19999999999999996,0.0,0.9815,-27.527382735251294,3.0
-1.6119356698402432,0.02449202537536621,0.1,0.0,0.9845,-6.635817526075993,3.0
-6.660633736471892,0.037654876708984375,0.9,0.0,0.98,-343.33761496686174,4.0
-5.982569388810704,0.035284996032714844,0.8,0.0,0.981,-280.8922674872561,4.0
-5.2226878225545335,0.0379328727722168,0.7,0.0,0.9825,-224.77107434709086,4.0
-4.7140726366772805,0.0337069034576416,0.6,0.0,0.9825,-175.15025514689225,4.0
-3.9503430571114575,0.027549028396606445,0.5,0.0,0.9825,-131.28167642251321,4.0
-3.498357324029826,0.025435924530029297,0.4,0.0,0.9825,-93.79081178904838,4.0
-3.3370026921828875,0.029591083526611328,0.29999999999999993,0.0,0.9815,-59.63737243376093,4.0
-2.510624473218436,0.033178091049194336,0.19999999999999996,0.0,0.982,-31.437524034467806,4.0
-1.8374285308260132,0.02297496795654297,0.1,0.0,0.98,-8.847008506048933,4.0
-7.011424770330972,0.044422149658203125,0.9,0.0,0.9725,-356.7289401753625,5.0
-5.814712935219075,0.04254007339477539,0.8,0.0,0.9825,-290.22864324238486,5.0
-5.241342498604994,0.02608513832092285,0.7,0.0,0.9835,-234.10524928011847,5.0
-4.884154331835733,0.026885986328125,0.6,0.0,0.9835,-183.27338806653466,5.0
-4.416450247680033,0.02732396125793457,0.5,0.0,0.9825,-136.5647613623103,5.0
-3.680145087129431,0.04069089889526367,0.4,0.0,0.9805,-95.84056660047715,5.0
-3.2588626803663225,0.032269954681396484,0.29999999999999993,0.0,0.9815,-61.23723989570322,5.0
-2.5675187304678273,0.022663116455078125,0.19999999999999996,0.0,0.9845,-31.290054475849537,5.0
-2.000744418042332,0.03288412094116211,0.1,0.0,0.982,-9.337077079416458,5.0
-7.4394220901511785,0.03738808631896973,0.9,0.0,0.9675,-382.9894404245462,6.0
-6.55294043282002,0.03686714172363281,0.8,0.0,0.9765,-313.0032358286091,6.0
-6.156370296067569,0.03414607048034668,0.7,0.0,0.98,-249.822703734326,6.0
-5.5909287186100105,0.027218103408813477,0.6,0.0,0.9825,-190.49212029746187,6.0
-4.482176852825524,0.047740936279296875,0.5,0.0,0.98,-140.47904442286347,6.0
-3.9100535438730346,0.03139901161193848,0.4,0.0,0.9805,-97.93028966668756,6.0
-3.379955576930526,0.03245902061462402,0.29999999999999993,0.0,0.978,-61.92341427750304,6.0
-2.598428463532119,0.029291868209838867,0.19999999999999996,0.0,0.985,-30.598887679477105,6.0
-1.892126991442357,0.03375411033630371,0.1,0.0,0.9805,-8.273901899239998,6.0
-7.294453387201657,0.03931593894958496,0.9,0.0,0.968,-347.5550067548277,7.0
-6.0838458386271235,0.0294189453125,0.8,0.0,0.9795,-280.98679163007114,7.0
-5.232555443819655,0.0359499454498291,0.7,0.0,0.9715,-225.06311399945656,7.0
-4.7926458700006895,0.03297901153564453,0.6,0.0,0.9695,-174.9061693701167,7.0
-4.142689158388746,0.026679039001464844,0.5,0.0,0.977,-131.1976531157968,7.0
-3.4535719338702466,0.02502298355102539,0.4,0.0,0.977,-93.7007081607507,7.0
-3.095543688114641,0.023180007934570312,0.29999999999999993,0.0,0.9765,-60.150248149670546,7.0
-2.7028965051944223,0.041587114334106445,0.19999999999999996,0.0,0.977,-30.885936504828628,7.0
-1.6349779855081978,0.045022010803222656,0.1,0.0,0.9815,-7.702798133917213,7.0
-6.996135368819013,0.03286409378051758,0.9,0.0,0.9855,-323.9468754863156,8.0
-5.959881253008263,0.03175711631774902,0.8,0.0,0.9865,-260.02647689860964,8.0
-5.047406802693719,0.024472951889038086,0.7,0.0,0.987,-205.73124721512016,8.0
-4.363157190190019,0.04842400550842285,0.6,0.0,0.983,-158.2462225685636,8.0
-3.871169746012783,0.0365290641784668,0.5,0.0,0.985,-117.04257450461768,8.0
-3.5398218485297757,0.03331303596496582,0.4,0.0,0.985,-80.21388277308604,8.0
-2.9259491835444202,0.07031488418579102,0.29999999999999993,0.0,0.9855,-48.49988710253892,8.0
-2.177998954093271,0.026665925979614258,0.19999999999999996,0.0,0.983,-23.3615116513767,8.0
-1.2546942028784884,0.025591135025024414,0.1,0.0,0.983,-5.110568331224898,8.0
-6.930392728806053,0.060064077377319336,0.9,0.0,0.972,-352.01415642327817,9.0
-5.963014340204041,0.04386615753173828,0.8,0.0,0.98,-289.1028116360515,9.0
-5.236932521844677,0.03334188461303711,0.7,0.0,0.9785,-232.97975933468945,9.0
-4.6222895603986975,0.03869891166687012,0.6,0.0,0.981,-183.79348149066,9.0
-4.151422756255682,0.02298116683959961,0.5,0.0,0.9855,-139.64079295087396,9.0
-3.68976994591916,0.02590489387512207,0.4,0.0,0.9855,-101.2691905087526,9.0
-3.2440725228293448,0.026922941207885742,0.29999999999999993,0.0,0.9845,-66.39130339965446,9.0
-2.939315980722039,0.04125714302062988,0.19999999999999996,0.0,0.9815,-36.182889133912724,9.0
-2.2549490753521177,0.03432011604309082,0.1,0.0,0.979,-10.914713162976673,9.0
-6.865691789840636,0.027599096298217773,0.9,0.0,0.9855,-355.84529151083746,10.0
-5.783155002282078,0.031237125396728516,0.8,0.0,0.984,-292.4866812843197,10.0
-5.354801715717922,0.02831292152404785,0.7,0.0,0.9845,-236.62611476143564,10.0
-4.977410954730658,0.027570009231567383,0.6,0.0,0.984,-184.69948615391795,10.0
-4.389410027722785,0.03829383850097656,0.5,0.0,0.9805,-138.12353840179946,10.0
-3.9564075011556135,0.048686981201171875,0.4,0.0,0.98,-97.82785107348549,10.0
-3.4195644784077563,0.040814876556396484,0.29999999999999993,0.0,0.986,-61.68068789077454,10.0
-2.9099133706543037,0.030225038528442383,0.19999999999999996,0.0,0.983,-29.932668613969977,10.0
-1.582700574514617,0.03142809867858887,0.1,0.0,0.9825,-7.202782210460386,10.0
-6.764438597381345,0.0566868782043457,0.9,0.0,0.972,-343.438919521042,11.0
-6.044689966720933,0.06395602226257324,0.8,0.0,0.9725,-279.18779702311707,11.0
-5.314094805832385,0.040567874908447266,0.7,0.0,0.9765,-222.26119484889838,11.0
-4.6673230436114155,0.02853703498840332,0.6,0.0,0.979,-171.45943512113539,11.0
-4.22560544201089,0.028750181198120117,0.5,0.0,0.98,-126.18694490636872,11.0
-3.629489646823753,0.026193857192993164,0.4,0.0,0.9805,-86.36521820654028,11.0
-2.973091192254272,0.030918121337890625,0.29999999999999993,0.0,0.979,-53.347617634440816,11.0
-2.3520814449591225,0.046011924743652344,0.19999999999999996,0.0,0.9805,-26.64998342877179,11.0
-1.5883648588963708,0.03620004653930664,0.1,0.0,0.9785,-7.413693145345689,11.0
-6.246750518839086,0.04355788230895996,0.9,0.0,0.982,-342.69993825015297,12.0
-5.77561740203363,0.056075096130371094,0.8,0.0,0.9845,-282.65274211508273,12.0
-5.274566089361612,0.03745007514953613,0.7,0.0,0.9855,-227.3596153062924,12.0
-4.731498800601929,0.03552985191345215,0.6,0.0,0.985,-177.45854009332277,12.0
-4.066884123473104,0.03313589096069336,0.5,0.0,0.988,-133.2803030641857,12.0
-3.6292933551452786,0.03766798973083496,0.4,0.0,0.9875,-95.22018111692884,12.0
-3.0981779930802107,0.03543710708618164,0.29999999999999993,0.0,0.987,-61.70013878996865,12.0
-2.564867666930741,0.03165006637573242,0.19999999999999996,0.0,0.988,-32.68584393203685,12.0
-2.056195784678398,0.02404499053955078,0.1,0.0,0.987,-8.781232792491291,12.0
-7.121645052713288,0.04633283615112305,0.9,0.0,0.972,-372.6313325160635,13.0
-6.433497012311912,0.042608022689819336,0.8,0.0,0.9745,-304.83249265190267,13.0
-5.634676388959666,0.03586411476135254,0.7,0.0,0.972,-245.27168853972802,13.0
-4.931071166634842,0.030831098556518555,0.6,0.0,0.978,-191.62499378524348,13.0
-4.453053526149717,0.03181886672973633,0.5,0.0,0.9785,-144.48127940972412,13.0
-4.029606133802436,0.04404497146606445,0.4,0.0,0.973,-102.78634665594784,13.0
-3.4966095680565505,0.03302311897277832,0.29999999999999993,0.0,0.9715,-64.88662957495741,13.0
-2.7449802021441907,0.03137707710266113,0.19999999999999996,0.0,0.978,-32.57569989342569,13.0
-1.9532018703123082,0.024347782135009766,0.1,0.0,0.979,-8.837575533788138,13.0
-6.415588325193227,0.03954195976257324,0.9,0.0,0.9755,-338.8847250902666,14.0
-5.767004703708095,0.05604910850524902,0.8,0.0,0.9685,-278.3527463422263,14.0
-5.103182608188261,0.04803204536437988,0.7,0.0,0.9745,-225.0127057919578,14.0
-4.594096043991684,0.025316953659057617,0.6,0.0,0.978,-176.50438547508003,14.0
-4.168108025633363,0.025326967239379883,0.5,0.0,0.976,-133.27544564361108,14.0
-3.5814014161765306,0.02512502670288086,0.4,0.0,0.979,-93.9809464721881,14.0
-3.1512103089087873,0.022589921951293945,0.29999999999999993,0.0,0.9785,-59.374174155733286,14.0
-2.632851343774436,0.03096795082092285,0.19999999999999996,0.0,0.982,-30.21018354096719,14.0
-1.986358039016585,0.027810096740722656,0.1,0.0,0.9815,-7.409168644661496,14.0
-7.217312744251543,0.03103184700012207,0.9,0.0,0.977,-371.44347147278506,15.0
-6.381964969364585,0.025393962860107422,0.8,0.0,0.9755,-304.04242253204137,15.0
-5.4285918341689365,0.025897979736328125,0.7,0.0,0.977,-245.91090773404937,15.0
-4.982792130495939,0.04311394691467285,0.6,0.0,0.976,-194.2566132233322,15.0
-4.562838311763972,0.028330087661743164,0.5,0.0,0.9755,-145.66391128393818,15.0
-4.131959237863214,0.041005849838256836,0.4,0.0,0.976,-101.9847072006495,15.0
-3.4179012667400714,0.039205074310302734,0.29999999999999993,0.0,0.9765,-64.23922516192908,15.0
-2.766872597921541,0.0265500545501709,0.19999999999999996,0.0,0.9775,-33.78534864641623,15.0
-2.0787749772070234,0.0252530574798584,0.1,0.0,0.9755,-10.074087843727247,15.0
-7.416104123365766,0.03786301612854004,0.9,0.0,0.9845,-338.2191106632732,16.0
-5.87874359946873,0.038600921630859375,0.8,0.0,0.98,-272.4765702746015,16.0
-5.3982536413359075,0.026018857955932617,0.7,0.0,0.98,-216.26995749418305,16.0
-4.83880411493241,0.05039787292480469,0.6,0.0,0.983,-164.92015801535416,16.0
-4.217898742893088,0.02371692657470703,0.5,0.0,0.982,-119.21226565913273,16.0
-3.6162950469800044,0.02884817123413086,0.4,0.0,0.982,-80.28409483974842,16.0
-3.001688080867241,0.026129961013793945,0.29999999999999993,0.0,0.9845,-47.09956497737152,16.0
-2.027241180664453,0.03258109092712402,0.19999999999999996,0.0,0.988,-23.27751135089859,16.0
-1.257741990885641,0.02571392059326172,0.1,0.0,0.9875,-5.820237432687601,16.0
-6.555796819119191,0.03706479072570801,0.9,0.0,0.982,-351.0053926416117,17.0
-5.825372728296383,0.03737998008728027,0.8,0.0,0.9815,-290.12428304986616,17.0
-5.215649187980823,0.027554988861083984,0.7,0.0,0.9795,-233.8211103190965,17.0
-4.745603635126683,0.03041696548461914,0.6,0.0,0.977,-183.9247167411396,17.0
-4.4417948342733,0.025975942611694336,0.5,0.0,0.9755,-137.85266022208984,17.0
-4.058066077467542,0.02925586700439453,0.4,0.0,0.976,-95.46265088425193,17.0
-3.3844740443049703,0.02543783187866211,0.29999999999999993,0.0,0.9825,-57.76358657407252,17.0
-2.3903227872076465,0.030459880828857422,0.19999999999999996,0.0,0.982,-28.967428498218528,17.0
-1.7906101262676735,0.02634286880493164,0.1,0.0,0.981,-8.112944494653034,17.0
-7.322132657555122,0.07262611389160156,0.9,0.0,0.98,-366.2233576830633,18.0
-6.4660950564863775,0.04007983207702637,0.8,0.0,0.9745,-298.12073086819805,18.0
-5.766064068492016,0.02421712875366211,0.7,0.0,0.977,-237.63823953919294,18.0
-4.9711058115074085,0.04089689254760742,0.6,0.0,0.984,-184.04291794324132,18.0
-4.372181267765647,0.02283501625061035,0.5,0.0,0.981,-137.5680154682035,18.0
-3.879211324166662,0.029356002807617188,0.4,0.0,0.9805,-95.98654423637171,18.0
-3.228007140704566,0.0565950870513916,0.29999999999999993,0.0,0.9775,-60.87677038080659,18.0
-2.9274219560432386,0.03259611129760742,0.19999999999999996,0.0,0.9805,-29.857103091558752,18.0
-1.8247604115045661,0.04313302040100098,0.1,0.0,0.9705,-8.493549430271484,18.0
-6.592885436954512,0.06181502342224121,0.9,0.0,0.965,-350.12947702238637,19.0
-6.0669831602074975,0.03498387336730957,0.8,0.0,0.9685,-286.84489651243535,19.0
-5.147933072234364,0.03414416313171387,0.7,0.0,0.9755,-231.9891755142752,19.0
-4.7868264407196985,0.03743791580200195,0.6,0.0,0.9705,-182.37300623281155,19.0
-4.356690258453389,0.03758716583251953,0.5,0.0,0.9725,-136.9352270726228,19.0
-3.751920432950035,0.033592939376831055,0.4,0.0,0.9755,-96.40082682500318,19.0
-3.4253518368141718,0.02889704704284668,0.29999999999999993,0.0,0.9765,-60.40652771386041,19.0
-2.4978870995117357,0.02474808692932129,0.19999999999999996,0.0,0.976,-30.233695484009488,19.0
-1.6758412537437035,0.021780967712402344,0.1,0.0,0.976,-7.968351441674057,19.0
-7.655649938066939,0.03983020782470703,0.9,0.0,0.9525,-368.29291176814803,20.0
-6.525343765504601,0.03903913497924805,0.8,0.0,0.9625,-297.90785791899503,20.0
-5.894842993844887,0.044075965881347656,0.7,0.0,0.9665,-236.0051364507323,20.0
-4.9888842034293335,0.04773092269897461,0.6,0.0,0.9725,-182.50432765677152,20.0
-4.4770432409481735,0.05636715888977051,0.5,0.0,0.9725,-134.47759955273085,20.0
-3.5777397502611503,0.037285804748535156,0.4,0.0,0.975,-93.07814892241069,20.0
-3.276512061100959,0.03852200508117676,0.29999999999999993,0.0,0.9765,-58.37474557500777,20.0
-2.5889459939873567,0.038195133209228516,0.19999999999999996,0.0,0.9795,-29.115063394537582,20.0
-1.6997020449011249,0.02370905876159668,0.1,0.0,0.9805,-7.392586804778014,20.0
-6.305258087701775,0.047532081604003906,0.9,0.0,0.9875,-360.25479937412786,21.0
-5.599040751731102,0.03060007095336914,0.8,0.0,0.9855,-299.35167901009436,21.0
-5.187433929409295,0.04648399353027344,0.7,0.0,0.983,-245.4975175962428,21.0
-4.95958364940369,0.03934192657470703,0.6,0.0,0.984,-194.88899734752596,21.0
-4.562946074328055,0.03686094284057617,0.5,0.0,0.984,-147.0593633971555,21.0
-4.075137683530173,0.028876066207885742,0.4,0.0,0.986,-104.049884169818,21.0
-3.568544321412242,0.027876853942871094,0.29999999999999993,0.0,0.9855,-66.00777647374593,21.0
-2.9628743514221783,0.035388946533203125,0.19999999999999996,0.0,0.985,-33.26173544563573,21.0
-1.863524735841622,0.027423858642578125,0.1,0.0,0.9875,-8.69886923771547,21.0
-7.4061296678736275,0.03485417366027832,0.9,0.0,0.9885,-347.3551697858729,22.0
-6.072467083627383,0.043363094329833984,0.8,0.0,0.988,-278.93918984682057,22.0
-5.04032712534044,0.032276153564453125,0.7,0.0,0.9885,-222.07446858682997,22.0
-4.791934404537202,0.02547597885131836,0.6,0.0,0.988,-172.85742173943,22.0
-4.278528583619858,0.0301971435546875,0.5,0.0,0.988,-128.0303307874662,22.0
-3.670577502125659,0.028670787811279297,0.4,0.0,0.9895,-88.18166664604803,22.0
-3.184373552910473,0.024430036544799805,0.29999999999999993,0.0,0.9895,-53.030658661098805,22.0
-2.475021340133099,0.037184953689575195,0.19999999999999996,0.0,0.988,-24.891566801711342,22.0
-1.1976418126123887,0.02543020248413086,0.1,0.0,0.985,-5.020555805619003,22.0
