C,comp_time,outlier_ratio,test_accuracy,timeout,trial
625.0,0.07238888740539551,0.0,0.984,False,0.0
125.0,0.0410919189453125,0.0,0.984,False,0.0
25.0,0.04238295555114746,0.0,0.986,False,0.0
5.0,0.045992136001586914,0.0,0.983,False,0.0
1.0,0.04351210594177246,0.0,0.983,False,0.0
0.2,0.04573702812194824,0.0,0.9835,False,0.0
0.04,0.045150041580200195,0.0,0.9825,False,0.0
0.008,0.044628143310546875,0.0,0.983,False,0.0
0.0016,0.0425570011138916,0.0,0.0,False,0.0
625.0,0.04140901565551758,0.0,0.962,False,1.0
125.0,0.04298591613769531,0.0,0.962,False,1.0
25.0,0.0404050350189209,0.0,0.962,False,1.0
5.0,0.03947806358337402,0.0,0.962,False,1.0
1.0,0.045387983322143555,0.0,0.975,False,1.0
0.2,0.046170949935913086,0.0,0.981,False,1.0
0.04,0.0443730354309082,0.0,0.9825,False,1.0
0.008,0.04239702224731445,0.0,0.983,False,1.0
0.0016,0.07332801818847656,0.0,0.9825,False,1.0
625.0,0.04174494743347168,0.0,0.9655,False,2.0
125.0,0.04009294509887695,0.0,0.9655,False,2.0
25.0,0.03899693489074707,0.0,0.9655,False,2.0
5.0,0.039585113525390625,0.0,0.9655,False,2.0
1.0,0.04145503044128418,0.0,0.9655,False,2.0
0.2,0.0471498966217041,0.0,0.9735,False,2.0
0.04,0.04417109489440918,0.0,0.9765,False,2.0
0.008,0.04214596748352051,0.0,0.9825,False,2.0
0.0016,0.04042792320251465,0.0,0.9855,False,2.0
625.0,0.0418848991394043,0.0,0.962,False,3.0
125.0,0.04192996025085449,0.0,0.962,False,3.0
25.0,0.03986406326293945,0.0,0.962,False,3.0
5.0,0.041587114334106445,0.0,0.962,False,3.0
1.0,0.04488420486450195,0.0,0.9585,False,3.0
0.2,0.044107913970947266,0.0,0.983,False,3.0
0.04,0.04321408271789551,0.0,0.982,False,3.0
0.008,0.041787147521972656,0.0,0.984,False,3.0
0.0016,0.03942394256591797,0.0,0.9785,False,3.0
625.0,0.0562748908996582,0.0,0.953,False,4.0
125.0,0.05436396598815918,0.0,0.953,False,4.0
25.0,0.05725288391113281,0.0,0.953,False,4.0
5.0,0.05530691146850586,0.0,0.953,False,4.0
1.0,0.05847311019897461,0.0,0.957,False,4.0
0.2,0.06962990760803223,0.0,0.9735,False,4.0
0.04,0.06301093101501465,0.0,0.9785,False,4.0
0.008,0.04214906692504883,0.0,0.981,False,4.0
0.0016,0.0390009880065918,0.0,0.9825,False,4.0
625.0,0.043447017669677734,0.0,0.982,False,5.0
125.0,0.040463924407958984,0.0,0.982,False,5.0
25.0,0.03986406326293945,0.0,0.982,False,5.0
5.0,0.03906989097595215,0.0,0.982,False,5.0
1.0,0.038926124572753906,0.0,0.982,False,5.0
0.2,0.04306602478027344,0.0,0.98,False,5.0
0.04,0.0466151237487793,0.0,0.981,False,5.0
0.008,0.04180908203125,0.0,0.9825,False,5.0
0.0016,0.03998994827270508,0.0,0.983,False,5.0
625.0,0.04121994972229004,0.0,0.9675,False,6.0
125.0,0.04045391082763672,0.0,0.9675,False,6.0
25.0,0.04023098945617676,0.0,0.9675,False,6.0
5.0,0.039605140686035156,0.0,0.9675,False,6.0
1.0,0.044439077377319336,0.0,0.9695,False,6.0
0.2,0.043678998947143555,0.0,0.975,False,6.0
0.04,0.04282784461975098,0.0,0.9825,False,6.0
0.008,0.041745901107788086,0.0,0.984,False,6.0
0.0016,0.07864189147949219,0.0,0.983,False,6.0
625.0,0.04091501235961914,0.0,0.9675,False,7.0
