C,comp_time,outlier_ratio,test_accuracy,trial
625.0,0.003899097442626953,0.0,0.984,0.0
125.0,0.003106832504272461,0.0,0.984,0.0
25.0,0.0008871555328369141,0.0,0.986,0.0
5.0,0.0007200241088867188,0.0,0.983,0.0
1.0,0.0007498264312744141,0.0,0.983,0.0
0.2,0.0004830360412597656,0.0,0.9835,0.0
0.04,0.0005309581756591797,0.0,0.9825,0.0
0.008,0.0005819797515869141,0.0,0.983,0.0
0.0016,0.0005078315734863281,0.0,0.983,0.0
625.0,0.0005769729614257812,0.0,0.962,1.0
125.0,0.0004839897155761719,0.0,0.962,1.0
25.0,0.0004999637603759766,0.0,0.962,1.0
5.0,0.0005390644073486328,0.0,0.962,1.0
1.0,0.0005078315734863281,0.0,0.975,1.0
0.2,0.00047707557678222656,0.0,0.981,1.0
0.04,0.0006170272827148438,0.0,0.9825,1.0
0.008,0.0005810260772705078,0.0,0.983,1.0
0.0016,0.0004830360412597656,0.0,0.9825,1.0
625.0,0.0005819797515869141,0.0,0.9655,2.0
125.0,0.0004889965057373047,0.0,0.9655,2.0
25.0,0.0006690025329589844,0.0,0.9655,2.0
5.0,0.0004909038543701172,0.0,0.9655,2.0
1.0,0.0006351470947265625,0.0,0.9655,2.0
0.2,0.000476837158203125,0.0,0.9735,2.0
0.04,0.0006151199340820312,0.0,0.9765,2.0
0.008,0.0005099773406982422,0.0,0.9825,2.0
0.0016,0.0005700588226318359,0.0,0.986,2.0
625.0,0.0005269050598144531,0.0,0.962,3.0
125.0,0.0005738735198974609,0.0,0.962,3.0
25.0,0.0006570816040039062,0.0,0.962,3.0
5.0,0.0006680488586425781,0.0,0.962,3.0
1.0,0.0006690025329589844,0.0,0.9585,3.0
0.2,0.00061798095703125,0.0,0.983,3.0
0.04,0.0008759498596191406,0.0,0.982,3.0
0.008,0.0005638599395751953,0.0,0.984,3.0
0.0016,0.0006368160247802734,0.0,0.9785,3.0
625.0,0.0055119991302490234,0.0,0.9765,4.0
125.0,0.001338958740234375,0.0,0.9765,4.0
25.0,0.0009059906005859375,0.0,0.9765,4.0
5.0,0.0005559921264648438,0.0,0.9765,4.0
1.0,0.0006661415100097656,0.0,0.9735,4.0
0.2,0.000537872314453125,0.0,0.9735,4.0
