VaR,comp_time,nu,outlier_ratio,test_accuracy,tr-CVaR,trial
-7.069525948749614,0.10065388679504395,0.9,0.0,0.9785,-361.65911770190877,0.0
-6.203728651157894,0.04669308662414551,0.8,0.0,0.9785,-295.1352072147185,0.0
-5.514250952585363,0.026031017303466797,0.7,0.0,0.981,-235.62158287784501,0.0
-4.893584900987873,0.07079911231994629,0.6,0.0,0.9835,-183.97553768122248,0.0
-4.3558364075781,0.05514121055603027,0.5,0.0,0.983,-136.7112969569418,0.0
-3.9056693007678005,0.04799604415893555,0.4,0.0,0.9805,-96.07710083788949,0.0
-3.4143569925393376,0.030785083770751953,0.29999999999999993,0.0,0.9815,-59.698758695100295,0.0
-2.7737062529878482,0.05471491813659668,0.19999999999999996,0.0,0.98,-30.020133362424396,0.0
-1.5648338671070037,0.04590582847595215,0.1,0.0,0.98,-6.6557515715010975,0.0
-6.539148783401252,0.05298304557800293,0.9,0.0,0.97,-337.4797739152295,1.0
-6.0557433977924395,0.03510904312133789,0.8,0.0,0.974,-275.2651613958859,1.0
-4.904981314425834,0.04710793495178223,0.7,0.0,0.981,-221.3895463325012,1.0
-4.461692061791081,0.0353388786315918,0.6,0.0,0.9805,-174.59040191029257,1.0
-4.018447783777268,0.04097914695739746,0.5,0.0,0.9825,-132.05243621608193,1.0
-3.77983567326907,0.03379392623901367,0.4,0.0,0.983,-93.0810899257403,1.0
-3.223469831183958,0.03684401512145996,0.29999999999999993,0.0,0.982,-58.72860384594703,1.0
-2.6484525434050585,0.03244614601135254,0.19999999999999996,0.0,0.983,-29.325822610392272,1.0
-1.7020995325846826,0.035273075103759766,0.1,0.0,0.9825,-7.290180905713061,1.0
-6.847142276667488,0.06309080123901367,0.9,0.0,0.978,-377.7445637318276,2.0
-6.345504833552788,0.03275012969970703,0.8,0.0,0.9815,-311.50504589185397,2.0
-5.604389364514391,0.037950992584228516,0.7,0.0,0.9815,-252.06846734077675,2.0
-4.907508969136467,0.03275299072265625,0.6,0.0,0.9835,-199.77123645625196,2.0
-4.455168012244316,0.04719185829162598,0.5,0.0,0.9835,-153.18985580575418,2.0
-4.130032585191029,0.03560495376586914,0.4,0.0,0.985,-110.04401563912877,2.0
-3.729907240215843,0.040907859802246094,0.29999999999999993,0.0,0.986,-70.2927378653268,2.0
-3.2396952116155937,0.04227113723754883,0.19999999999999996,0.0,0.9845,-36.134639143806105,2.0
-2.1600845864445097,0.05645298957824707,0.1,0.0,0.9855,-8.468382658166341,2.0
-6.731576153092147,0.04420590400695801,0.9,0.0,0.968,-332.685924273481,3.0
-5.625082673026854,0.06775784492492676,0.8,0.0,0.973,-271.0075962454927,3.0
-5.02141748338972,0.0505681037902832,0.7,0.0,0.972,-217.24714856664295,3.0
-4.600592560655261,0.04366898536682129,0.6,0.0,0.9785,-169.3585981947703,3.0
-4.09084096121483,0.03651785850524902,0.5,0.0,0.9775,-125.57271783000563,3.0
-3.574533221331248,0.03266096115112305,0.4,0.0,0.9785,-87.40453093369925,3.0
-2.8772581783556967,0.03900718688964844,0.29999999999999993,0.0,0.983,-55.101867749780766,3.0
-2.4413118154762494,0.051896095275878906,0.19999999999999996,0.0,0.9815,-27.527382735066507,3.0
-1.6119356698419727,0.03796696662902832,0.1,0.0,0.9845,-6.635817526129804,3.0
-6.6606337363784816,0.0647280216217041,0.9,0.0,0.98,-343.3376149665451,4.0
-5.9825693888594715,0.05368685722351074,0.8,0.0,0.981,-280.89226748937796,4.0
-5.222687818711209,0.05234813690185547,0.7,0.0,0.9825,-224.77107434733705,4.0
-4.714072636659705,0.04727315902709961,0.6,0.0,0.9825,-175.15025514097056,4.0
-3.950343057341305,0.045168161392211914,0.5,0.0,0.9825,-131.2816764309422,4.0
-3.4983573215584913,0.02701091766357422,0.4,0.0,0.9825,-93.790811789128,4.0
-3.3370027022334776,0.040567874908447266,0.29999999999999993,0.0,0.9815,-59.63737250787874,4.0
-2.5106244732207914,0.04360699653625488,0.19999999999999996,0.0,0.982,-31.43752403454808,4.0
-1.837428530823845,0.028651952743530273,0.1,0.0,0.98,-8.847008506026611,4.0
-7.011425174664305,0.06185507774353027,0.9,0.0,0.9725,-356.7289403183211,5.0
-5.8147129369579975,0.06990599632263184,0.8,0.0,0.9825,-290.22864330505666,5.0
-5.241342498565213,0.06377196311950684,0.7,0.0,0.9835,-234.10524927474796,5.0
-4.884154331802548,0.03387808799743652,0.6,0.0,0.9835,-183.27338806654566,5.0
-4.416450247704352,0.031672000885009766,0.5,0.0,0.9825,-136.5647613590551,5.0
-3.6801450871340577,0.06839990615844727,0.4,0.0,0.9805,-95.84056659964953,5.0
-3.2588626745831872,0.03902006149291992,0.29999999999999993,0.0,0.9815,-61.23723987444695,5.0
-2.567518730464193,0.04786396026611328,0.19999999999999996,0.0,0.9845,-31.290054475571942,5.0
-2.000744418044131,0.03653311729431152,0.1,0.0,0.982,-9.337077079400105,5.0
-7.439421944330684,0.047428131103515625,0.9,0.0,0.9675,-382.98944071007367,6.0
-6.552940432873021,0.06039285659790039,0.8,0.0,0.9765,-313.0032358289001,6.0
-6.156370296067649,0.04827094078063965,0.7,0.0,0.98,-249.8227037333435,6.0
-5.590928718679256,0.04192805290222168,0.6,0.0,0.9825,-190.49212029389045,6.0
-4.482176852738277,0.06985282897949219,0.5,0.0,0.98,-140.4790444250019,6.0
-3.9100535439205717,0.0429081916809082,0.4,0.0,0.9805,-97.93028967216944,6.0
-3.3799555769395138,0.04360604286193848,0.29999999999999993,0.0,0.978,-61.92341427800575,6.0
-2.598428463476485,0.033696889877319336,0.19999999999999996,0.0,0.985,-30.598887678883525,6.0
-1.8921269914504115,0.05228710174560547,0.1,0.0,0.9805,-8.273901899219718,6.0
-7.294453387196764,0.054692983627319336,0.9,0.0,0.968,-347.5550067610226,7.0
-6.0838458386250025,0.03379702568054199,0.8,0.0,0.9795,-280.9867916318943,7.0
-5.232555444609549,0.04850411415100098,0.7,0.0,0.9715,-225.06311399827328,7.0
-4.7926458700956385,0.05146598815917969,0.6,0.0,0.9695,-174.9061693662199,7.0
-4.142689158375483,0.04376697540283203,0.5,0.0,0.977,-131.19765311535386,7.0
-3.4535719338830697,0.034297943115234375,0.4,0.0,0.977,-93.70070816060752,7.0
-3.0955436881209097,0.03181791305541992,0.29999999999999993,0.0,0.9765,-60.150248150197235,7.0
-2.7028965051936726,0.0551149845123291,0.19999999999999996,0.0,0.977,-30.88593650447554,7.0
-1.6349779855068667,0.05887293815612793,0.1,0.0,0.9815,-7.702798133939143,7.0
-6.996135368677291,0.03965020179748535,0.9,0.0,0.9855,-323.9468754861553,8.0
-5.959881250633042,0.04640507698059082,0.8,0.0,0.9865,-260.0264769493384,8.0
