C,comp_time,outlier_ratio,test_accuracy,timeout,trial
625.0,0.03294801712036133,0.0,0.984,False,0.0
125.0,0.0309600830078125,0.0,0.984,False,0.0
25.0,0.06387901306152344,0.0,0.986,False,0.0
5.0,0.03269386291503906,0.0,0.983,False,0.0
1.0,0.028850078582763672,0.0,0.983,False,0.0
0.2,0.032434940338134766,0.0,0.9835,False,0.0
0.04,0.030138015747070312,0.0,0.9825,False,0.0
0.008,0.029811859130859375,0.0,0.983,False,0.0
0.0016,0.030467987060546875,0.0,0.0,False,0.0
625.0,0.033468008041381836,0.0,0.962,False,1.0
125.0,0.03131699562072754,0.0,0.962,False,1.0
25.0,0.030121803283691406,0.0,0.962,False,1.0
5.0,0.031225919723510742,0.0,0.962,False,1.0
1.0,0.029407978057861328,0.0,0.975,False,1.0
0.2,0.033985137939453125,0.0,0.981,False,1.0
0.04,0.03286409378051758,0.0,0.9825,False,1.0
0.008,0.031558990478515625,0.0,0.983,False,1.0
0.0016,0.029687881469726562,0.0,0.9825,False,1.0
625.0,0.02991509437561035,0.0,0.9655,False,2.0
125.0,0.028850078582763672,0.0,0.9655,False,2.0
25.0,0.032135963439941406,0.0,0.9655,False,2.0
5.0,0.029588937759399414,0.0,0.9655,False,2.0
1.0,0.030749082565307617,0.0,0.9655,False,2.0
0.2,0.036943912506103516,0.0,0.9735,False,2.0
0.04,0.0325009822845459,0.0,0.9765,False,2.0
0.008,0.03150296211242676,0.0,0.9825,False,2.0
0.0016,0.029660940170288086,0.0,0.986,False,2.0
625.0,0.03294515609741211,0.0,0.962,False,3.0
125.0,0.03067612648010254,0.0,0.962,False,3.0
25.0,0.02990102767944336,0.0,0.962,False,3.0
5.0,0.030974864959716797,0.0,0.962,False,3.0
1.0,0.030618906021118164,0.0,0.9585,False,3.0
0.2,0.03004288673400879,0.0,0.983,False,3.0
0.04,0.02961111068725586,0.0,0.982,False,3.0
0.008,0.03174400329589844,0.0,0.984,False,3.0
0.0016,0.030498981475830078,0.0,0.9785,False,3.0
625.0,0.03033304214477539,0.0,0.953,False,4.0
125.0,0.02993607521057129,0.0,0.953,False,4.0
25.0,0.03240203857421875,0.0,0.953,False,4.0
5.0,0.03209686279296875,0.0,0.953,False,4.0
1.0,0.030948877334594727,0.0,0.957,False,4.0
0.2,0.03136897087097168,0.0,0.9735,False,4.0
0.04,0.03100299835205078,0.0,0.9785,False,4.0
0.008,0.031209945678710938,0.0,0.981,False,4.0
0.0016,0.03180217742919922,0.0,0.9825,False,4.0
625.0,0.029300928115844727,0.0,0.982,False,5.0
125.0,0.029941082000732422,0.0,0.982,False,5.0
25.0,0.029564857482910156,0.0,0.982,False,5.0
5.0,0.03132319450378418,0.0,0.982,False,5.0
1.0,0.02983689308166504,0.0,0.982,False,5.0
0.2,0.030256032943725586,0.0,0.98,False,5.0
0.04,0.03058481216430664,0.0,0.981,False,5.0
0.008,0.029651880264282227,0.0,0.9825,False,5.0
0.0016,0.03246498107910156,0.0,0.983,False,5.0
625.0,0.029183149337768555,0.0,0.9675,False,6.0
125.0,0.029901981353759766,0.0,0.9675,False,6.0
25.0,0.02980208396911621,0.0,0.9675,False,6.0
5.0,0.0317230224609375,0.0,0.9675,False,6.0
1.0,0.030456066131591797,0.0,0.9695,False,6.0
0.2,0.03238987922668457,0.0,0.975,False,6.0
0.04,0.031527042388916016,0.0,0.9825,False,6.0
0.008,0.03258705139160156,0.0,0.984,False,6.0
0.0016,0.03171396255493164,0.0,0.983,False,6.0
625.0,0.029713153839111328,0.0,0.9675,False,7.0
125.0,0.030320167541503906,0.0,0.9675,False,7.0
25.0,0.02999401092529297,0.0,0.9675,False,7.0
5.0,0.02956700325012207,0.0,0.9675,False,7.0
1.0,0.031148910522460938,0.0,0.974,False,7.0
0.2,0.03117203712463379,0.0,0.977,False,7.0
0.04,0.030339956283569336,0.0,0.981,False,7.0
0.008,0.030591964721679688,0.0,0.9785,False,7.0
0.0016,0.030968904495239258,0.0,0.9765,False,7.0
625.0,0.033773183822631836,0.0,0.973,False,8.0
125.0,0.03241896629333496,0.0,0.973,False,8.0
25.0,0.03277087211608887,0.0,0.977,False,8.0
5.0,0.031347036361694336,0.0,0.977,False,8.0
1.0,0.035047054290771484,0.0,0.9815,False,8.0
0.2,0.03292107582092285,0.0,0.9815,False,8.0
0.04,0.029508113861083984,0.0,0.9825,False,8.0
0.008,0.031080007553100586,0.0,0.9855,False,8.0
0.0016,0.030108213424682617,0.0,0.9835,False,8.0
625.0,0.03079986572265625,0.0,0.9815,False,9.0
125.0,0.029742002487182617,0.0,0.9815,False,9.0
25.0,0.03145098686218262,0.0,0.9815,False,9.0
5.0,0.029908180236816406,0.0,0.9815,False,9.0
1.0,0.029844045639038086,0.0,0.982,False,9.0
0.2,0.029405832290649414,0.0,0.979,False,9.0
0.04,0.029671907424926758,0.0,0.9775,False,9.0
0.008,0.02985215187072754,0.0,0.98,False,9.0
0.0016,0.02918696403503418,0.0,0.9805,False,9.0
625.0,0.02992105484008789,0.0,0.9875,False,10.0
125.0,0.03220677375793457,0.0,0.988,False,10.0
25.0,0.02964496612548828,0.0,0.9875,False,10.0
5.0,0.0294191837310791,0.0,0.988,False,10.0
1.0,0.02950310707092285,0.0,0.9885,False,10.0
0.2,0.028876781463623047,0.0,0.985,False,10.0
0.04,0.03134799003601074,0.0,0.9825,False,10.0
0.008,0.03133201599121094,0.0,0.986,False,10.0
0.0016,0.0306241512298584,0.0,0.983,False,10.0
625.0,0.03037714958190918,0.0,0.977,False,11.0
125.0,0.03135514259338379,0.0,0.977,False,11.0
25.0,0.032800912857055664,0.0,0.977,False,11.0
5.0,0.031017780303955078,0.0,0.977,False,11.0
1.0,0.031336069107055664,0.0,0.979,False,11.0
0.2,0.030920982360839844,0.0,0.976,False,11.0
0.04,0.03224515914916992,0.0,0.9785,False,11.0
0.008,0.03209185600280762,0.0,0.9795,False,11.0
0.0016,0.03011488914489746,0.0,0.981,False,11.0
625.0,0.030217885971069336,0.0,0.982,False,12.0
125.0,0.03060293197631836,0.0,0.982,False,12.0
25.0,0.06856489181518555,0.0,0.982,False,12.0
5.0,0.03619718551635742,0.0,0.982,False,12.0
1.0,0.03001999855041504,0.0,0.982,False,12.0
0.2,0.03220200538635254,0.0,0.982,False,12.0
0.04,0.0313720703125,0.0,0.982,False,12.0
0.008,0.029848098754882812,0.0,0.987,False,12.0
0.0016,0.034191131591796875,0.0,0.989,False,12.0
625.0,0.029069185256958008,0.0,0.963,False,13.0
125.0,0.02942490577697754,0.0,0.963,False,13.0
25.0,0.029942035675048828,0.0,0.963,False,13.0
5.0,0.030311107635498047,0.0,0.963,False,13.0
1.0,0.030221939086914062,0.0,0.975,False,13.0
0.2,0.02993297576904297,0.0,0.9785,False,13.0
0.04,0.0317840576171875,0.0,0.9785,False,13.0
0.008,0.031103849411010742,0.0,0.9765,False,13.0
0.0016,0.03307604789733887,0.0,0.9775,False,13.0
625.0,0.030289888381958008,0.0,0.9715,False,14.0
125.0,0.02990102767944336,0.0,0.9715,False,14.0
25.0,0.03446388244628906,0.0,0.9715,False,14.0
5.0,0.03190803527832031,0.0,0.973,False,14.0
1.0,0.030617952346801758,0.0,0.978,False,14.0
0.2,0.02896404266357422,0.0,0.9785,False,14.0
0.04,0.030308961868286133,0.0,0.9805,False,14.0
0.008,0.031527042388916016,0.0,0.98,False,14.0
0.0016,0.030934810638427734,0.0,0.977,False,14.0
625.0,0.029832124710083008,0.0,0.9525,False,15.0
125.0,0.03106999397277832,0.0,0.9525,False,15.0
25.0,0.02937006950378418,0.0,0.9525,False,15.0
5.0,0.0301511287689209,0.0,0.9525,False,15.0
