ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0.0,625.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,14.0902581215,False
0.0,0.0,125.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.9362261295,False
0.0,0.0,25.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.8848588467,False
0.0,0.0,5.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.7155470848,False
0.0,0.0,1.0,-1.0,0.985676392573,0.965340179718,0.983041865395,0.951951951952,14.3042588234,False
0.0,0.0,0.2,-1.0,0.983554376658,0.960102960103,0.987811340753,0.965204236006,14.375426054,False
0.0,0.0,0.04,-1.0,0.986737400531,0.96757457847,0.990461049285,0.973053892216,14.6836211681,False
0.0,0.0,0.008,-1.0,0.985676392573,0.964980544747,0.989401165872,0.969879518072,14.2652089596,False
0.0,0.0,0.0016,-1.0,0.983023872679,0.957894736842,0.987811340753,0.965098634294,14.3247849941,False
0.0,1.0,625.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,14.2716450691,False
0.0,1.0,125.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,14.4511618614,False
0.0,1.0,25.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,15.0077180862,False
0.0,1.0,5.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,14.6781790257,False
0.0,1.0,1.0,-1.0,0.986737400531,0.962742175857,0.982511923688,0.954230235784,14.0857799053,False
0.0,1.0,0.2,-1.0,0.989389920424,0.969879518072,0.98675145734,0.965132496513,14.0766100883,False
0.0,1.0,0.04,-1.0,0.992042440318,0.977375565611,0.989931107578,0.973352033661,13.9199419022,False
0.0,1.0,0.008,-1.0,0.990981432361,0.974281391831,0.988341282459,0.969273743017,14.2303361893,False
0.0,1.0,0.0016,-1.0,0.989389920424,0.969512195122,0.988341282459,0.96875,14.3631038666,False
0.0,2.0,625.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,13.9298729897,False
0.0,2.0,125.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,14.4301660061,False
0.0,2.0,25.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,14.6951420307,False
0.0,2.0,5.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,14.2265329361,False
0.0,2.0,1.0,-1.0,0.989920424403,0.974219810041,0.981981981982,0.951428571429,14.5028641224,False
0.0,2.0,0.2,-1.0,0.988859416446,0.971506105834,0.988871224165,0.969696969697,13.884221077,False
0.0,2.0,0.04,-1.0,0.990450928382,0.975543478261,0.989931107578,0.972423802612,15.0600290298,False
0.0,2.0,0.008,-1.0,0.99151193634,0.978201634877,0.990461049285,0.973684210526,13.976129055,False
0.0,2.0,0.0016,-1.0,0.985145888594,0.961218836565,0.987281399046,0.964391691395,13.9435369968,False
0.03,0.0,625.0,-1.0,0.975596816976,0.942928039702,0.983041865395,0.955922865014,13.8308331966,False
0.03,0.0,125.0,-1.0,0.975596816976,0.942928039702,0.983041865395,0.955922865014,15.4987399578,False
0.03,0.0,25.0,-1.0,0.975596816976,0.942928039702,0.983041865395,0.955922865014,14.6511838436,False
0.03,0.0,5.0,-1.0,0.975596816976,0.942928039702,0.983041865395,0.955922865014,13.9900689125,False
0.03,0.0,1.0,-1.0,0.977718832891,0.94801980198,0.983571807101,0.957123098202,14.0495760441,False
0.03,0.0,0.2,-1.0,0.980371352785,0.9541511772,0.984631690514,0.959778085992,14.2735190392,False
0.03,0.0,0.04,-1.0,0.980901856764,0.955,0.98675145734,0.964936886396,15.3923540115,False
0.03,0.0,0.008,-1.0,0.979840848806,0.951898734177,0.983571807101,0.955903271693,14.9389951229,False
0.03,0.0,0.0016,-1.0,0.971883289125,0.931964056483,0.978802331744,0.942196531792,14.3577039242,False
0.03,1.0,625.0,-1.0,0.984084880637,0.962025316456,0.97933227345,0.947368421053,14.1098799706,False
0.03,1.0,125.0,-1.0,0.984084880637,0.962025316456,0.97933227345,0.947368421053,13.9568240643,False
0.03,1.0,25.0,-1.0,0.984084880637,0.962025316456,0.97933227345,0.947368421053,13.9366378784,False
0.03,1.0,5.0,-1.0,0.984084880637,0.962025316456,0.97933227345,0.947368421053,13.9710848331,False
0.03,1.0,1.0,-1.0,0.986206896552,0.967005076142,0.98516163222,0.961538461538,15.1121120453,False
0.03,1.0,0.2,-1.0,0.985676392573,0.965865992415,0.985691573927,0.962962962963,14.171505928,False
0.03,1.0,0.04,-1.0,0.986737400531,0.968314321926,0.987281399046,0.967213114754,14.8659558296,False
0.03,1.0,0.008,-1.0,0.986206896552,0.966751918159,0.987281399046,0.967123287671,14.5197370052,False
0.03,1.0,0.0016,-1.0,0.980371352785,0.951760104302,0.985691573927,0.962447844228,13.8104259968,False
0.03,2.0,625.0,-1.0,0.980901856764,0.953488372093,0.981452040276,0.954248366013,14.6041550636,False
0.03,2.0,125.0,-1.0,0.980901856764,0.953488372093,0.981452040276,0.954248366013,14.0392401218,False
0.03,2.0,25.0,-1.0,0.980901856764,0.953488372093,0.981452040276,0.954248366013,13.8973200321,False
0.03,2.0,5.0,-1.0,0.980901856764,0.953488372093,0.981452040276,0.954248366013,14.3675618172,False
0.03,2.0,1.0,-1.0,0.985676392573,0.964980544747,0.981981981982,0.955497382199,14.0666658878,False
0.03,2.0,0.2,-1.0,0.987798408488,0.969776609724,0.981452040276,0.954248366013,14.464851141,False
0.03,2.0,0.04,-1.0,0.986206896552,0.965968586387,0.980392156863,0.951507208388,14.5539631844,False
0.03,2.0,0.008,-1.0,0.987798408488,0.969855832241,0.981452040276,0.954007884363,14.4110240936,False
0.03,2.0,0.0016,-1.0,0.984615384615,0.96138482024,0.979862215156,0.949333333333,14.5162410736,False
0.05,0.0,625.0,-1.0,0.970822281167,0.934289127838,0.962904080551,0.904371584699,14.1864919662,False
0.05,0.0,125.0,-1.0,0.970822281167,0.934289127838,0.963434022258,0.905866302865,14.3885810375,False
0.05,0.0,25.0,-1.0,0.985145888594,0.966101694915,0.977212506624,0.941176470588,14.3850069046,False
0.05,0.0,5.0,-1.0,0.985145888594,0.966101694915,0.977212506624,0.941176470588,14.1753759384,False
0.05,0.0,1.0,-1.0,0.987267904509,0.970944309927,0.980392156863,0.949245541838,14.8112549782,False
0.05,0.0,0.2,-1.0,0.987267904509,0.970873786408,0.981981981982,0.953168044077,14.8891530037,False
0.05,0.0,0.04,-1.0,0.988859416446,0.974483596598,0.979862215156,0.947368421053,15.4357430935,False
0.05,0.0,0.008,-1.0,0.987267904509,0.97037037037,0.976682564918,0.939058171745,14.6543579102,False
0.05,0.0,0.0016,-1.0,0.984084880637,0.962779156328,0.974562798092,0.933147632312,14.3751690388,False
0.05,1.0,625.0,-1.0,0.9824933687,0.961403508772,0.983041865395,0.953352769679,13.9838588238,False
0.05,1.0,125.0,-1.0,0.9824933687,0.961403508772,0.983041865395,0.953352769679,14.5409359932,False
0.05,1.0,25.0,-1.0,0.9824933687,0.961403508772,0.983041865395,0.953352769679,14.4798541069,False
0.05,1.0,5.0,-1.0,0.9824933687,0.961403508772,0.983041865395,0.953352769679,13.9984641075,False
0.05,1.0,1.0,-1.0,0.980901856764,0.957943925234,0.983571807101,0.954876273654,13.8522591591,False
0.05,1.0,0.2,-1.0,0.985676392573,0.968197879859,0.979862215156,0.944117647059,14.9097380638,False
0.05,1.0,0.04,-1.0,0.981432360743,0.958579881657,0.982511923688,0.950965824666,14.751294136,False
0.05,1.0,0.008,-1.0,0.981432360743,0.958481613286,0.979862215156,0.94395280236,13.8996520042,False
0.05,1.0,0.0016,-1.0,0.97824933687,0.951015531661,0.975622681505,0.931137724551,13.7130351067,False
0.05,2.0,625.0,-1.0,0.981962864721,0.96288209607,0.980922098569,0.95,14.1843979359,False
0.05,2.0,125.0,-1.0,0.981962864721,0.96288209607,0.980922098569,0.95,13.8586280346,False
0.05,2.0,25.0,-1.0,0.981962864721,0.96288209607,0.980922098569,0.95,13.8486130238,False
