ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex,comp_time
0.0,0.0,0.3,0.944827586207,0.845697329377,0.959194488606,0.871021775544,True,6.76642489433
0.0,0.0,0.27,0.958620689655,0.888571428571,0.969263381028,0.905537459283,True,6.06034493446
0.0,0.0,0.24,0.967108753316,0.913888888889,0.975622681505,0.926517571885,True,6.27909803391
0.0,0.0,0.21,0.976127320955,0.93894165536,0.977212506624,0.932069510269,True,6.19283986092
0.0,0.0,0.18,0.977188328912,0.941970310391,0.980392156863,0.942457231726,True,6.05291700363
0.0,0.0,0.15,0.981432360743,0.953395472703,0.984101748808,0.953703703704,True,6.07332110405
0.0,0.0,0.12,0.983554376658,0.959048877147,0.98516163222,0.957055214724,True,6.06180095673
0.0,0.0,0.09,0.983023872679,0.957894736842,0.989401165872,0.969696969697,True,6.48252415657
0.0,0.0,0.06,0.986737400531,0.96740547588,0.989931107578,0.971342383107,True,6.02374482155
0.0,1.0,0.3,0.960212201592,0.873524451939,0.961844197138,0.889230769231,True,6.36285400391
0.0,1.0,0.27,0.968700265252,0.902479338843,0.968203497615,0.909638554217,True,6.24282503128
0.0,1.0,0.24,0.975066312997,0.924071082391,0.97191308956,0.921013412817,True,6.25329113007
0.0,1.0,0.21,0.981432360743,0.944707740916,0.977742448331,0.938416422287,True,6.22918605804
0.0,1.0,0.18,0.985676392573,0.958268933539,0.983041865395,0.953890489914,True,7.61865496635
0.0,1.0,0.15,0.987267904509,0.962962962963,0.985691573927,0.961593172119,True,6.1585791111
0.0,1.0,0.12,0.989920424403,0.970903522205,0.987811340753,0.967375886525,True,6.40901494026
0.0,1.0,0.09,0.990981432361,0.974124809741,0.987811340753,0.967375886525,True,6.18816399574
0.0,1.0,0.06,0.992572944297,0.978723404255,0.989401165872,0.97191011236,True,6.31923890114
0.0,2.0,0.3,0.950132625995,0.854938271605,0.954425013249,0.859016393443,True,6.33256697655
0.0,2.0,0.27,0.960212201592,0.887556221889,0.961844197138,0.884615384615,True,7.33340191841
0.0,2.0,0.24,0.968169761273,0.912023460411,0.970323264441,0.912225705329,True,6.64083695412
0.0,2.0,0.21,0.970291777188,0.918367346939,0.977212506624,0.933947772657,True,6.25696706772
0.0,2.0,0.18,0.977718832891,0.940170940171,0.981981981982,0.948484848485,True,5.89158320427
0.0,2.0,0.15,0.983023872679,0.955182072829,0.984631690514,0.95652173913,True,7.27144002914
0.0,2.0,0.12,0.986206896552,0.963988919668,0.987811340753,0.965824665676,True,9.34686899185
0.0,2.0,0.09,0.988859416446,0.971114167813,0.989401165872,0.970501474926,True,6.22622919083
