ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0.0,625.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.3480138779,False
0.0,0.0,125.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.4804980755,False
0.0,0.0,25.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.206692934,False
0.0,0.0,5.0,-1.0,0.984615384615,0.962676962677,0.983041865395,0.951951951952,13.2615811825,False
0.0,0.0,1.0,-1.0,0.985676392573,0.965340179718,0.983041865395,0.951951951952,13.2170410156,False
0.0,0.0,0.2,-1.0,0.983554376658,0.960102960103,0.987811340753,0.965204236006,13.6991078854,False
0.0,0.0,0.04,-1.0,0.986737400531,0.96757457847,0.990461049285,0.973053892216,13.3345141411,False
0.0,0.0,0.008,-1.0,0.985676392573,0.964980544747,0.989401165872,0.969879518072,13.5488009453,False
0.0,0.0,0.0016,-1.0,0.983023872679,0.957894736842,0.987811340753,0.965098634294,13.5362648964,False
0.0,1.0,625.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,13.4922940731,False
0.0,1.0,125.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,13.4897699356,False
0.0,1.0,25.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,13.2881748676,False
0.0,1.0,5.0,-1.0,0.987267904509,0.964071856287,0.984101748808,0.958791208791,13.3586421013,False
0.0,1.0,1.0,-1.0,0.986737400531,0.962742175857,0.982511923688,0.954230235784,13.7537069321,False
0.0,1.0,0.2,-1.0,0.989389920424,0.969879518072,0.98675145734,0.965132496513,13.5324370861,False
0.0,1.0,0.04,-1.0,0.992042440318,0.977375565611,0.989931107578,0.973352033661,13.3204169273,False
0.0,1.0,0.008,-1.0,0.990981432361,0.974281391831,0.988341282459,0.969273743017,13.5614910126,False
0.0,1.0,0.0016,-1.0,0.989389920424,0.969512195122,0.988341282459,0.96875,13.4134159088,False
0.0,2.0,625.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,13.6571650505,False
0.0,2.0,125.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,13.5928359032,False
0.0,2.0,25.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,13.3376631737,False
0.0,2.0,5.0,-1.0,0.988859416446,0.971659919028,0.981452040276,0.950071326676,13.636849165,False
0.0,2.0,1.0,-1.0,0.989920424403,0.974219810041,0.981981981982,0.951428571429,13.4915449619,False
0.0,2.0,0.2,-1.0,0.988859416446,0.971506105834,0.988871224165,0.969696969697,13.6685240269,False
0.0,2.0,0.04,-1.0,0.990450928382,0.975543478261,0.989931107578,0.972423802612,13.5018100739,False
0.0,2.0,0.008,-1.0,0.99151193634,0.978201634877,0.990461049285,0.973684210526,13.441437006,False
0.0,2.0,0.0016,-1.0,0.985145888594,0.961218836565,0.987281399046,0.964391691395,13.7025260925,False
0.03,0.0,625.0,-1.0,0.960212201592,0.896265560166,0.973502914679,0.930362116992,13.7266690731,False
