ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0,625.0,-1.0,0.0,0.0,0.0,0.0,0.06555604934692383,False
0.0,0,125.0,-1.0,0.0,0.0,0.0,0.0,0.055435895919799805,False
0.0,0,25.0,-1.0,0.0,0.0,0.0,0.0,0.057192087173461914,False
0.0,0,5.0,-1.0,0.9689742098119062,0.024390243902439022,0.9700779482021624,0.027247956403269755,0.0577390193939209,False
0.0,0,1.0,-1.0,0.9689742098119062,0.024390243902439022,0.9700779482021624,0.027247956403269755,0.056910037994384766,False
0.0,0,0.2,-1.0,0.9689742098119062,0.024390243902439022,0.9700779482021624,0.027247956403269755,0.056913137435913086,False
0.0,0,0.04,-1.0,0.9689742098119062,0.024390243902439022,0.9700779482021624,0.027247956403269755,0.055407047271728516,False
0.0,0,0.008,-1.0,0.9689742098119062,0.024390243902439022,0.9700779482021624,0.027247956403269755,0.05525779724121094,False
0.0,0,0.0016,-1.0,0.9689742098119062,0.024390243902439022,0.9700779482021624,0.027247956403269755,0.05949211120605469,False
0.03,0,625.0,-1.0,0.9278650378126818,0.10144927536231883,0.9483697929762803,0.11747851002865331,0.05684685707092285,False
0.03,0,125.0,-1.0,0.9280589490013573,0.1016949152542373,0.9483697929762803,0.11747851002865331,0.05685901641845703,False
0.03,0,25.0,-1.0,0.9280589490013573,0.1016949152542373,0.9483697929762803,0.11747851002865331,0.05923199653625488,False
0.03,0,5.0,-1.0,0.9280589490013573,0.1016949152542373,0.9483697929762803,0.11747851002865331,0.056581974029541016,False
0.03,0,1.0,-1.0,0.9280589490013573,0.1016949152542373,0.9483697929762803,0.11747851002865331,0.0569460391998291,False
0.03,0,0.2,-1.0,0.9280589490013573,0.1016949152542373,0.9483697929762803,0.11747851002865331,0.08957815170288086,False
0.03,0,0.04,-1.0,0.9348458406050029,0.07692307692307693,0.9567513200905204,0.08833922261484099,0.06122899055480957,False
0.03,0,0.008,-1.0,0.9437657552840799,0.07643312101910829,0.9667253373564664,0.09567198177676538,0.060109853744506836,False
0.03,0,0.0016,-1.0,0.9455109559821602,0.04745762711864407,0.9694074260330232,0.08521303258145364,0.06005287170410156,False
0.05,0,625.0,-1.0,0.8221834399844871,0.12080536912751677,0.860363758276758,0.06927374301675977,0.05723714828491211,False
0.05,0,125.0,-1.0,0.8221834399844871,0.12080536912751677,0.8602799430056156,0.06923506420993858,0.05689191818237305,False
0.05,0,25.0,-1.0,0.8219895287958116,0.12068965517241381,0.8601961277344732,0.06919642857142858,0.05939483642578125,False
0.05,0,5.0,-1.0,0.8219895287958116,0.12068965517241381,0.8601123124633309,0.06915783602900168,0.057006120681762695,False
0.05,0,1.0,-1.0,0.8219895287958116,0.12068965517241381,0.8601123124633309,0.06915783602900168,0.05687904357910156,False
0.05,0,0.2,-1.0,0.8704673259647082,0.1256544502617801,0.915178945603889,0.10283687943262412,0.059628963470458984,False
0.05,0,0.04,-1.0,0.910413030831879,0.12830188679245283,0.9576732880730869,0.15692821368948248,0.05744004249572754,False
0.05,0,0.008,-1.0,0.9154547217374442,0.12449799196787148,0.963121280697343,0.17602996254681647,0.05823707580566406,False
0.05,0,0.0016,-1.0,0.9204964126430095,0.0375586854460094,0.9705808398290169,0.09768637532133675,0.057229042053222656,False
0.1,0,625.0,-1.0,0.7572231917781655,0.11581920903954801,0.8404157237448663,0.042253521126760556,0.05881977081298828,False
0.1,0,125.0,-1.0,0.7572231917781655,0.11581920903954801,0.8404157237448663,0.042253521126760556,0.05958390235900879,False
0.1,0,25.0,-1.0,0.7572231917781655,0.11581920903954801,0.8404157237448663,0.042253521126760556,0.05686616897583008,False
0.1,0,5.0,-1.0,0.7572231917781655,0.11581920903954801,0.8404157237448663,0.042253521126760556,0.057288169860839844,False
0.1,0,1.0,-1.0,0.7572231917781655,0.11581920903954801,0.8404157237448663,0.042253521126760556,0.0569608211517334,False
0.1,0,0.2,-1.0,0.8088035679658716,0.09706959706959707,0.8943089430894309,0.06937269372693727,0.057550907135009766,False
0.1,0,0.04,-1.0,0.8394415357766143,0.0779510022271715,0.9281703126309614,0.10636079249217935,0.06255602836608887,False
0.1,0,0.008,-1.0,0.8726003490401396,0.03240058910162003,0.9700779482021624,0.1185185185185185,0.06021618843078613,False
0.1,0,0.0016,-1.0,0.873375993794842,0.01804511278195489,0.9715028078115833,0.0909090909090909,0.05703902244567871,False
0.2,0,625.0,-1.0,0.6649214659685864,0.21525885558583108,0.7774704551169223,0.06349206349206349,0.06060910224914551,False
0.2,0,125.0,-1.0,0.665115377157262,0.21535665606542478,0.7773028245746375,0.06344730348960169,0.05961203575134277,False
0.2,0,25.0,-1.0,0.6655031995346131,0.21555252387448842,0.7773866398457799,0.06346967559943582,0.05776619911193848,False
0.2,0,5.0,-1.0,0.6655031995346131,0.21555252387448842,0.7773866398457799,0.06346967559943582,0.057600975036621094,False
0.2,0,1.0,-1.0,0.6655031995346131,0.21555252387448842,0.7773866398457799,0.06346967559943582,0.05755305290222168,False
0.2,0,0.2,-1.0,0.703121970137677,0.17996786288162828,0.8357220685608918,0.041095890410958895,0.06404995918273926,False
0.2,0,0.04,-1.0,0.7275547799108009,0.1427699816961562,0.8731874947615456,0.04902576995600252,0.05803990364074707,False
0.2,0,0.008,-1.0,0.7707969749854566,0.04523424878836834,0.9491241304165619,0.08446455505279034,0.06733393669128418,False
0.2,0,0.0016,-1.0,0.7830133798720186,0.0,0.9680663816947448,0.03053435114503817,0.061192989349365234,False
