C,comp_time,outlier_ratio,test_accuracy,trial
625.0,0.00276017189026,0.0,0.984,0.0
125.0,0.00258803367615,0.0,0.984,0.0
25.0,0.000663995742798,0.0,0.986,0.0
5.0,0.000622987747192,0.0,0.983,0.0
1.0,0.000530004501343,0.0,0.983,0.0
0.2,0.000432968139648,0.0,0.9835,0.0
0.04,0.000477075576782,0.0,0.9825,0.0
0.008,0.00043511390686,0.0,0.983,0.0
0.0016,0.000473976135254,0.0,0.983,0.0
625.0,1.51459002495,0.02,0.978,0.0
125.0,0.867094039917,0.02,0.9775,0.0
25.0,0.0683410167694,0.02,0.9775,0.0
5.0,0.0175490379333,0.02,0.9775,0.0
1.0,0.00433206558228,0.02,0.9775,0.0
0.2,0.00144100189209,0.02,0.9775,0.0
0.04,0.00113010406494,0.02,0.9775,0.0
0.008,0.000591993331909,0.02,0.978,0.0
0.0016,0.000556945800781,0.02,0.9815,0.0
625.0,1.33108878136,0.04,0.8805,0.0
125.0,0.405767917633,0.04,0.883,0.0
25.0,0.0702588558197,0.04,0.8805,0.0
5.0,0.0148341655731,0.04,0.88,0.0
1.0,0.0038161277771,0.04,0.88,0.0
0.2,0.00169205665588,0.04,0.88,0.0
0.04,0.000964164733887,0.04,0.885,0.0
0.008,0.000640153884888,0.04,0.893,0.0
0.0016,0.000576972961426,0.04,0.8575,0.0
625.0,1.18858098984,0.06,0.8415,0.0
125.0,0.278256893158,0.06,0.8405,0.0
25.0,0.0581350326538,0.06,0.8425,0.0
5.0,0.0127079486847,0.06,0.842,0.0
1.0,0.00325608253479,0.06,0.842,0.0
0.2,0.00162196159363,0.06,0.842,0.0
0.04,0.000831842422485,0.06,0.842,0.0
0.008,0.000649929046631,0.06,0.8115,0.0
0.0016,0.000586032867432,0.06,0.775,0.0
625.0,3.54393696785,0.08,0.8145,0.0
125.0,0.963470935822,0.08,0.82,0.0
25.0,0.134931087494,0.08,0.8205,0.0
5.0,0.0349349975586,0.08,0.8205,0.0
1.0,0.00781989097595,0.08,0.8205,0.0
0.2,0.00226998329163,0.08,0.8205,0.0
0.04,0.00100994110107,0.08,0.8205,0.0
0.008,0.000726938247681,0.08,0.821,0.0
0.0016,0.000618934631348,0.08,0.8175,0.0
625.0,8.40874791145,0.1,0.5,0.0
125.0,0.827485084534,0.1,0.5,0.0
25.0,0.194328069687,0.1,0.5,0.0
5.0,0.0438680648804,0.1,0.5,0.0
1.0,0.0099139213562,0.1,0.5,0.0
0.2,0.0027129650116,0.1,0.5,0.0
0.04,0.00123906135559,0.1,0.5,0.0
0.008,0.000731945037842,0.1,0.5,0.0
0.0016,0.000607013702393,0.1,0.5,0.0
