VaR,comp_time,nu,outlier_ratio,test_accuracy,tr-CVaR,trial
-7.06952594875,0.0944399833679,0.9,0.0,0.9785,-361.659117702,0.0
-6.20372865116,0.0624628067017,0.8,0.0,0.9785,-295.135207215,0.0
-5.51425095259,0.0577540397644,0.7,0.0,0.981,-235.621582878,0.0
-4.89358490099,0.0796949863434,0.6,0.0,0.9835,-183.975537681,0.0
-4.26237360935,0.0587708950043,0.5,0.0,0.981,-136.649329671,0.0
-3.90566930077,0.0730991363525,0.4,0.0,0.9805,-96.0771008379,0.0
-3.41435699254,0.0793559551239,0.3,0.0,0.9815,-59.6987586951,0.0
-2.77370625299,0.0743880271912,0.2,0.0,0.98,-30.0201333624,0.0
-1.92713312053,0.0792009830475,0.1,0.0,0.9755,-6.51659942058,0.0
-6.53914988548,0.0533299446106,0.9,0.02,0.9715,-331.113786093,0.0
-6.05574336959,0.0512089729309,0.8,0.02,0.9755,-268.990890327,0.0
-4.86631777674,0.0645911693573,0.7,0.02,0.9815,-215.006762896,0.0
-4.461691995,0.0616641044617,0.6,0.02,0.9815,-168.487082143,0.0
-4.01844772589,0.0685949325562,0.5,0.02,0.9835,-125.968974821,0.0
-3.54707896529,0.0930528640747,0.4,0.02,0.9825,-87.6832355163,0.0
-3.17415241227,0.116278886795,0.3,0.02,0.9845,-54.277929498,0.0
3.84535731284,0.0797960758209,0.2,0.02,0.4935,84.2776895801,0.0
7.26598432806,0.0335111618042,0.1,0.02,0.346,39.4968787562,0.0
-6.84633797065,0.0689978599548,0.9,0.04,0.9685,-359.136618956,0.0
-6.38606382116,0.0838630199432,0.8,0.04,0.9645,-292.267151886,0.0
-5.78252629738,0.0755031108856,0.7,0.04,0.9635,-232.079171554,0.0
-5.34322010954,0.0991520881653,0.6,0.04,0.968,-176.286434576,0.0
-4.32178961471,0.118824958801,0.5,0.04,0.9775,-127.639437207,0.0
4.50312073828,0.142951965332,0.4,0.04,0.05,208.207167937,0.0
5.27976772764,0.131595849991,0.3,0.04,0.0375,159.80762794,0.0
6.36430951501,0.114040136337,0.2,0.04,0.022,101.934080631,0.0
6.94826229709,0.0738589763641,0.1,0.04,0.0215,35.0433829196,0.0
-6.85554642444,0.0701200962067,0.9,0.06,0.9705,-287.654817379,0.0
-5.53857835171,0.0777931213379,0.8,0.06,0.981,-224.348410727,0.0
-4.84490142627,0.0975561141968,0.7,0.06,0.9865,-172.844104952,0.0
-4.29063619932,0.106580972672,0.6,0.06,0.983,-127.507331984,0.0
1.83037941127,0.0426621437073,0.5,0.06,0.3175,249.174285472,0.0
3.43482779942,0.045135974884,0.4,0.06,0.3255,221.697285216,0.0
4.37735310346,0.0678179264069,0.3,0.06,0.33,182.756363794,0.0
5.3185504088,0.102439880371,0.2,0.06,0.0205,91.6950741249,0.0
9.0731105746,0.0497848987579,0.1,0.06,0.3485,46.9307483049,0.0
-7.6102740155,0.0483639240265,0.9,0.08,0.943,-283.219878872,0.0
-6.18912594593,0.0488910675049,0.8,0.08,0.95,-216.874717907,0.0
-5.48601746693,0.0446720123291,0.7,0.08,0.954,-158.242443047,0.0
-4.63995911914,0.0495669841766,0.6,0.08,0.9515,-107.05247499,0.0
-4.18835700324,0.0423951148987,0.5,0.08,0.953,-62.9747030771,0.0
-3.61839902684,0.0396590232849,0.4,0.08,0.9545,-23.0513071738,0.0
-2.4962076745,0.0838229656219,0.3,0.08,0.9495,8.15589969605,0.0
-0.0901583653428,0.0353760719299,0.2,0.08,0.8375,22.6359157976,0.0
1.98835406697,0.02903008461,0.1,0.08,0.834,13.4938279908,0.0
-6.96472756011,0.13522195816,0.9,0.1,0.965,-188.711783789,0.0
-6.16223552858,0.0957231521606,0.8,0.1,0.9825,-137.706058238,0.0
-5.3483647595,0.136350870132,0.7,0.1,0.9805,-80.439071025,0.0
2.0694874669,0.0541920661926,0.6,0.1,0.204,273.865363879,0.0
3.12911498236,0.0573151111603,0.5,0.1,0.2095,247.52110736,0.0
3.846684248,0.108923912048,0.4,0.1,0.214,212.259106376,0.0
5.37584997331,0.130146026611,0.3,0.1,0.0245,153.171386047,0.0
5.88953181015,0.118366003036,0.2,0.1,0.0265,96.9507393817,0.0
7.21345462674,0.0487961769104,0.1,0.1,0.1335,38.262490823,0.0
