comp_time,is_convex,nu,outlier_ratio,test_accuracy,trial
0.0230550765991,1.0,0.9,0.0,0.983,0.0
0.0252070426941,1.0,0.8,0.0,0.9835,0.0
0.025141954422,1.0,0.7,0.0,0.983,0.0
0.0239169597626,1.0,0.6,0.0,0.9835,0.0
0.025181055069,1.0,0.5,0.0,0.9835,0.0
0.0262491703033,1.0,0.4,0.0,0.9825,0.0
0.0235998630524,1.0,0.3,0.0,0.9845,0.0
0.0242280960083,1.0,0.2,0.0,0.9835,0.0
0.0236659049988,1.0,0.1,0.0,0.9825,0.0
0.0275609493256,1.0,0.9,0.02,0.9815,0.0
0.0248241424561,1.0,0.8,0.02,0.9825,0.0
0.0264880657196,1.0,0.7,0.02,0.981,0.0
0.0229041576385,1.0,0.6,0.02,0.9825,0.0
0.0257298946381,1.0,0.5,0.02,0.98,0.0
0.0257079601288,1.0,0.4,0.02,0.979,0.0
0.0392408370972,0.0,0.3,0.02,0.0205,0.0
0.0367767810822,0.0,0.2,0.02,0.0235,0.0
0.0377540588379,0.0,0.1,0.02,0.018,0.0
0.0270528793335,1.0,0.9,0.04,0.8505,0.0
0.0273699760437,1.0,0.8,0.04,0.8895,0.0
0.0425109863281,0.0,0.7,0.04,0.88,0.0
0.037379026413,0.0,0.6,0.04,0.867,0.0
0.0391509532928,0.0,0.5,0.04,0.035,0.0
0.0377559661865,0.0,0.4,0.04,0.025,0.0
0.0389051437378,0.0,0.3,0.04,0.028,0.0
0.0395648479462,0.0,0.2,0.04,0.0275,0.0
0.0368220806122,0.0,0.1,0.04,0.0245,0.0
0.0288219451904,1.0,0.9,0.06,0.8175,0.0
0.0378360748291,0.0,0.8,0.06,0.3,0.0
0.0376150608063,0.0,0.7,0.06,0.0585,0.0
0.0367829799652,0.0,0.6,0.06,0.018,0.0
0.03848695755,0.0,0.5,0.06,0.018,0.0
0.0367701053619,0.0,0.4,0.06,0.019,0.0
0.0372819900513,0.0,0.3,0.06,0.0175,0.0
0.0384252071381,0.0,0.2,0.06,0.0145,0.0
0.0372049808502,0.0,0.1,0.06,0.018,0.0
0.0250329971313,1.0,0.9,0.08,0.8175,0.0
0.0370371341705,0.0,0.8,0.08,0.842,0.0
0.0379920005798,0.0,0.7,0.08,0.848,0.0
0.0359129905701,0.0,0.6,0.08,0.854,0.0
0.0349628925323,0.0,0.5,0.08,0.8585,0.0
0.0360300540924,0.0,0.4,0.08,0.867,0.0
0.0347549915314,0.0,0.3,0.08,0.84,0.0
0.0368409156799,0.0,0.2,0.08,0.8355,0.0
0.0392398834229,0.0,0.1,0.08,0.0245,0.0
0.0374310016632,0.0,0.9,0.1,0.5,0.0
0.0394730567932,0.0,0.8,0.1,0.0835,0.0
0.0424239635468,0.0,0.7,0.1,0.046,0.0
0.0352699756622,0.0,0.6,0.1,0.0415,0.0
0.0389759540558,0.0,0.5,0.1,0.026,0.0
0.038144826889,0.0,0.4,0.1,0.027,0.0
0.0383369922638,0.0,0.3,0.1,0.02,0.0
0.03986120224,0.0,0.2,0.1,0.023,0.0
0.0368230342865,0.0,0.1,0.1,0.017,0.0
