C,comp_time,outlier_ratio,test_accuracy,timeout,trial
625.0,0.0415120124817,0.0,0.984,0.0,0.0
125.0,0.036838054657,0.0,0.984,0.0,0.0
25.0,0.0360381603241,0.0,0.986,0.0,0.0
5.0,0.0367169380188,0.0,0.983,0.0,0.0
1.0,0.0371928215027,0.0,0.983,0.0,0.0
0.2,0.0338380336761,0.0,0.9835,0.0,0.0
0.04,0.0359809398651,0.0,0.9825,0.0,0.0
0.008,0.0361030101776,0.0,0.983,0.0,0.0
0.0016,0.0420060157776,0.0,0.0,0.0,0.0
625.0,0.0378329753876,0.02,0.98,0.0,0.0
125.0,0.0386800765991,0.02,0.98,0.0,0.0
25.0,0.0358638763428,0.02,0.98,0.0,0.0
5.0,0.0399100780487,0.02,0.979,0.0,0.0
1.0,0.0376749038696,0.02,0.978,0.0,0.0
0.2,0.0380380153656,0.02,0.9795,0.0,0.0
0.04,0.0399448871613,0.02,0.98,0.0,0.0
0.008,0.0357990264893,0.02,0.9805,0.0,0.0
0.0016,0.0365068912506,0.02,0.0,0.0,0.0
625.0,0.0398280620575,0.04,0.956,0.0,0.0
125.0,0.040745973587,0.04,0.956,0.0,0.0
25.0,0.0417351722717,0.04,0.956,0.0,0.0
5.0,0.0408208370209,0.04,0.9575,0.0,0.0
1.0,0.0463740825653,0.04,0.9695,0.0,0.0
0.2,0.0367820262909,0.04,0.977,0.0,0.0
0.04,0.0392589569092,0.04,0.9785,0.0,0.0
0.008,0.03830909729,0.04,0.979,0.0,0.0
0.0016,0.0423498153687,0.04,0.981,0.0,0.0
625.0,0.0423719882965,0.06,0.9435,0.0,0.0
125.0,0.0401561260223,0.06,0.9435,0.0,0.0
25.0,0.0406739711761,0.06,0.944,0.0,0.0
5.0,0.0410490036011,0.06,0.944,0.0,0.0
1.0,0.0428891181946,0.06,0.9415,0.0,0.0
0.2,0.0402600765228,0.06,0.9415,0.0,0.0
0.04,0.0433900356293,0.06,0.987,0.0,0.0
0.008,0.0417730808258,0.06,0.982,0.0,0.0
0.0016,0.0397319793701,0.06,0.9815,0.0,0.0
625.0,0.0435781478882,0.08,0.965,0.0,0.0
125.0,0.0438759326935,0.08,0.965,0.0,0.0
25.0,0.0426049232483,0.08,0.965,0.0,0.0
5.0,0.0443980693817,0.08,0.9645,0.0,0.0
1.0,0.042857170105,0.08,0.967,0.0,0.0
0.2,0.0437059402466,0.08,0.9625,0.0,0.0
0.04,0.0406050682068,0.08,0.9595,0.0,0.0
0.008,0.0424711704254,0.08,0.9815,0.0,0.0
0.0016,0.0414340496063,0.08,0.981,0.0,0.0
625.0,0.0382659435272,0.1,0.5,0.0,0.0
125.0,0.0411479473114,0.1,0.5,0.0,0.0
25.0,0.037791967392,0.1,0.5,0.0,0.0
5.0,0.038654088974,0.1,0.5,0.0,0.0
1.0,0.0396738052368,0.1,0.5,0.0,0.0
0.2,0.037013053894,0.1,0.5,0.0,0.0
0.04,0.0387878417969,0.1,0.5,0.0,0.0
0.008,0.0383698940277,0.1,0.5,0.0,0.0
0.0016,0.223747014999,0.1,0.0,0.0,0.0
