comp_time,is_convex,nu,outlier_ratio,test_accuracy,trial
0.0819430351257,1.0,0.9,0.0,0.9785,0.0
0.0828490257263,1.0,0.8,0.0,0.978,0.0
0.0862691402435,1.0,0.7,0.0,0.983,0.0
0.0552208423615,1.0,0.6,0.0,0.9835,0.0
0.0865302085876,1.0,0.5,0.0,0.9795,0.0
0.0820899009705,1.0,0.4,0.0,0.981,0.0
0.053074836731,1.0,0.3,0.0,0.9855,0.0
0.178306102753,1.0,0.2,0.0,0.9785,0.0
0.074667930603,1.0,0.1,0.0,0.982,0.0
0.102904081345,1.0,0.9,0.02,0.973,0.0
0.0757331848145,1.0,0.8,0.02,0.979,0.0
0.0790579319,1.0,0.7,0.02,0.9815,0.0
0.0539400577545,1.0,0.6,0.02,0.9825,0.0
0.0510489940643,1.0,0.5,0.02,0.98,0.0
0.0521349906921,1.0,0.4,0.02,0.9775,0.0
0.0848109722137,0.0,0.3,0.02,0.02,0.0
0.0758168697357,0.0,0.2,0.02,0.0235,0.0
0.074266910553,0.0,0.1,0.02,0.018,0.0
0.118180990219,1.0,0.9,0.04,0.9715,0.0
0.102672100067,1.0,0.8,0.04,0.964,0.0
0.122673034668,0.0,0.7,0.04,0.9635,0.0
0.115965127945,0.0,0.6,0.04,0.9715,0.0
0.112642049789,0.0,0.5,0.04,0.046,0.0
0.184633970261,0.0,0.4,0.04,0.0515,0.0
0.145102024078,0.0,0.3,0.04,0.036,0.0
0.0780091285706,0.0,0.2,0.04,0.028,0.0
0.0786919593811,0.0,0.1,0.04,0.0255,0.0
0.127570867538,1.0,0.9,0.06,0.955,0.0
0.174129962921,0.0,0.8,0.06,0.973,0.0
0.0785419940948,0.0,0.7,0.06,0.059,0.0
0.15113401413,0.0,0.6,0.06,0.025,0.0
0.148550987244,0.0,0.5,0.06,0.025,0.0
0.149020910263,0.0,0.4,0.06,0.0265,0.0
0.117349863052,0.0,0.3,0.06,0.024,0.0
0.0789399147034,0.0,0.2,0.06,0.015,0.0
0.150318861008,0.0,0.1,0.06,0.013,0.0
0.15287899971,1.0,0.9,0.08,0.9735,0.0
0.162483930588,0.0,0.8,0.08,0.976,0.0
0.158113956451,0.0,0.7,0.08,0.9785,0.0
0.0630929470062,0.0,0.6,0.08,0.856,0.0
0.0783331394196,0.0,0.5,0.08,0.8615,0.0
0.0766010284424,0.0,0.4,0.08,0.87,0.0
0.0758769512177,0.0,0.3,0.08,0.842,0.0
0.0760338306427,0.0,0.2,0.08,0.838,0.0
0.0784950256348,0.0,0.1,0.08,0.0245,0.0
0.142722129822,0.0,0.9,0.1,0.5,0.0
0.163135051727,0.0,0.8,0.1,0.934,0.0
0.0716078281403,0.0,0.7,0.1,0.0505,0.0
0.0740668773651,0.0,0.6,0.1,0.0435,0.0
0.112685918808,0.0,0.5,0.1,0.0425,0.0
0.0751249790192,0.0,0.4,0.1,0.0265,0.0
0.146238803864,0.0,0.3,0.1,0.0245,0.0
0.114542961121,0.0,0.2,0.1,0.0255,0.0
0.0769309997559,0.0,0.1,0.1,0.015,0.0
